split,class_id,class_name,n_images,n_instances,avg_inst_per_image,mean_area_px2,median_area_px2,min_area_px2,max_area_px2,std_area_px2,mean_side_px,median_side_px,pct_tiny,pct_small,pct_medium
train,0,small-vehicle,442,20714,46.864,180.84,102.4,0.77,3464.2,226.15,13.45,10.12,76.04,22.8,1.16
train,1,large-vehicle,343,16197,47.222,709.96,498.73,1.29,10338.46,861.62,26.65,22.33,33.61,43.82,22.57
train,2,plane,180,6768,37.6,666.91,196.33,1.48,82073.61,2014.38,25.82,14.01,56.34,28.58,15.09
train,3,helicopter,33,474,14.364,241.13,24.24,4.78,5925.64,596.55,15.53,4.92,82.49,8.65,8.86
train,4,ship,308,26535,86.153,222.61,92.42,2.05,324112.9,2669.35,14.92,9.61,84.5,13.24,2.27
train,-1,TOTAL,863,70688,81.91,364.7,128.85,0.77,324112.9,1817.8,19.1,11.35,67.65,24.48,7.87
val,0,small-vehicle,89,5547,62.326,172.8,105.81,2.46,2137.66,198.74,13.15,10.29,85.34,14.04,0.61
val,1,large-vehicle,73,2810,38.493,693.17,436.75,2.93,6862.44,764.73,26.33,20.9,31.57,48.58,19.86
val,2,plane,45,1720,38.222,916.82,352.07,2.22,99982.1,3860.77,30.28,18.76,41.45,43.9,14.65
val,3,helicopter,5,32,6.4,942.23,40.56,17.11,10413.56,2042.06,30.7,6.37,71.88,3.12,25.0
val,4,ship,65,5740,88.308,186.25,104.05,4.33,10249.13,451.59,13.65,10.2,82.42,16.39,1.18
val,-1,TOTAL,186,15849,85.21,352.23,140.46,2.22,99982.1,1376.43,18.77,11.85,69.96,24.23,5.8
test,0,small-vehicle,91,5303,58.275,158.63,85.63,1.01,1941.3,222.28,12.59,9.25,82.01,16.73,1.26
test,1,large-vehicle,74,2349,31.743,878.51,617.26,2.03,5580.87,992.76,29.64,24.84,30.78,39.17,30.06
test,2,plane,42,2098,49.952,604.94,116.37,3.38,26520.62,1717.04,24.6,10.79,68.35,19.54,12.11
test,3,helicopter,6,197,32.833,224.31,37.17,24.67,7025.71,1018.31,14.98,6.1,95.43,1.52,3.05
test,4,ship,61,4753,77.918,205.41,100.88,2.19,7163.41,336.69,14.33,10.04,78.77,18.6,2.63
test,-1,TOTAL,186,14700,79.032,353.37,112.82,1.01,26520.62,848.95,18.8,10.62,71.01,21.12,7.88
