split,class_id,class_name,n_images,n_instances,avg_inst_per_image,mean_area_px2,median_area_px2,min_area_px2,max_area_px2,std_area_px2,mean_side_px,median_side_px,pct_tiny,pct_small,pct_medium
train,0,plane,267,10586,39.648,695.23,198.25,1.48,99982.1,2368.65,26.37,14.08,56.3,29.27,14.42
train,1,ship,434,37028,85.318,214.77,94.86,2.05,324112.9,2269.92,14.65,9.74,83.44,14.41,2.15
train,2,storage-tank,216,7917,36.653,72.24,19.71,0.3,7278.14,217.4,8.5,4.44,95.0,3.83,1.17
train,3,baseball-diamond,175,629,3.594,3836.03,222.06,12.95,68948.88,7846.6,61.94,14.9,51.99,6.36,41.65
train,4,tennis-court,396,3127,7.896,5815.88,3876.87,14.58,39142.82,5902.34,76.26,62.26,6.52,14.74,78.73
train,5,basketball-court,146,647,4.432,3481.73,1035.8,12.79,39102.64,5766.11,59.01,32.18,31.68,17.93,50.39
train,6,ground-track-field,247,469,1.899,12949.53,739.63,8.42,207550.5,30230.51,113.8,27.2,30.28,27.51,42.22
train,7,harbor,453,8073,17.821,3011.44,706.65,5.68,117749.0,6472.25,54.88,26.58,34.68,21.13,44.18
train,8,bridge,285,2511,8.811,551.13,25.34,1.02,183923.68,5668.92,23.48,5.03,89.25,6.45,4.3
train,9,large-vehicle,490,21356,43.584,726.29,502.89,1.29,10338.46,866.77,26.95,22.43,33.03,43.93,23.04
train,10,small-vehicle,622,31564,50.746,175.69,100.63,0.77,3464.2,221.07,13.25,10.03,78.68,20.24,1.08
train,11,helicopter,44,703,15.977,268.33,34.47,4.78,10413.56,861.43,16.38,5.87,85.63,6.4,7.97
train,12,roundabout,231,578,2.502,3656.15,84.25,1.77,143301.95,17791.87,60.47,9.18,78.37,13.67,7.96
train,13,soccer-ball-field,199,479,2.407,11517.86,1880.43,2.41,143031.15,17561.03,107.32,43.36,24.01,16.49,59.5
train,14,swimming-pool,185,2176,11.762,293.12,84.08,0.74,28286.38,1252.66,17.12,9.17,84.93,11.12,3.95
train,-1,TOTAL,1865,127843,68.549,782.35,127.21,0.3,324112.9,3862.5,27.97,11.28,66.65,21.56,11.79
