split,class_id,class_name,n_images,n_instances,avg_inst_per_image,mean_area_px2,median_area_px2,min_area_px2,max_area_px2,std_area_px2,mean_side_px,median_side_px,pct_tiny,pct_small,pct_medium
train,0,plane,198,8072,40.768,639.02,183.9,1.48,29874.33,1656.79,25.28,13.56,58.86,27.84,13.31
train,1,ship,435,32973,75.8,179.15,78.68,0.77,225968.85,1576.88,13.38,8.87,86.88,11.25,1.88
train,2,storage-tank,202,5346,26.465,88.08,26.4,0.3,3889.18,212.14,9.38,5.14,93.32,5.01,1.66
train,3,baseball-diamond,121,412,3.405,4127.85,283.49,19.36,66930.0,7727.28,64.25,16.84,49.27,4.85,45.87
train,4,tennis-court,308,2425,7.873,5807.6,3867.38,18.59,39142.82,6139.44,76.21,62.19,7.46,15.88,76.66
train,5,basketball-court,116,529,4.56,3675.34,1118.78,12.79,64073.46,6399.99,60.62,33.45,28.73,19.28,51.98
train,6,ground-track-field,180,331,1.839,12274.01,900.74,8.42,167845.35,28036.19,110.79,30.01,28.4,26.59,45.02
train,7,harbor,340,6016,17.694,2953.31,726.37,5.68,110345.24,6418.98,54.34,26.95,33.29,22.12,44.58
train,8,bridge,213,2075,9.742,493.5,22.63,1.02,183923.68,5711.94,22.21,4.76,89.69,6.55,3.76
train,9,large-vehicle,544,22216,40.838,560.77,280.22,0.73,10338.46,817.69,23.68,16.74,48.5,34.3,17.2
train,10,small-vehicle,903,126477,140.063,50.28,9.87,0.19,3464.2,122.69,7.09,3.14,95.36,4.44,0.2
train,11,helicopter,32,635,19.844,223.63,33.94,7.03,10413.56,838.72,14.95,5.83,89.61,5.2,5.2
train,12,roundabout,182,437,2.401,1628.17,69.2,2.52,71840.49,8014.62,40.35,8.32,78.72,12.81,8.47
train,13,soccer-ball-field,130,338,2.6,11731.99,3082.24,2.41,143031.15,17973.56,108.31,55.52,18.64,14.2,67.16
train,14,swimming-pool,226,2181,9.65,279.04,83.12,1.24,28286.38,1134.26,16.7,9.12,85.05,10.87,4.08
train,15,class_15,7,142,20.286,251.11,212.13,17.61,1381.86,191.02,15.85,14.56,68.31,30.99,0.7
train,-1,TOTAL,1409,210605,149.471,362.76,26.81,0.19,225968.85,2392.75,19.05,5.18,84.14,10.42,5.45
