                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2706,                 6.5473,                 2.9587,                0.52783,                0.35501,                0.30179,                0.19495,                 1.0938,                 4.0731,                 3.1052,             0.00036786,             0.00036786,             0.00036786
                      2,                 1.1866,                 3.7358,                 2.8209,                0.66124,                0.45284,                0.45966,                0.29968,                 1.1481,                 2.8553,                 3.1172,             0.00072358,             0.00072358,             0.00072358
                      3,                 1.1577,                 3.0752,                  2.782,                 0.6388,                0.44966,                0.45373,                0.29633,                 1.1761,                 3.0789,                 3.1577,              0.0010646,              0.0010646,              0.0010646
                      4,                 1.1783,                  2.726,                 2.8135,                0.51291,                0.54156,                0.55011,                0.35708,                 1.1872,                 2.4529,                 3.1075,               0.001045,               0.001045,               0.001045
                      5,                 1.1615,                 2.5436,                  2.796,                0.55685,                0.54878,                0.56401,                0.35953,                   1.24,                 2.4303,                 3.1942,               0.001023,               0.001023,               0.001023
                      6,                 1.1615,                 2.3832,                 2.7671,                0.58582,                0.56634,                0.60719,                0.39344,                 1.2266,                 2.1945,                 3.1358,               0.001001,               0.001001,               0.001001
                      7,                 1.1651,                  2.206,                 2.7822,                0.61287,                0.61445,                0.64262,                0.42056,                 1.2193,                 2.1519,                 3.0702,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.1528,                 2.1765,                 2.7358,                0.63461,                0.65276,                0.66931,                0.43837,                 1.1752,                 1.9413,                 3.0701,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.1556,                 2.0513,                 2.7437,                0.63175,                 0.6586,                0.68286,                0.44738,                 1.2346,                 1.9685,                    3.1,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.1833,                 1.9978,                 2.7519,                0.64217,                0.63838,                0.67601,                 0.4508,                 1.2054,                 1.9801,                 3.0391,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.1862,                 1.9699,                  2.745,                0.64464,                0.66475,                0.68428,                0.45858,                 1.1948,                 1.8868,                 3.0165,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.1925,                 1.8679,                 2.7154,                0.56621,                0.67127,                0.64149,                0.40022,                  1.336,                 2.1844,                  3.113,             0.00086902,             0.00086902,             0.00086902
                     13,                 1.2211,                 1.7851,                 2.6976,                 0.6713,                0.67038,                0.71564,                0.48491,                 1.2275,                 1.7972,                 2.9704,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.2435,                 1.8256,                   2.73,                 0.7147,                0.70136,                0.74956,                0.50198,                 1.3099,                 1.7198,                 3.0322,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.2172,                 1.7802,                 2.6891,                0.67405,                0.67046,                0.70782,                0.47525,                 1.3123,                 1.7277,                 3.0208,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.2556,                 1.7381,                  2.699,                0.72196,                0.69279,                0.74008,                0.50146,                 1.2668,                 1.6554,                 2.9566,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.2703,                 1.7279,                 2.6965,                0.69552,                0.69913,                 0.7241,                0.48964,                 1.3245,                 1.6693,                 3.0135,             0.00075904,             0.00075904,             0.00075904
                     18,                 1.2689,                 1.6982,                 2.6708,                0.75623,                0.70941,                 0.7689,                0.52147,                 1.3392,                  1.588,                 2.9654,             0.00073704,             0.00073704,             0.00073704
                     19,                 1.2916,                 1.6297,                 2.6839,                0.72291,                0.74503,                0.77576,                0.52929,                 1.3422,                 1.5453,                 2.9855,             0.00071504,             0.00071504,             0.00071504
                     20,                 1.2906,                  1.613,                 2.6633,                0.70365,                0.70819,                0.74517,                0.50895,                  1.335,                 1.6999,                 2.9401,             0.00069304,             0.00069304,             0.00069304
                     21,                 1.2982,                 1.5936,                 2.6602,                0.70186,                0.72689,                0.74828,                0.50463,                 1.3837,                 1.5943,                  2.967,             0.00067104,             0.00067104,             0.00067104
                     22,                 1.3133,                 1.5732,                 2.6581,                0.76583,                0.71178,                0.78259,                0.52434,                 1.4121,                 1.5413,                 2.9853,             0.00064905,             0.00064905,             0.00064905
                     23,                 1.3335,                 1.5495,                 2.6517,                0.71984,                0.73458,                0.75586,                0.52097,                 1.4234,                 1.5491,                 2.9624,             0.00062705,             0.00062705,             0.00062705
                     24,                 1.3526,                 1.5414,                 2.6517,                0.74863,                0.76305,                0.79068,                0.54055,                 1.4171,                 1.5045,                 2.9286,             0.00060505,             0.00060505,             0.00060505
                     25,                 1.3615,                 1.4904,                 2.6328,                0.78511,                0.71201,                0.78672,                0.54472,                 1.4128,                 1.5219,                 2.9047,             0.00058305,             0.00058305,             0.00058305
                     26,                 1.3557,                  1.471,                 2.6227,                0.78056,                0.75379,                0.80106,                0.54885,                 1.4739,                 1.4823,                 2.9387,             0.00056105,             0.00056105,             0.00056105
                     27,                 1.3816,                   1.42,                 2.6029,                0.72795,                0.74673,                0.78213,                0.52815,                 1.5269,                 1.5923,                 2.9618,             0.00053906,             0.00053906,             0.00053906
                     28,                 1.3843,                  1.436,                 2.5896,                0.77137,                0.75789,                0.80402,                0.55589,                 1.5013,                 1.4425,                 2.9389,             0.00051706,             0.00051706,             0.00051706
                     29,                 1.4245,                 1.4295,                 2.6234,                0.75102,                0.73346,                0.78478,                 0.5442,                 1.5159,                 1.5187,                 2.9205,             0.00049506,             0.00049506,             0.00049506
                     30,                 1.4497,                 1.4178,                 2.6267,                0.79277,                 0.7521,                0.80772,                0.55934,                 1.5175,                 1.4064,                 2.8995,             0.00047306,             0.00047306,             0.00047306
                     31,                  1.409,                 1.3691,                 2.5646,                0.79049,                0.77702,                0.82233,                0.56424,                 1.5551,                 1.3609,                 2.9057,             0.00045107,             0.00045107,             0.00045107
