                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9914,                 10.314,                 3.4409,                0.01486,                0.05554,                0.01402,                0.00691,                 2.6136,                 16.175,                 2.6499,                 1.6363,             0.00040761,             0.00040761,             0.00040761
                      2,                 2.7055,                 8.4085,                 2.4671,                0.02188,                0.07545,                0.01358,                0.00559,                  2.223,                 16.453,                 2.5102,                0.56549,             0.00080795,             0.00080795,             0.00080795
                      3,                 2.4757,                 6.7628,                  2.385,                0.01252,                0.12892,                0.01539,                0.00594,                  2.109,                 41.727,                 2.3574,                 1.7308,              0.0011918,              0.0011918,              0.0011918
                      4,                  2.337,                 5.4717,                 2.3066,                0.29849,                0.06061,                0.03134,                0.01185,                 2.1441,                 69.247,                 2.2719,                 1.2226,              0.0011757,              0.0011757,              0.0011757
                      5,                 2.2418,                  4.703,                  2.253,                0.81133,                0.06831,                0.04514,                0.01867,                 1.9269,                 58.017,                 2.2087,                0.59291,               0.001151,               0.001151,               0.001151
                      6,                 2.1018,                  4.735,                  2.318,                0.79845,                0.07834,                 0.0373,                0.01683,                 1.9236,                 51.708,                  2.209,                 1.5271,              0.0011263,              0.0011263,              0.0011263
                      7,                 2.0551,                  4.455,                 2.3259,                0.80368,                0.07907,                 0.0405,                0.01627,                 1.9984,                   90.3,                 2.2721,                 2.9758,              0.0011015,              0.0011015,              0.0011015
                      8,                  2.015,                 4.1882,                 2.3625,                0.78848,                 0.0593,                0.03031,                0.01109,                 2.3879,                 66.116,                 2.4978,                 1.1264,              0.0010768,              0.0010768,              0.0010768
                      9,                 2.0862,                 4.1743,                 2.3603,                0.80166,                 0.0702,                0.04017,                0.01793,                  1.945,                  39.33,                 2.2644,                 1.6324,               0.001052,               0.001052,               0.001052
                     10,                 2.0921,                 4.0047,                  2.333,                0.84088,                0.08442,                  0.071,                0.03384,                 1.8864,                  26.29,                 2.1832,                  1.807,              0.0010273,              0.0010273,              0.0010273
                     11,                 2.0379,                 3.9566,                 2.3182,                0.85468,                0.08358,                0.07742,                0.03283,                 1.8628,                 25.182,                 2.1389,                 1.5549,              0.0010025,              0.0010025,              0.0010025
                     12,                 2.0537,                 3.6311,                 2.2327,                0.86776,                 0.0994,                 0.0975,                0.04775,                 1.8565,                 22.803,                 2.1229,                0.88875,             0.00097775,             0.00097775,             0.00097775
                     13,                  1.787,                 3.5228,                 2.3213,                0.85078,                0.09011,                0.08128,                 0.0414,                  1.902,                 45.547,                 2.1672,                 1.3562,               0.000953,               0.000953,               0.000953
                     14,                 1.9856,                 3.5004,                 2.3647,                0.89449,                0.11512,                0.12458,                0.06758,                 1.8445,                 19.854,                  2.121,                0.63789,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.9545,                 3.4293,                 2.2808,                0.39754,                0.12098,                0.12711,                0.06704,                 1.8257,                 21.671,                 2.1153,                 1.0984,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.9945,                 3.1704,                 2.2396,                0.40762,                0.11613,                0.13042,                0.07079,                 1.7085,                   31.3,                 2.0822,                0.81757,             0.00087875,             0.00087875,             0.00087875
