                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4072,                 7.2335,                 2.2466,                0.37907,                0.39019,                0.28932,                0.12396,                 2.0018,                 6.2962,                 2.0419,             0.00055309,             0.00055309,             0.00055309
                      2,                 1.9844,                 4.5969,                 2.2545,                0.39688,                0.47299,                0.35638,                0.18866,                 1.8364,                 4.1272,                  2.124,              0.0010868,              0.0010868,              0.0010868
                      3,                 2.0177,                  4.499,                 2.2879,                0.43106,                0.45284,                0.34141,                0.18427,                  1.911,                   14.9,                 2.1532,              0.0015985,              0.0015985,              0.0015985
                      4,                 2.0787,                 4.8313,                 2.3468,                0.49285,                0.53885,                 0.4795,                0.27156,                 1.9345,                 4.6135,                 2.1743,               0.001568,               0.001568,               0.001568
                      5,                 2.1112,                 3.7623,                 2.3367,                0.60853,                0.51819,                0.51307,                0.28144,                 1.9566,                 3.4159,                 2.1839,               0.001535,               0.001535,               0.001535
                      6,                 2.1234,                 3.5264,                 2.3428,                0.60016,                0.54949,                0.53645,                0.30167,                  2.095,                 3.0809,                 2.1582,               0.001502,               0.001502,               0.001502
                      7,                 2.1876,                  4.024,                 2.3605,                0.57993,                0.55049,                0.52804,                  0.306,                 1.9732,                 4.2748,                 2.1341,               0.001469,               0.001469,               0.001469
                      8,                 2.1063,                 4.1808,                 2.3028,                0.66416,                 0.5527,                0.57652,                 0.3125,                 2.0553,                 3.4391,                 2.1415,               0.001436,               0.001436,               0.001436
                      9,                 2.1337,                  3.268,                 2.3173,                 0.6895,                0.55743,                0.57056,                0.32328,                 2.0711,                 3.3843,                  2.124,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.2831,                 3.5116,                 2.2698,                0.66487,                 0.5487,                  0.564,                0.29787,                 2.2045,                 4.7992,                 2.1131,              0.0013699,              0.0013699,              0.0013699
                     11,                 2.3196,                  3.469,                 2.3028,                0.72972,                 0.5558,                0.60064,                0.33248,                  2.279,                 3.1265,                 2.1228,              0.0013369,              0.0013369,              0.0013369
                     12,                 2.1846,                 2.9712,                 2.2473,                0.69584,                0.54795,                  0.581,                0.32605,                 2.1751,                 3.6969,                 2.0912,              0.0013039,              0.0013039,              0.0013039
                     13,                 2.1802,                 2.8215,                 2.2456,                0.70678,                0.59519,                0.62353,                 0.3572,                 2.1435,                 3.5221,                 2.1038,              0.0012709,              0.0012709,              0.0012709
                     14,                 2.2006,                 2.7991,                 2.2297,                0.72604,                0.58904,                0.62483,                0.35888,                 2.2833,                 2.9057,                 2.0947,              0.0012379,              0.0012379,              0.0012379
                     15,                 2.2308,                 2.8062,                 2.1948,                 0.6676,                0.58402,                0.59285,                0.34671,                 2.3191,                  3.161,                 2.0889,              0.0012049,              0.0012049,              0.0012049
                     16,                 2.3756,                 2.8647,                 2.2422,                 0.7157,                0.57695,                0.60455,                0.32378,                 2.4178,                 4.9884,                 2.1004,              0.0011719,              0.0011719,              0.0011719
                     17,                 2.3613,                 3.3719,                 2.1715,                0.68997,                0.58575,                0.59579,                0.35786,                 2.3052,                 2.9293,                 2.0746,              0.0011389,              0.0011389,              0.0011389
                     18,                 2.3059,                 2.6071,                 2.2007,                0.73116,                0.58886,                0.62554,                0.36552,                 2.3209,                 3.2778,                 2.0544,              0.0011059,              0.0011059,              0.0011059
                     19,                 2.3986,                 2.6126,                 2.1783,                 0.7387,                0.59368,                0.62183,                0.37065,                 2.3225,                 2.5238,                 2.0492,              0.0010729,              0.0010729,              0.0010729
                     20,                 2.3596,                 2.5785,                 2.1824,                0.74767,                0.59512,                0.63311,                0.37867,                 2.4347,                 2.8102,                 2.0645,              0.0010399,              0.0010399,              0.0010399
                     21,                 2.4536,                 2.5263,                 2.1696,                0.74258,                 0.6075,                0.64533,                0.37817,                 2.4362,                 3.2729,                 2.0585,              0.0010069,              0.0010069,              0.0010069
                     22,                 2.4606,                 2.5406,                  2.167,                0.76523,                0.60212,                0.64426,                0.38435,                  2.414,                 2.5543,                 2.0371,             0.00097386,             0.00097386,             0.00097386
                     23,                 2.4933,                 2.4969,                 2.1955,                0.73264,                0.58732,                0.63596,                0.37729,                 2.4944,                 2.6849,                 2.0385,             0.00094085,             0.00094085,             0.00094085
                     24,                 2.4638,                 2.6221,                 2.1823,                0.75921,                0.59629,                0.64292,                0.38453,                 2.4554,                 2.4522,                 2.0382,             0.00090785,             0.00090785,             0.00090785
                     25,                 2.5697,                 2.8534,                 2.1358,                0.73168,                0.60475,                0.64323,                0.36119,                 2.6296,                 3.4051,                 2.0978,             0.00087484,             0.00087484,             0.00087484
                     26,                 2.5114,                 2.5938,                 2.1966,                 0.7228,                0.59282,                0.61737,                 0.3736,                 2.5511,                 3.1475,                 2.0365,             0.00084184,             0.00084184,             0.00084184
                     27,                 2.4916,                 2.4787,                  2.164,                0.73572,                0.61201,                0.64474,                0.38685,                 2.5413,                 2.6953,                 2.0173,             0.00080883,             0.00080883,             0.00080883
                     28,                 2.5239,                 2.3843,                 2.1504,                0.76178,                0.61169,                0.64915,                0.39876,                 2.4729,                 2.6199,                 2.0028,             0.00077582,             0.00077582,             0.00077582
                     29,                 2.5575,                 2.5638,                  2.175,                0.75642,                0.60122,                0.64485,                0.38421,                 2.6588,                 2.9625,                 2.0163,             0.00074282,             0.00074282,             0.00074282
                     30,                 2.5369,                 2.3598,                 2.1267,                0.74857,                0.61099,                0.65119,                0.39497,                 2.5704,                 2.8707,                  2.003,             0.00070981,             0.00070981,             0.00070981
                     31,                 2.5294,                 2.2075,                 2.1071,                 0.7671,                0.63104,                0.66965,                0.40125,                 2.6981,                 2.7068,                 2.0305,              0.0006768,              0.0006768,              0.0006768
                     32,                 2.5313,                 2.2071,                 2.1465,                  0.753,                 0.6228,                0.66041,                0.39839,                 2.7062,                 3.6568,                 2.0234,              0.0006438,              0.0006438,              0.0006438
                     33,                    2.7,                 2.2397,                 2.1173,                0.75592,                0.61558,                0.65313,                0.39547,                 2.7198,                 3.7337,                 2.0161,             0.00061079,             0.00061079,             0.00061079
                     34,                 2.6984,                 2.2934,                  2.096,                0.76986,                0.62773,                0.66547,                0.40624,                 2.7168,                 2.9208,                 2.0028,             0.00057778,             0.00057778,             0.00057778
                     35,                 2.7325,                 2.4499,                 2.0887,                0.78182,                0.61283,                0.65836,                0.41185,                 2.8142,                 2.2944,                 2.0039,             0.00054478,             0.00054478,             0.00054478
                     36,                 2.7256,                 2.3552,                 2.1058,                0.75027,                0.61182,                0.64752,                0.39385,                 2.7874,                 3.1134,                 1.9963,             0.00051177,             0.00051177,             0.00051177
                     37,                 2.6717,                 2.2494,                 2.0951,                0.75474,                0.63425,                0.66107,                0.40463,                 2.7838,                 2.6322,                 2.0049,             0.00047876,             0.00047876,             0.00047876
                     38,                  2.649,                 2.1496,                 2.0741,                 0.7504,                0.61204,                0.64224,                 0.3975,                 2.7866,                 3.7274,                 1.9937,             0.00044576,             0.00044576,             0.00044576
                     39,                 2.6141,                 2.1452,                 2.1107,                0.76564,                0.63661,                0.66875,                0.41487,                 2.7456,                 2.5644,                 1.9753,             0.00041275,             0.00041275,             0.00041275
                     40,                 2.7154,                 2.1868,                 2.0625,                0.76905,                0.64534,                0.68066,                 0.4213,                 2.8383,                 2.4278,                 1.9874,             0.00037974,             0.00037974,             0.00037974
                     41,                 2.6651,                 2.8715,                 2.1238,                  0.734,                0.63732,                 0.6533,                0.40516,                   2.79,                  2.874,                 1.9818,             0.00034674,             0.00034674,             0.00034674
                     42,                 2.9012,                  2.664,                 2.0884,                0.75927,                0.61965,                0.65842,                0.40871,                 2.8367,                 3.0258,                 1.9887,             0.00031373,             0.00031373,             0.00031373
                     43,                 2.8551,                 3.0824,                 2.0488,                0.77275,                0.63474,                 0.6773,                0.42696,                 2.8402,                 2.3494,                 1.9883,             0.00028072,             0.00028072,             0.00028072
                     44,                 2.8556,                 2.8452,                 2.0848,                0.76901,                0.62956,                0.65968,                0.41225,                 2.8833,                 2.4259,                 1.9939,             0.00024772,             0.00024772,             0.00024772
                     45,                 2.9423,                 2.9293,                 2.0636,                0.78774,                0.62657,                0.67244,                0.41941,                 2.9378,                 2.3167,                 1.9958,             0.00021471,             0.00021471,             0.00021471
                     46,                 2.8591,                 2.6303,                 2.0877,                0.75387,                 0.6276,                0.65964,                0.41168,                 2.9083,                 3.0198,                 1.9806,              0.0001817,              0.0001817,              0.0001817
                     47,                 2.9168,                   2.56,                 2.0523,                0.75338,                0.63016,                0.66339,                0.41178,                 2.9773,                  2.806,                 1.9905,              0.0001487,              0.0001487,              0.0001487
                     48,                 3.0426,                  2.684,                 2.0595,                0.75248,                0.63674,                0.66907,                0.41916,                 2.9468,                 2.5965,                  1.982,             0.00011569,             0.00011569,             0.00011569
                     49,                 2.8716,                 2.8933,                 2.0759,                0.76025,                0.62842,                0.66461,                0.41886,                 2.9147,                 2.7925,                 1.9745,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 2.9905,                 2.5075,                 2.1224,                0.74725,                 0.6291,                0.66109,                0.41436,                 2.9392,                 2.9911,                 1.9737,             4.9677e-05,             4.9677e-05,             4.9677e-05
