                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5315,                 7.0256,                 2.2955,                0.54332,                0.25143,                0.25323,                0.14748,                 1.7859,                 4.4331,                 2.0912,                0.52889,             0.00041474,             0.00041474,             0.00041474
                      2,                 1.2875,                 4.1505,                 2.1383,                0.62471,                0.31192,                0.30406,                0.18126,                  1.659,                 4.4277,                 2.0903,                 1.1338,             0.00081494,             0.00081494,             0.00081494
                      3,                 1.2991,                 3.5649,                 2.1326,                0.70502,                0.30583,                0.34342,                0.19063,                 1.7867,                 3.3748,                 2.1594,                0.46494,              0.0011986,              0.0011986,              0.0011986
                      4,                  1.294,                 3.7173,                 2.1695,                0.45877,                0.35973,                0.36446,                0.20699,                 1.8763,                 3.2721,                 2.1976,                0.49953,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.2865,                 3.1808,                 2.1464,                0.49407,                0.39893,                0.41743,                0.24008,                 1.7167,                 4.5455,                 2.1373,                 3.8489,               0.001151,               0.001151,               0.001151
                      6,                 1.2573,                 2.7372,                 2.1638,                0.49698,                0.41091,                0.43062,                0.24708,                 1.7752,                 5.4898,                 2.1482,                 1.2916,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.2746,                 2.6321,                 2.1484,                0.75757,                0.43367,                0.46188,                0.26575,                 1.8439,                 2.9983,                 2.1316,                 1.7318,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.3323,                 2.6217,                 2.1159,                0.78496,                0.42749,                 0.4666,                0.26325,                 1.9115,                  3.682,                 2.1746,                 1.2538,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.3415,                 2.9085,                  2.154,                0.80213,                0.43338,                0.47367,                0.27803,                 1.8713,                 2.7619,                 2.1141,                 1.8916,               0.001052,               0.001052,               0.001052
                     10,                 1.3832,                 2.5717,                 2.1203,                0.80401,                0.42537,                 0.4747,                0.27112,                 1.9961,                 3.7501,                 2.1414,                0.56633,              0.0010273,              0.0010273,              0.0010273
