                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.6339,                 11.109,                  4.505,                  1e-05,                0.00012,                  1e-05,                      0,                 6.4234,                 10.188,                 4.8537,             0.00036552,             0.00036552,             0.00036552
                      2,                 6.7657,                 10.532,                 4.2672,                  9e-05,                0.00034,                  5e-05,                  1e-05,                 6.2668,                  10.02,                 4.5813,             0.00072129,             0.00072129,             0.00072129
                      3,                 6.4523,                 10.359,                   4.11,                0.00016,                0.00022,                0.00041,                0.00023,                 6.0542,                 9.8799,                 4.4376,              0.0010624,              0.0010624,              0.0010624
                      4,                 6.6094,                 9.6498,                 3.9418,                0.00028,                 0.0004,                0.00115,                0.00041,                 5.8594,                  10.56,                 4.3441,               0.001045,               0.001045,               0.001045
                      5,                 6.2561,                 9.0504,                 3.8859,                0.00074,                0.00094,                0.00138,                 0.0006,                 5.8945,                 10.927,                 4.2303,               0.001023,               0.001023,               0.001023
                      6,                 6.4692,                 9.1026,                 3.8238,                0.00076,                0.00089,                 0.0009,                0.00034,                 5.7914,                 10.642,                 4.1162,               0.001001,               0.001001,               0.001001
                      7,                 6.2696,                 8.8305,                  3.798,                0.00052,                0.00083,                0.00061,                0.00025,                 5.6709,                 9.8675,                 3.9827,             0.00097901,             0.00097901,             0.00097901
                      8,                 6.1332,                 8.3239,                 3.6955,                0.00044,                0.00059,                0.00071,                0.00017,                 5.6182,                   9.66,                 3.8968,             0.00095702,             0.00095702,             0.00095702
                      9,                  5.935,                  8.216,                  3.723,                0.00044,                0.00059,                0.00038,                 0.0001,                 5.5818,                 9.7224,                 3.8317,             0.00093502,             0.00093502,             0.00093502
                     10,                 5.8833,                 8.0955,                 3.6693,                0.00045,                0.00051,                0.00045,                0.00013,                  5.589,                 9.7367,                  3.834,             0.00091302,             0.00091302,             0.00091302
