                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1834,                 8.7663,                 2.3433,                0.47911,                0.07267,                0.09966,                 0.0425,                 2.2532,                 7.1885,                 2.0974,             0.00055146,             0.00055146,             0.00055146
                      2,                 2.2101,                 6.1312,                 2.2768,                0.38307,                0.32526,                0.23849,                0.10961,                 2.1794,                 6.9615,                 2.1311,              0.0010852,              0.0010852,              0.0010852
                      3,                 2.1586,                 4.8162,                 2.3085,                0.35236,                0.36657,                0.24032,                0.12271,                 2.0942,                 6.1093,                 2.1598,              0.0015969,              0.0015969,              0.0015969
                      4,                   2.17,                 4.3276,                 2.3014,                0.44929,                0.38229,                0.32955,                0.17703,                 2.0406,                   9.77,                 2.1791,               0.001568,               0.001568,               0.001568
                      5,                 2.0038,                 3.7403,                 2.2944,                0.46499,                0.40404,                0.34532,                0.18802,                 2.0087,                 6.9289,                  2.163,               0.001535,               0.001535,               0.001535
                      6,                 1.9868,                 3.6981,                 2.3472,                0.45348,                0.42995,                0.37048,                0.19568,                 2.0328,                 5.9464,                 2.1823,               0.001502,               0.001502,               0.001502
                      7,                 2.0958,                 3.5877,                   2.34,                0.50175,                0.45645,                0.39455,                0.21366,                 2.1127,                 6.9666,                 2.1509,               0.001469,               0.001469,               0.001469
                      8,                 2.2129,                 3.4985,                  2.288,                 0.5305,                0.46822,                0.41257,                0.22714,                 2.0487,                  8.086,                 2.1663,               0.001436,               0.001436,               0.001436
                      9,                 2.1486,                 3.4461,                 2.2943,                0.50791,                0.45637,                0.41433,                0.22186,                 2.1461,                  7.265,                 2.1776,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.1384,                 3.3057,                 2.3391,                0.52047,                0.46992,                0.41676,                0.22851,                 2.0633,                 8.9629,                 2.1418,              0.0013699,              0.0013699,              0.0013699
                     11,                 2.1373,                 3.2601,                 2.2954,                0.56794,                0.46159,                0.44156,                0.24019,                 2.1029,                 8.5748,                 2.1597,              0.0013369,              0.0013369,              0.0013369
                     12,                 2.1787,                  3.194,                  2.298,                0.58897,                0.47312,                0.45893,                0.24306,                 2.2379,                 9.2315,                 2.1739,              0.0013039,              0.0013039,              0.0013039
                     13,                 2.1695,                 3.1323,                 2.2789,                0.57505,                0.47885,                0.46672,                0.26059,                 2.1231,                 7.7812,                 2.1376,              0.0012709,              0.0012709,              0.0012709
                     14,                 2.3061,                  3.149,                 2.2485,                 0.5644,                0.47358,                0.46099,                0.25036,                 2.2072,                  8.891,                 2.1433,              0.0012379,              0.0012379,              0.0012379
                     15,                 2.0772,                 3.0287,                 2.2607,                0.59016,                0.47987,                0.47001,                0.25538,                 2.2312,                 8.4631,                 2.1366,              0.0012049,              0.0012049,              0.0012049
                     16,                 2.2572,                 3.1685,                 2.2767,                0.60237,                0.48465,                0.48057,                0.26106,                 2.2822,                 8.2201,                 2.1509,              0.0011719,              0.0011719,              0.0011719
                     17,                 2.2908,                 3.0709,                 2.2801,                0.59334,                0.49342,                0.48906,                0.27018,                 2.3238,                 7.5339,                 2.1496,              0.0011389,              0.0011389,              0.0011389
                     18,                 2.4244,                 3.1465,                 2.2587,                0.58691,                0.48265,                0.47779,                0.25912,                 2.3009,                 9.6845,                 2.1317,              0.0011059,              0.0011059,              0.0011059
                     19,                 2.3117,                 3.0276,                 2.2856,                0.59882,                0.49956,                 0.4876,                0.26781,                 2.3351,                 8.2035,                 2.1472,              0.0010729,              0.0010729,              0.0010729
                     20,                 2.3479,                 3.0097,                 2.2587,                0.56891,                 0.4996,                0.48469,                0.26502,                  2.384,                 9.8263,                  2.135,              0.0010399,              0.0010399,              0.0010399
                     21,                 2.2782,                 2.9372,                 2.2694,                0.60287,                0.50312,                0.49552,                0.27049,                 2.3731,                 9.3498,                 2.1276,              0.0010069,              0.0010069,              0.0010069
                     22,                 2.4707,                 2.9802,                 2.2582,                0.60625,                 0.4889,                0.48851,                0.27115,                 2.4144,                   9.61,                 2.1125,             0.00097386,             0.00097386,             0.00097386
                     23,                 2.4448,                 3.0235,                 2.2441,                0.62894,                0.49604,                0.50093,                0.27694,                 2.4343,                 7.9949,                 2.1383,             0.00094085,             0.00094085,             0.00094085
                     24,                 2.4272,                 2.8723,                 2.2437,                  0.595,                0.49697,                0.49668,                0.27378,                 2.5639,                 9.8595,                 2.1366,             0.00090785,             0.00090785,             0.00090785
                     25,                 2.3866,                 2.9016,                 2.2724,                0.61861,                0.48368,                0.49027,                0.27235,                 2.4753,                 9.4984,                 2.1248,             0.00087484,             0.00087484,             0.00087484
                     26,                 2.5634,                 2.9815,                 2.2538,                0.61451,                0.49573,                0.49513,                0.27245,                 2.5393,                 9.7663,                 2.1493,             0.00084184,             0.00084184,             0.00084184
                     27,                  2.487,                 3.0175,                 2.2259,                0.60545,                0.49881,                0.50143,                0.28141,                 2.4846,                  8.345,                 2.1203,             0.00080883,             0.00080883,             0.00080883
                     28,                 2.4707,                 2.9149,                 2.2696,                 0.6352,                0.49338,                0.50212,                0.28018,                 2.6073,                 9.5521,                 2.1195,             0.00077582,             0.00077582,             0.00077582
                     29,                 2.4851,                 2.8424,                 2.2554,                 0.6131,                0.49319,                0.49714,                0.27641,                 2.5987,                 9.9687,                 2.1282,             0.00074282,             0.00074282,             0.00074282
                     30,                 2.5991,                 2.9258,                 2.2277,                 0.6351,                0.50707,                0.50989,                0.28756,                 2.5877,                 8.8548,                 2.1087,             0.00070981,             0.00070981,             0.00070981
                     31,                 2.5905,                 2.9182,                 2.2355,                  0.637,                0.50682,                0.51161,                0.28565,                 2.6107,                 9.5197,                 2.1146,              0.0006768,              0.0006768,              0.0006768
                     32,                  2.582,                   2.84,                 2.2182,                0.60519,                0.50597,                0.50402,                0.28073,                 2.7513,                 9.9366,                 2.1137,              0.0006438,              0.0006438,              0.0006438
                     33,                 2.6383,                 2.8875,                 2.2027,                0.62728,                 0.4958,                0.50376,                0.28347,                 2.6478,                 9.7015,                 2.1036,             0.00061079,             0.00061079,             0.00061079
                     34,                  2.552,                 2.8178,                 2.2021,                0.62072,                0.50006,                0.50321,                0.28207,                 2.7173,                 9.5696,                 2.1078,             0.00057778,             0.00057778,             0.00057778
                     35,                 2.7219,                 2.8963,                  2.245,                0.62372,                0.51148,                0.50991,                0.29171,                 2.7101,                  9.201,                 2.0971,             0.00054478,             0.00054478,             0.00054478
                     36,                 2.8705,                 2.9671,                 2.2157,                0.62132,                0.48984,                0.50144,                0.28038,                 2.7635,                 12.538,                 2.1181,             0.00051177,             0.00051177,             0.00051177
                     37,                 2.7153,                 2.9181,                 2.2241,                 0.6287,                0.49669,                  0.504,                0.28222,                 2.7601,                 9.9375,                 2.1099,             0.00047876,             0.00047876,             0.00047876
                     38,                 2.5639,                 2.8357,                 2.2236,                0.63754,                0.50651,                0.51502,                0.29594,                 2.6955,                 9.8981,                 2.0959,             0.00044576,             0.00044576,             0.00044576
                     39,                 2.8683,                 2.8955,                 2.2159,                0.63701,                 0.5072,                0.51311,                0.29037,                 2.8519,                 9.3163,                 2.0946,             0.00041275,             0.00041275,             0.00041275
