                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.6008,                 10.897,                 4.4944,                  5e-05,                0.00015,                  2e-05,                      0,                 4.9761,                 10.032,                 3.7099,                      0,             0.00036228,             0.00036228,             0.00036228
                      2,                 4.8493,                 10.363,                 3.6124,                  9e-05,                 0.0005,                  5e-05,                  1e-05,                  3.952,                 9.8304,                  3.195,                      0,             0.00071811,             0.00071811,             0.00071811
                      3,                 4.2065,                 9.9933,                 3.2752,                0.00139,                0.00963,                0.00216,                0.00075,                 3.5836,                 9.3001,                 2.9877,                      0,              0.0010593,              0.0010593,              0.0010593
                      4,                 3.7388,                 9.4309,                 3.0811,                0.81296,                0.01308,                0.01097,                0.00278,                 3.4009,                  8.576,                 2.9717,                      0,               0.001045,               0.001045,               0.001045
                      5,                 3.5105,                 9.0693,                 2.9348,                0.79247,                0.03158,                0.01586,                0.00396,                  3.296,                 7.9187,                 2.9901,                      0,               0.001023,               0.001023,               0.001023
                      6,                 3.5198,                 8.8364,                 2.9953,                0.79067,                0.03301,                0.01631,                0.00415,                  3.281,                 7.7969,                 2.9331,                      0,               0.001001,               0.001001,               0.001001
                      7,                 3.3124,                  8.286,                 2.9639,                0.54149,                0.03505,                0.02416,                0.00683,                 3.2181,                 7.8895,                 2.9241,                      0,             0.00097901,             0.00097901,             0.00097901
                      8,                 3.2856,                 7.8081,                  2.874,                0.34281,                0.05031,                0.03443,                0.01073,                 3.1631,                 8.0165,                 2.8608,                      0,             0.00095702,             0.00095702,             0.00095702
                      9,                 3.3658,                 7.0895,                 2.8854,                0.34955,                0.07655,                 0.0412,                0.01373,                 3.1281,                 8.6083,                 2.8244,                      0,             0.00093502,             0.00093502,             0.00093502
                     10,                 3.3094,                 6.7093,                 2.8935,                0.33498,                0.14366,                0.04275,                 0.0152,                 3.1659,                 12.751,                 2.8028,                      0,             0.00091302,             0.00091302,             0.00091302
                     11,                 3.3401,                 6.4085,                 2.8025,                0.34037,                 0.1504,                 0.0492,                0.01746,                 3.1714,                 13.648,                 2.7496,                      0,             0.00089102,             0.00089102,             0.00089102
                     12,                 3.3264,                 6.2135,                 2.7633,                0.34343,                 0.1504,                0.05398,                0.01912,                  3.155,                 14.641,                 2.6952,                      0,             0.00086902,             0.00086902,             0.00086902
                     13,                  3.021,                 5.9592,                 2.8329,                0.35047,                0.13829,                0.05863,                0.02046,                 3.1397,                 13.094,                 2.7167,                      0,             0.00084703,             0.00084703,             0.00084703
                     14,                 3.0777,                 5.9458,                 2.8307,                0.35126,                0.13872,                0.06546,                0.02307,                 3.0513,                 7.9949,                  2.641,                      0,             0.00082503,             0.00082503,             0.00082503
                     15,                 3.0835,                 5.8237,                 2.7293,                0.36671,                0.14282,                 0.0728,                0.02598,                 3.0286,                  7.693,                 2.6466,                      0,             0.00080303,             0.00080303,             0.00080303
