                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8674,                 26.287,                 2.7641,                0.02022,                0.00525,                0.01034,                0.00394,                 1.9705,                 9.0439,                 2.3189,             0.00041474,             0.00041474,             0.00041474
                      2,                 1.9549,                 17.151,                 2.3372,                 0.8331,                0.05814,                0.05284,                0.02679,                 2.1177,                 8.9598,                 2.4229,             0.00081494,             0.00081494,             0.00081494
                      3,                 2.1636,                 10.764,                 2.3915,                0.11819,                0.09826,                0.09256,                0.04212,                 2.4648,                 9.3821,                  2.593,              0.0011986,              0.0011986,              0.0011986
                      4,                  2.184,                  8.051,                 2.5117,                0.37531,                0.12475,                0.11404,                0.05398,                 2.4508,                 9.3786,                 2.6045,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.9863,                 6.8901,                 2.4018,                0.39863,                0.12122,                0.13018,                0.05998,                 2.4975,                 9.4653,                 2.6386,               0.001151,               0.001151,               0.001151
                      6,                 2.1012,                  6.301,                 2.4639,                0.17184,                0.13454,                0.15049,                0.07736,                 2.8558,                 9.6609,                 2.7207,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.9373,                 5.8915,                 2.2837,                0.17046,                0.13644,                0.15494,                0.08168,                 2.7722,                 9.8754,                 2.7551,              0.0011015,              0.0011015,              0.0011015
                      8,                 2.2595,                 5.3306,                 2.5271,                0.43288,                0.13939,                0.16052,                0.08543,                 2.9846,                 9.7882,                 2.8125,              0.0010768,              0.0010768,              0.0010768
                      9,                 2.0872,                 5.0154,                 2.4204,                0.67406,                0.13792,                0.15818,                0.08559,                 3.1638,                 9.9293,                 2.9028,               0.001052,               0.001052,               0.001052
                     10,                 2.2003,                 5.2078,                 2.2986,                0.41825,                0.13648,                0.14902,                0.07696,                 3.3389,                 10.186,                 2.9375,              0.0010273,              0.0010273,              0.0010273
                     11,                 2.0762,                 4.4604,                  2.422,                0.42975,                0.13984,                0.16261,                0.08726,                 3.2122,                 10.112,                 2.8771,              0.0010025,              0.0010025,              0.0010025
                     12,                  2.124,                 4.8091,                 2.2491,                0.42185,                0.13154,                0.15464,                0.08517,                 3.3015,                 10.178,                 2.8615,             0.00097775,             0.00097775,             0.00097775
                     13,                 2.0873,                 4.0313,                 2.2652,                0.44613,                0.14766,                0.17107,                 0.0933,                 3.2856,                 10.345,                 2.8303,               0.000953,               0.000953,               0.000953
                     14,                  2.079,                 4.0564,                 2.2986,                0.44715,                0.15262,                0.17434,                0.08955,                 3.4135,                 10.343,                   2.83,             0.00092825,             0.00092825,             0.00092825
                     15,                  2.179,                   3.85,                 2.2914,                0.44483,                0.15451,                0.17682,                0.10066,                 3.4931,                 10.225,                 2.8489,              0.0009035,              0.0009035,              0.0009035
                     16,                 2.2552,                 3.7906,                 2.3001,                 0.4521,                0.16352,                0.19132,                0.10688,                 3.4617,                 10.501,                 2.8255,             0.00087875,             0.00087875,             0.00087875
                     17,                 2.3352,                  3.678,                 2.3886,                0.45316,                0.16061,                0.18483,                0.10051,                 3.5666,                 10.616,                 2.8418,               0.000854,               0.000854,               0.000854
                     18,                 2.1025,                 3.3845,                 2.2364,                0.45024,                0.15785,                 0.1825,                0.09442,                 3.6505,                  10.63,                 2.8591,             0.00082925,             0.00082925,             0.00082925
                     19,                 2.3267,                 3.4015,                 2.2982,                0.45559,                 0.1593,                 0.1835,                0.10007,                 3.7264,                 10.581,                 2.8936,              0.0008045,              0.0008045,              0.0008045
                     20,                 2.1287,                  3.165,                 2.1541,                0.45489,                0.16395,                0.18576,                0.09829,                  3.834,                 10.838,                 2.9061,             0.00077975,             0.00077975,             0.00077975
                     21,                 2.4137,                 3.3566,                 2.1882,                0.45543,                0.15812,                0.18445,                0.10166,                 4.1276,                 10.488,                 3.0403,               0.000755,               0.000755,               0.000755
                     22,                 2.2252,                 2.9689,                 2.3125,                 0.4534,                0.16686,                0.19904,                0.10413,                 4.0695,                 11.056,                 2.9418,             0.00073025,             0.00073025,             0.00073025
                     23,                 2.4488,                 3.5789,                 2.2456,                0.45077,                0.16148,                0.18796,                0.10563,                  4.057,                 10.399,                  2.929,              0.0007055,              0.0007055,              0.0007055
                     24,                 2.4413,                  3.381,                 2.2526,                0.45563,                 0.1704,                0.18904,                0.10674,                 4.1849,                  10.57,                 3.0116,             0.00068075,             0.00068075,             0.00068075
                     25,                 2.3054,                 3.0125,                 2.2007,                0.45799,                0.16381,                0.18466,                0.09447,                 4.3588,                  10.78,                 3.0327,               0.000656,               0.000656,               0.000656
                     26,                 2.5719,                 3.3008,                 2.2643,                0.44957,                0.15875,                  0.183,                0.10451,                 4.3737,                 10.631,                 3.0135,             0.00063125,             0.00063125,             0.00063125
                     27,                 2.3075,                 3.0745,                 2.1061,                0.46201,                0.16468,                0.19143,                0.10471,                 4.3122,                 10.716,                 3.0216,              0.0006065,              0.0006065,              0.0006065
                     28,                 2.3401,                 3.0215,                 2.2108,                0.45852,                0.16919,                0.19285,                0.10986,                 4.3675,                 10.612,                 3.0529,             0.00058175,             0.00058175,             0.00058175
                     29,                   2.38,                 2.8965,                 2.1739,                0.45892,                0.16704,                0.19154,                0.10856,                 4.4288,                 10.688,                 3.0707,               0.000557,               0.000557,               0.000557
                     30,                 2.4678,                 2.9657,                 2.1845,                0.46348,                0.17384,                0.19579,                0.10671,                 4.4556,                 10.998,                 3.0192,             0.00053225,             0.00053225,             0.00053225
                     31,                 2.3685,                 2.9405,                  2.193,                0.46702,                0.17166,                0.19767,                0.11279,                 4.5329,                 10.676,                 3.0499,              0.0005075,              0.0005075,              0.0005075
                     32,                 2.4832,                 2.9623,                  2.174,                0.46006,                0.16969,                 0.1932,                   0.11,                  4.408,                  10.73,                 2.9636,             0.00048275,             0.00048275,             0.00048275
                     33,                 2.3272,                 2.6935,                 2.0963,                0.46576,                0.17311,                0.19692,                0.10808,                 4.4847,                 10.879,                 3.0034,               0.000458,               0.000458,               0.000458
                     34,                 2.5783,                 3.0337,                 2.1035,                0.46296,                0.17544,                0.20123,                0.11234,                 4.5605,                 10.792,                 3.0587,             0.00043325,             0.00043325,             0.00043325
                     35,                 2.5758,                 2.8639,                 2.2703,                0.45748,                0.16953,                0.20015,                0.11133,                 4.5536,                 10.816,                 3.0196,              0.0004085,              0.0004085,              0.0004085
                     36,                 2.5694,                 2.7391,                 2.1186,                 0.4562,                0.16744,                0.19895,                0.10444,                  4.747,                 10.859,                 3.0436,             0.00038375,             0.00038375,             0.00038375
                     37,                 2.4535,                  2.536,                 2.0685,                0.46291,                0.17224,                0.20155,                0.10776,                 4.8178,                 10.804,                 3.0587,               0.000359,               0.000359,               0.000359
                     38,                 2.5181,                  2.591,                 2.0805,                0.46918,                 0.1716,                0.20925,                0.12051,                 4.7514,                 10.858,                 3.0243,             0.00033425,             0.00033425,             0.00033425
