                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7235,                 9.3554,                 2.3679,                 0.2955,                0.11961,                0.18764,                0.11616,                 2.5082,                  6.268,                 2.3565,             0.00036862,             0.00036862,             0.00036862
                      2,                 2.6168,                 6.3439,                 2.3349,                0.51942,                0.08117,                0.10647,                0.04937,                 2.6098,                 6.8892,                 2.3872,             0.00072432,             0.00072432,             0.00072432
                      3,                 2.6043,                 5.5881,                 2.2391,                0.33593,                0.08366,                 0.0983,                 0.0477,                 2.5036,                 5.2438,                 2.3622,              0.0010654,              0.0010654,              0.0010654
                      4,                 2.7504,                 5.4167,                 2.2737,                0.32101,                0.08383,                0.08249,                0.03402,                 2.6786,                  10.87,                 2.3254,               0.001045,               0.001045,               0.001045
                      5,                 2.5709,                 5.4023,                 2.2496,                0.33171,                0.08254,                0.08644,                0.03745,                 2.6041,                 7.6333,                  2.323,               0.001023,               0.001023,               0.001023
                      6,                 2.8136,                 5.2584,                 2.3592,                0.14054,                0.07478,                0.09132,                0.03978,                 2.8404,                 6.7587,                 2.4321,               0.001001,               0.001001,               0.001001
                      7,                 2.8881,                 4.7261,                 2.2736,                0.12202,                0.07965,                0.08472,                0.03802,                 2.6127,                 11.489,                 2.2984,             0.00097901,             0.00097901,             0.00097901
                      8,                 2.8536,                 4.6804,                 2.2904,                0.13732,                 0.0869,                0.08629,                0.03441,                 3.0411,                 9.7253,                 2.4361,             0.00095702,             0.00095702,             0.00095702
                      9,                 2.7343,                 4.5826,                 2.2643,                 0.1348,                0.08824,                0.09339,                0.04131,                 2.9313,                 11.239,                 2.5072,             0.00093502,             0.00093502,             0.00093502
                     10,                 3.0465,                 5.6145,                 2.3688,                0.13928,                0.08983,                0.09391,                0.04148,                 2.7122,                 6.4947,                 2.2742,             0.00091302,             0.00091302,             0.00091302
                     11,                 2.9325,                 4.3313,                 2.2384,                0.12649,                0.08286,                0.09122,                0.04187,                 3.0104,                 6.5836,                 2.4004,             0.00089102,             0.00089102,             0.00089102
                     12,                 2.8423,                 4.1506,                 2.2511,                0.14292,                0.09031,                0.09551,                0.04205,                 2.8019,                 8.2089,                 2.2703,             0.00086902,             0.00086902,             0.00086902
                     13,                 2.7871,                  4.131,                 2.2735,                0.14114,                0.09282,                0.09373,                0.04314,                 2.8633,                 13.836,                 2.2413,             0.00084703,             0.00084703,             0.00084703
                     14,                 2.9585,                 3.9007,                 2.2952,                0.14199,                0.08709,                0.09562,                 0.0426,                 3.0433,                 8.3118,                 2.3129,             0.00082503,             0.00082503,             0.00082503
                     15,                 2.8774,                 3.9387,                 2.2184,                0.14425,                0.08833,                0.09752,                0.04356,                 3.0949,                 10.018,                 2.3014,             0.00080303,             0.00080303,             0.00080303
                     16,                 2.9356,                 3.6452,                 2.2513,                0.14736,                0.09307,                0.09885,                0.04502,                 2.9772,                  7.688,                 2.2454,             0.00078103,             0.00078103,             0.00078103
                     17,                 3.1978,                 3.8205,                  2.269,                0.15185,                0.09417,                0.10428,                0.04992,                 2.9758,                 7.5161,                 2.2724,             0.00075904,             0.00075904,             0.00075904
                     18,                 3.0691,                 3.8369,                 2.2205,                0.14617,                0.09077,                0.09559,                0.04339,                 3.2891,                 8.7157,                 2.2978,             0.00073704,             0.00073704,             0.00073704
                     19,                  3.181,                 4.0251,                 2.2591,                0.14162,                0.08916,                0.09594,                0.04275,                 3.2592,                 6.5559,                 2.2927,             0.00071504,             0.00071504,             0.00071504
                     20,                 3.1922,                 4.3149,                 2.1558,                 0.1401,                0.08304,                0.09293,                  0.043,                 3.0837,                 6.4727,                 2.2199,             0.00069304,             0.00069304,             0.00069304
                     21,                 3.1547,                 3.7403,                 2.2554,                0.13737,                0.07719,                0.09126,                0.04142,                 3.1984,                 7.9905,                 2.2576,             0.00067104,             0.00067104,             0.00067104
                     22,                 3.2264,                 3.7879,                 2.2676,                0.14914,                0.09652,                0.10165,                0.04871,                  3.141,                 9.1255,                  2.226,             0.00064905,             0.00064905,             0.00064905
                     23,                 3.0493,                 3.6898,                 2.1674,                0.14924,                  0.096,                0.10296,                0.04892,                 3.1906,                 8.1784,                 2.2279,             0.00062705,             0.00062705,             0.00062705
                     24,                 3.1249,                 3.9604,                 2.1554,                0.15138,                0.09732,                0.10711,                0.05258,                 3.0656,                  5.813,                 2.1963,             0.00060505,             0.00060505,             0.00060505
                     25,                 3.3643,                 3.5369,                 2.1909,                0.14061,                0.08178,                0.09307,                0.04117,                 3.2007,                 6.3277,                 2.2213,             0.00058305,             0.00058305,             0.00058305
                     26,                 3.3287,                 3.5844,                 2.1792,                0.15085,                0.09944,                0.10658,                 0.0493,                 3.4644,                 8.0345,                 2.2977,             0.00056105,             0.00056105,             0.00056105
                     27,                 3.2943,                 3.4614,                  2.229,                0.14632,                0.09252,                0.10148,                 0.0474,                 3.3829,                 8.2918,                 2.2399,             0.00053906,             0.00053906,             0.00053906
                     28,                 3.2553,                 3.3547,                 2.1178,                0.13927,                0.08895,                0.09842,                0.04645,                 3.6612,                 6.4627,                 2.2852,             0.00051706,             0.00051706,             0.00051706
                     29,                 3.3942,                 3.4317,                 2.2117,                 0.1542,                0.09984,                0.10855,                0.05405,                 3.2332,                 7.7088,                 2.1867,             0.00049506,             0.00049506,             0.00049506
                     30,                  3.286,                 3.2388,                 2.1298,                0.14995,                0.09634,                0.10603,                0.05158,                 3.3994,                 8.8509,                 2.2005,             0.00047306,             0.00047306,             0.00047306
                     31,                 3.2906,                 3.1739,                 2.1078,                0.14855,                0.09861,                0.10498,                0.05025,                 3.4182,                 10.928,                 2.2196,             0.00045107,             0.00045107,             0.00045107
                     32,                  3.408,                 3.4006,                 2.2126,                 0.1407,                0.08136,                0.09424,                0.04489,                 3.4076,                 6.0054,                  2.202,             0.00042907,             0.00042907,             0.00042907
                     33,                 3.5106,                 3.3938,                   2.25,                0.13794,                0.08962,                0.09741,                0.04632,                 3.5968,                 10.661,                  2.219,             0.00040707,             0.00040707,             0.00040707
                     34,                  3.504,                 3.1173,                 2.1524,                0.15073,                0.09575,                0.10436,                0.05014,                 3.5612,                 7.7518,                 2.1943,             0.00038507,             0.00038507,             0.00038507
                     35,                 3.4244,                 3.2786,                 2.1077,                0.15357,                0.10014,                0.10927,                0.05478,                 3.3033,                 8.6382,                 2.1492,             0.00036307,             0.00036307,             0.00036307
                     36,                 3.2268,                 3.5053,                 2.1067,                0.14755,                0.09537,                0.10811,                  0.053,                 3.4315,                 5.4241,                 2.1628,             0.00034108,             0.00034108,             0.00034108
                     37,                 3.2977,                 3.1647,                 2.1259,                 0.1529,                0.10049,                0.10932,                 0.0544,                 3.4533,                 6.5866,                 2.1815,             0.00031908,             0.00031908,             0.00031908
                     38,                 3.5323,                 3.0655,                 2.0995,                0.14865,                 0.0976,                0.10632,                0.05234,                 3.5309,                 8.8047,                 2.1728,             0.00029708,             0.00029708,             0.00029708
                     39,                 3.2753,                 2.9351,                 2.1191,                0.15417,                0.09857,                0.10806,                0.05459,                 3.3671,                 8.5369,                 2.1325,             0.00027508,             0.00027508,             0.00027508
                     40,                 3.4749,                 3.1773,                 2.1169,                  0.149,                0.09369,                0.10546,                0.05276,                 3.4456,                 7.5005,                 2.1487,             0.00025309,             0.00025309,             0.00025309
                     41,                 2.9488,                 3.0852,                 1.7026,                0.14606,                0.09481,                0.10462,                0.05071,                 3.6202,                 6.9802,                  2.172,             0.00023109,             0.00023109,             0.00023109
                     42,                 2.9615,                 3.3396,                 1.8784,                0.15257,                0.09655,                0.10725,                0.05401,                 3.5409,                 6.4109,                 2.1554,             0.00020909,             0.00020909,             0.00020909
                     43,                 2.8851,                 2.9742,                 1.7555,                0.15375,                0.09554,                0.10715,                0.05434,                 3.5097,                 5.5573,                 2.1559,             0.00018709,             0.00018709,             0.00018709
                     44,                 2.8953,                 2.9608,                 1.7996,                0.15342,                 0.0979,                0.11079,                0.05638,                 3.4715,                 5.7357,                 2.1393,             0.00016509,             0.00016509,             0.00016509
                     45,                 3.0059,                  2.931,                 1.8374,                 0.1527,                0.09652,                0.10686,                0.05413,                 3.4752,                  8.099,                 2.1378,              0.0001431,              0.0001431,              0.0001431
                     46,                 2.8301,                 2.9032,                 1.7958,                0.14419,                0.09282,                0.10524,                 0.0538,                 3.4863,                 6.1318,                 2.1296,              0.0001211,              0.0001211,              0.0001211
                     47,                 3.0848,                 3.1433,                 1.8894,                0.14929,                0.09468,                0.10646,                0.05359,                 3.5052,                 7.0303,                  2.134,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                 3.0082,                 2.9258,                 1.7625,                0.15077,                0.09081,                0.10721,                0.05415,                 3.5341,                 5.5438,                  2.137,             7.7103e-05,             7.7103e-05,             7.7103e-05
