                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3828,                 6.6227,                 2.0688,                0.20846,                0.35516,                0.29482,                0.17739,                 1.9643,                  4.494,                 2.1845,             0.00036862,             0.00036862,             0.00036862
                      2,                 1.4216,                 3.2151,                 2.0574,                0.72101,                0.40659,                0.42872,                0.23912,                 1.9477,                  3.494,                 2.1687,             0.00072432,             0.00072432,             0.00072432
                      3,                 1.3762,                 2.7628,                 2.0622,                0.55517,                0.42903,                0.45715,                0.25184,                 2.0082,                 2.9199,                 2.1985,              0.0010654,              0.0010654,              0.0010654
                      4,                 1.4324,                 2.6512,                 2.0554,                0.56953,                0.42272,                0.46039,                0.26191,                 1.9437,                 2.8296,                 2.2065,               0.001045,               0.001045,               0.001045
                      5,                 1.4136,                 2.3292,                 2.0221,                0.56888,                0.44192,                0.47689,                0.26469,                 2.0577,                 2.7687,                 2.2025,               0.001023,               0.001023,               0.001023
                      6,                 1.4226,                 2.2773,                 2.0389,                0.59369,                0.43924,                0.48915,                0.27984,                 2.1176,                 2.7186,                 2.2127,               0.001001,               0.001001,               0.001001
                      7,                 1.4927,                 2.2121,                 2.0146,                0.59548,                 0.4498,                0.49006,                0.27565,                 2.1887,                 2.5733,                 2.2242,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.4215,                 2.1475,                 2.0033,                0.61017,                0.45077,                0.50908,                0.29141,                 2.1951,                 2.5503,                 2.2076,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.5566,                 2.1244,                 2.0173,                0.62707,                0.46264,                0.51375,                0.29445,                 2.2554,                 2.4297,                 2.1985,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.4984,                  2.201,                 2.0139,                 0.6379,                0.46165,                0.52422,                0.30444,                 2.2614,                 2.5492,                 2.1854,             0.00091302,             0.00091302,             0.00091302
                     11,                  1.562,                 2.0278,                 2.0102,                0.60601,                0.46149,                0.50554,                0.29098,                 2.3083,                 2.4782,                 2.1822,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.6294,                 2.0201,                 1.9991,                0.63865,                0.45977,                0.52327,                0.30593,                 2.3387,                 2.4413,                 2.1948,             0.00086902,             0.00086902,             0.00086902
                     13,                  1.546,                 2.0322,                 2.0186,                0.62134,                0.47198,                0.51724,                0.29887,                 2.4014,                 2.4035,                 2.1967,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.6351,                 1.9978,                  2.016,                0.64194,                0.46238,                0.52256,                 0.2949,                 2.5333,                 2.3758,                 2.2171,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.6307,                 1.9376,                 1.9791,                0.64143,                0.46808,                0.52752,                0.30459,                 2.5691,                 2.4717,                 2.1933,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.6465,                 1.9103,                 1.9933,                0.61418,                0.46413,                0.51312,                0.29334,                 2.6221,                 2.4113,                 2.1922,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.6697,                 1.9225,                 1.9884,                0.62181,                0.45524,                0.50908,                0.28933,                 2.6627,                 2.6059,                 2.1943,             0.00075904,             0.00075904,             0.00075904
                     18,                 1.6935,                 1.8965,                 1.9839,                 0.6333,                0.46301,                 0.5204,                0.30451,                 2.5965,                 2.4135,                 2.1735,             0.00073704,             0.00073704,             0.00073704
                     19,                 1.6698,                 1.8294,                 1.9834,                0.62898,                0.46017,                0.51405,                0.29426,                 2.8211,                 2.4067,                 2.1954,             0.00071504,             0.00071504,             0.00071504
                     20,                  1.749,                 1.8367,                  1.961,                0.64245,                  0.469,                0.52904,                0.30399,                 2.7864,                  2.364,                 2.1789,             0.00069304,             0.00069304,             0.00069304
                     21,                 1.8219,                 1.8848,                 1.9822,                0.64034,                0.46317,                 0.5343,                0.31488,                 2.6962,                 2.4848,                 2.1647,             0.00067104,             0.00067104,             0.00067104
                     22,                 1.7894,                 1.8172,                 1.9852,                0.62078,                0.46357,                0.51864,                0.29824,                 2.9802,                 2.4664,                 2.1961,             0.00064905,             0.00064905,             0.00064905
                     23,                 1.8257,                 1.8094,                 1.9736,                0.63697,                0.45747,                0.52092,                0.29821,                 2.9619,                 2.4962,                 2.1977,             0.00062705,             0.00062705,             0.00062705
                     24,                 1.8395,                 1.8048,                   1.97,                0.63448,                0.47333,                0.53522,                0.32067,                   2.79,                 2.4075,                 2.1452,             0.00060505,             0.00060505,             0.00060505
                     25,                 1.8882,                 1.8126,                 1.9594,                0.63673,                0.46906,                0.52959,                 0.3095,                 2.8995,                  2.453,                  2.169,             0.00058305,             0.00058305,             0.00058305
                     26,                 1.7941,                 1.7761,                 1.9789,                 0.6441,                0.46842,                0.52983,                0.30211,                 3.0924,                 2.3405,                 2.1987,             0.00056105,             0.00056105,             0.00056105
                     27,                  1.897,                 1.7782,                 1.9623,                0.63964,                0.46469,                0.52868,                0.30213,                 3.1196,                 2.4049,                 2.1928,             0.00053906,             0.00053906,             0.00053906
                     28,                 1.8955,                 1.7802,                 1.9647,                0.63861,                 0.4612,                0.52374,                0.30533,                  3.104,                 2.3875,                 2.1747,             0.00051706,             0.00051706,             0.00051706
                     29,                 1.9302,                 1.7572,                 1.9563,                0.62813,                0.47012,                0.52588,                0.30543,                 3.1497,                 2.3544,                 2.1764,             0.00049506,             0.00049506,             0.00049506
                     30,                   1.99,                 1.7307,                 1.9479,                0.63802,                0.46835,                0.52739,                0.30736,                 3.1324,                 2.3314,                  2.174,             0.00047306,             0.00047306,             0.00047306
