                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9714,                 19.662,                 2.5881,                0.05769,                0.15721,                0.05004,                 0.0317,                 1.7544,                 7.1304,                 2.1286,             0.00041474,             0.00041474,             0.00041474
                      2,                 2.1109,                 15.264,                  2.196,                 0.1385,                 0.3037,                0.18997,                0.09535,                 1.7094,                 6.9944,                 2.1738,             0.00081494,             0.00081494,             0.00081494
                      3,                 2.3583,                 10.544,                 2.2949,                0.17266,                0.35496,                0.21383,                0.10725,                  1.809,                 6.5206,                 2.1884,              0.0011986,              0.0011986,              0.0011986
                      4,                 2.3363,                 9.3434,                 2.3921,                0.22923,                0.33961,                0.27844,                0.13721,                 1.9111,                 6.6825,                 2.2922,              0.0011757,              0.0011757,              0.0011757
                      5,                 2.3847,                 7.9958,                 2.4348,                0.80471,                0.13646,                0.19231,                0.09658,                 2.2381,                 6.7685,                 2.3706,               0.001151,               0.001151,               0.001151
                      6,                 2.4892,                 7.3416,                 2.3629,                0.09704,                0.32058,                0.21659,                0.10855,                 2.5683,                 6.6531,                 2.4754,              0.0011263,              0.0011263,              0.0011263
                      7,                 2.3796,                 7.2691,                 2.3175,                0.13332,                0.40081,                0.24279,                0.12647,                  2.089,                 6.2617,                 2.3416,              0.0011015,              0.0011015,              0.0011015
                      8,                 2.5708,                 6.7901,                 2.4368,                0.16657,                0.42124,                0.30945,                0.16583,                 2.0922,                 6.0399,                 2.3416,              0.0010768,              0.0010768,              0.0010768
                      9,                 2.4456,                 6.4668,                 2.3088,                0.20092,                0.39728,                0.30851,                 0.1692,                 2.1555,                 6.4436,                 2.3305,               0.001052,               0.001052,               0.001052
                     10,                 2.4963,                 6.0296,                 2.3706,                0.17297,                0.43228,                0.32772,                0.17549,                 2.1426,                  5.939,                 2.3355,              0.0010273,              0.0010273,              0.0010273
                     11,                 2.5978,                 6.1618,                 2.3853,                0.18127,                 0.4242,                0.33559,                0.18558,                 2.2026,                 6.3005,                 2.3219,              0.0010025,              0.0010025,              0.0010025
                     12,                 2.5571,                 5.9869,                 2.2429,                0.21172,                0.40992,                0.32611,                0.17454,                 2.2707,                   6.62,                 2.3242,             0.00097775,             0.00097775,             0.00097775
                     13,                 2.5231,                 5.4281,                 2.3008,                0.13413,                0.45084,                0.33545,                0.17835,                 2.3986,                 5.9511,                  2.355,               0.000953,               0.000953,               0.000953
                     14,                 2.5635,                 5.6718,                 2.3771,                0.20065,                0.44481,                0.37858,                0.21208,                 2.2673,                 6.4111,                  2.294,             0.00092825,             0.00092825,             0.00092825
                     15,                 2.5383,                 5.7064,                 2.2182,                0.16521,                0.46337,                0.35845,                0.19202,                 2.3898,                 5.8681,                 2.3282,              0.0009035,              0.0009035,              0.0009035
