Epoch 1
  level=P2 cls=0 hits=0:5170
  level=P2 cls=1 hits=0:1644
  level=P2 cls=2 hits=0:1983
  level=P2 cls=3 hits=0:29
  level=P3 cls=0 hits=0:291
  level=P3 cls=1 hits=0:693
  level=P3 cls=2 hits=0:262
  level=P3 cls=3 hits=0:3
  level=P4 cls=0 hits=0:13
  level=P4 cls=1 hits=0:133
  level=P4 cls=2 hits=0:50
  level=P4 cls=3 hits=0:2
Epoch 2
  level=P2 cls=0 hits=0:2327
  level=P2 cls=1 hits=0:1347
  level=P2 cls=2 hits=0:3257
  level=P2 cls=3 hits=0:96
  level=P3 cls=0 hits=0:79
  level=P3 cls=1 hits=0:892
  level=P3 cls=2 hits=0:132
  level=P3 cls=3 hits=0:27
  level=P4 cls=0 hits=0:2
  level=P4 cls=1 hits=0:164
  level=P4 cls=2 hits=0:40
  level=P4 cls=3 hits=0:1
Epoch 3
  level=P2 cls=0 hits=0:1174
  level=P2 cls=1 hits=0:983
  level=P2 cls=2 hits=0:2588
  level=P2 cls=3 hits=0:52
  level=P3 cls=0 hits=0:175
  level=P3 cls=1 hits=0:640
  level=P3 cls=2 hits=0:118
  level=P3 cls=3 hits=0:19
  level=P4 cls=0 hits=0:8
  level=P4 cls=1 hits=0:230
  level=P4 cls=2 hits=0:38
  level=P4 cls=3 hits=0:15
Epoch 4
  level=P2 cls=0 hits=0:1620
  level=P2 cls=1 hits=0:1111
  level=P2 cls=2 hits=0:3445
  level=P2 cls=3 hits=0:853
  level=P3 cls=0 hits=0:102
  level=P3 cls=1 hits=0:464
  level=P3 cls=2 hits=0:219
  level=P3 cls=3 hits=0:22
  level=P4 cls=0 hits=0:6
  level=P4 cls=1 hits=0:115
  level=P4 cls=2 hits=0:59
  level=P4 cls=3 hits=0:5
Epoch 5
  level=P2 cls=0 hits=0:3333
  level=P2 cls=1 hits=0:1286
  level=P2 cls=2 hits=0:2286
  level=P2 cls=3 hits=0:221
  level=P3 cls=0 hits=0:242
  level=P3 cls=1 hits=0:412
  level=P3 cls=2 hits=0:286
  level=P3 cls=3 hits=0:4
  level=P4 cls=0 hits=0:4
