                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1777,                 7.2954,                 2.2782,                0.32869,                0.37329,                 0.2396,                0.10874,                 2.1136,                   7.84,                 1.9715,             0.00055146,             0.00055146,             0.00055146
                      2,                 2.0326,                 4.3891,                 2.2247,                0.38428,                0.37027,                0.28655,                0.16126,                 1.7596,                 13.849,                 2.0718,              0.0010852,              0.0010852,              0.0010852
                      3,                 1.8947,                 3.6627,                  2.272,                0.47426,                0.48176,                0.40001,                0.22613,                 1.7928,                 8.4929,                 2.1329,              0.0015969,              0.0015969,              0.0015969
                      4,                 1.9848,                 3.5782,                 2.2673,                0.52193,                0.49308,                0.42309,                 0.2321,                 1.8114,                 7.4098,                 2.1399,               0.001568,               0.001568,               0.001568
                      5,                 1.8142,                 3.0564,                 2.2317,                0.60042,                0.51145,                0.50932,                0.29321,                  1.787,                 4.4327,                 2.0634,               0.001535,               0.001535,               0.001535
                      6,                 1.7689,                 2.9537,                 2.2518,                 0.6011,                0.51823,                0.50888,                0.29251,                   1.82,                 4.5084,                 2.1005,               0.001502,               0.001502,               0.001502
                      7,                 1.9425,                 2.9181,                 2.2552,                0.61867,                0.50852,                0.51159,                0.28509,                 1.9806,                 5.6547,                 2.0899,               0.001469,               0.001469,               0.001469
                      8,                 1.9945,                 2.8761,                 2.1894,                0.64485,                0.56827,                 0.5651,                0.32879,                 1.8289,                 4.2832,                 2.0933,               0.001436,               0.001436,               0.001436
                      9,                 1.9162,                 2.8104,                 2.1936,                0.65492,                0.56133,                0.56345,                0.32064,                 1.8574,                 3.3186,                 2.0852,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.8614,                 2.6669,                 2.2209,                0.61145,                0.53193,                0.52391,                0.30763,                 1.8791,                 3.6023,                 2.0701,              0.0013699,              0.0013699,              0.0013699
                     11,                  1.885,                 2.6187,                 2.1881,                0.65852,                0.56283,                0.57407,                0.33439,                 1.8681,                 5.8114,                  2.067,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.8715,                 2.5172,                 2.1733,                0.70428,                0.55443,                0.58676,                0.33563,                 1.9538,                  4.835,                 2.0739,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.8491,                 2.4245,                 2.1433,                0.70437,                0.57291,                0.60712,                0.35957,                 1.8879,                 4.0552,                 2.0353,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.9701,                 2.4493,                 2.1197,                0.69537,                0.58232,                 0.6082,                0.35743,                  2.039,                 5.1639,                 2.0792,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.8233,                 2.3401,                 2.1482,                0.68534,                0.58302,                0.60464,                0.34806,                 1.9873,                 3.7073,                 2.0655,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.9144,                 2.3817,                 2.1337,                  0.697,                0.58351,                0.61505,                0.36283,                 2.0021,                 4.4382,                  2.046,              0.0011719,              0.0011719,              0.0011719
                     17,                  1.995,                 2.3752,                 2.1568,                0.71637,                0.60293,                0.62776,                0.37259,                 1.9691,                 3.8857,                 2.0312,              0.0011389,              0.0011389,              0.0011389
                     18,                 2.0931,                 2.3981,                 2.1331,                0.69312,                0.57606,                0.61188,                0.35865,                 2.1181,                 3.6636,                 2.0523,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.9688,                 2.2503,                 2.1429,                0.70574,                0.57699,                0.61121,                0.34943,                 2.1198,                  4.466,                  2.057,              0.0010729,              0.0010729,              0.0010729
                     20,                  2.022,                 2.2457,                 2.1274,                0.71852,                0.59428,                0.62706,                0.37677,                 2.0717,                 3.6061,                 2.0126,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.9429,                 2.1486,                  2.127,                0.75364,                0.59736,                0.62918,                0.38522,                 2.1206,                 2.9053,                 2.0112,              0.0010069,              0.0010069,              0.0010069
                     22,                  2.092,                 2.2467,                 2.1166,                0.74954,                0.59505,                0.63302,                0.38332,                 2.1357,                 4.2727,                 2.0069,             0.00097386,             0.00097386,             0.00097386
                     23,                 2.0808,                 2.2661,                 2.1163,                0.75267,                0.61731,                0.65576,                0.40796,                 2.0035,                 2.8906,                 1.9828,             0.00094085,             0.00094085,             0.00094085
                     24,                  2.052,                 2.1058,                 2.0981,                0.72151,                0.61314,                0.63666,                0.38301,                 2.0586,                 3.5375,                 1.9915,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.9781,                 2.1233,                 2.1115,                0.73462,                0.62093,                0.64795,                0.40109,                 2.0831,                 2.8814,                 1.9953,             0.00087484,             0.00087484,             0.00087484
                     26,                 2.1224,                 2.1382,                 2.0935,                0.74066,                0.61877,                0.64557,                0.38782,                  2.287,                 3.0418,                 2.0197,             0.00084184,             0.00084184,             0.00084184
                     27,                 2.1059,                  2.182,                 2.0765,                0.72322,                0.61462,                0.64306,                0.39498,                 2.1205,                 3.4811,                 1.9892,             0.00080883,             0.00080883,             0.00080883
                     28,                 2.0375,                 2.0611,                 2.0915,                0.73451,                0.62728,                0.65461,                0.39715,                 2.1559,                 4.2295,                 2.0005,             0.00077582,             0.00077582,             0.00077582
                     29,                 2.0479,                 2.0112,                 2.0793,                0.73994,                0.62582,                0.64877,                0.39857,                 2.2104,                 3.5097,                 1.9888,             0.00074282,             0.00074282,             0.00074282
                     30,                 2.2448,                 2.1103,                 2.0911,                0.71388,                0.61515,                0.63583,                0.38634,                 2.2946,                 3.6946,                 2.0068,             0.00070981,             0.00070981,             0.00070981
                     31,                 2.2016,                 2.0943,                  2.087,                 0.7339,                 0.6393,                0.65931,                0.39945,                  2.274,                 3.0591,                 1.9916,              0.0006768,              0.0006768,              0.0006768
                     32,                 2.1636,                 2.0139,                 2.0619,                0.72094,                0.60251,                0.63471,                0.38333,                  2.371,                 4.5398,                 1.9936,              0.0006438,              0.0006438,              0.0006438
                     33,                 2.1863,                  2.031,                 2.0474,                0.72082,                 0.6366,                0.64682,                0.39819,                 2.3625,                 3.4395,                  2.009,             0.00061079,             0.00061079,             0.00061079
                     34,                 2.1029,                 1.9572,                 2.0436,                0.75798,                0.62691,                0.66551,                0.41136,                 2.3031,                  3.358,                 1.9711,             0.00057778,             0.00057778,             0.00057778
                     35,                 2.2581,                 2.0203,                 2.0776,                 0.7348,                0.63295,                0.65639,                 0.4086,                 2.3091,                 3.1399,                 1.9684,             0.00054478,             0.00054478,             0.00054478
                     36,                  2.341,                 2.0088,                  2.036,                0.74565,                0.63108,                0.65881,                0.40812,                 2.3737,                 4.4846,                 1.9704,             0.00051177,             0.00051177,             0.00051177
                     37,                 2.2052,                 1.9865,                 2.0387,                  0.752,                0.63542,                0.66352,                0.40301,                 2.4144,                 3.1922,                 1.9913,             0.00047876,             0.00047876,             0.00047876
                     38,                 2.1051,                  1.901,                 2.0559,                0.72498,                0.61798,                0.64835,                0.40108,                 2.3889,                 3.5029,                 1.9725,             0.00044576,             0.00044576,             0.00044576
                     39,                 2.3758,                 2.0368,                 2.0476,                0.73459,                0.62801,                0.65451,                0.40807,                 2.4086,                 4.7341,                 1.9614,             0.00041275,             0.00041275,             0.00041275
                     40,                 2.2202,                 1.9056,                  2.027,                0.74588,                0.63225,                 0.6618,                0.41257,                  2.423,                 3.8035,                 1.9518,             0.00037974,             0.00037974,             0.00037974
                     41,                 2.3335,                 2.0941,                 2.1447,                  0.748,                0.63195,                0.66276,                0.41522,                 2.4181,                 3.4905,                 1.9688,             0.00034674,             0.00034674,             0.00034674
                     42,                 2.2738,                 1.9388,                 2.0951,                0.75116,                0.63261,                0.66112,                0.41197,                 2.4674,                  3.077,                 1.9747,             0.00031373,             0.00031373,             0.00031373
                     43,                 2.2885,                 1.8867,                 2.1067,                  0.734,                0.60946,                0.64584,                0.41488,                 2.3705,                 4.7998,                 1.9365,             0.00028072,             0.00028072,             0.00028072
                     44,                 2.3021,                 1.8805,                 2.1078,                0.76421,                 0.6219,                0.66733,                0.42151,                 2.4628,                 3.4365,                 1.9576,             0.00024772,             0.00024772,             0.00024772
                     45,                 2.3401,                  1.874,                  2.111,                0.74796,                0.63201,                0.66893,                0.42169,                 2.4571,                 3.1292,                 1.9388,             0.00021471,             0.00021471,             0.00021471
                     46,                 2.3489,                 1.8648,                 2.0958,                  0.749,                0.63567,                0.66692,                0.41845,                 2.5438,                 3.2166,                 1.9455,              0.0001817,              0.0001817,              0.0001817
                     47,                 2.3699,                 1.9282,                 2.0661,                0.74479,                0.64012,                0.66709,                0.41497,                 2.5309,                 3.9483,                 1.9565,              0.0001487,              0.0001487,              0.0001487
                     48,                 2.2865,                 1.8451,                 2.0817,                0.74837,                 0.6395,                0.67272,                0.42248,                 2.5545,                 3.2659,                 1.9466,             0.00011569,             0.00011569,             0.00011569
                     49,                 2.3945,                 1.8755,                 2.0826,                0.75616,                0.63646,                0.67337,                0.42518,                 2.5446,                 3.4761,                 1.9471,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 2.4189,                 1.8472,                  2.083,                0.74744,                0.63837,                0.67208,                0.42513,                 2.5554,                  3.794,                 1.9446,             4.9677e-05,             4.9677e-05,             4.9677e-05
