                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3766,                 8.6629,                 2.2521,                0.77034,                0.10141,                0.11331,                0.07379,                 1.9027,                 7.4829,                 2.1379,               0.085876,             0.00036552,             0.00036552,             0.00036552
                      2,                 2.2782,                 6.2947,                 2.1328,                0.56701,                0.14214,                0.15119,                0.08712,                 1.9741,                 6.0449,                 2.1506,                0.18328,             0.00072129,             0.00072129,             0.00072129
                      3,                 2.2721,                 4.7524,                 2.2035,                0.50859,                0.16012,                0.16369,                 0.0933,                 2.1021,                 5.8636,                 2.1978,                0.24872,              0.0010624,              0.0010624,              0.0010624
                      4,                 2.4227,                 4.2069,                 2.1665,                0.50304,                0.21701,                0.20644,                0.11609,                 1.9885,                 5.4332,                 2.2027,                0.22664,               0.001045,               0.001045,               0.001045
                      5,                 2.2655,                 4.2587,                 2.1687,                0.68219,                0.17711,                0.23149,                0.12288,                 2.0803,                 5.0199,                 2.2101,                0.16006,               0.001023,               0.001023,               0.001023
                      6,                 2.3618,                 3.9174,                 2.1027,                0.61055,                0.22531,                0.23486,                0.12138,                 2.0649,                 4.1683,                 2.2205,                0.14935,               0.001001,               0.001001,               0.001001
                      7,                 2.2267,                 3.5394,                 2.1402,                0.59989,                0.28759,                0.28193,                0.15078,                 2.0121,                 3.6211,                 2.2054,                0.20833,             0.00097901,             0.00097901,             0.00097901
                      8,                 2.1269,                 3.3764,                 2.1365,                0.66313,                0.31127,                0.34305,                0.18486,                 2.0545,                 3.5251,                 2.2567,                 0.2123,             0.00095702,             0.00095702,             0.00095702
                      9,                 2.2074,                 3.4909,                 2.1678,                0.66889,                0.35258,                0.37224,                0.20159,                  2.047,                 3.3173,                 2.2436,                 0.1369,             0.00093502,             0.00093502,             0.00093502
                     10,                  2.308,                 3.2506,                 2.1788,                0.66582,                0.33454,                0.36949,                0.19381,                 2.3444,                 3.3279,                 2.3198,                0.10755,             0.00091302,             0.00091302,             0.00091302
                     11,                 2.2516,                 3.0682,                 2.1433,                 0.6481,                0.33727,                0.33655,                0.17653,                 2.2166,                  3.385,                 2.2955,                0.21812,             0.00089102,             0.00089102,             0.00089102
                     12,                 2.3024,                 3.1059,                 2.1399,                0.67164,                0.38133,                 0.3912,                0.20355,                 2.1494,                 3.1513,                 2.2776,                0.10474,             0.00086902,             0.00086902,             0.00086902
