                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5371,                 6.9863,                 2.2988,                0.53682,                0.25413,                0.25337,                0.14436,                 1.8392,                 4.4237,                 2.1094,             0.00041474,             0.00041474,             0.00041474
                      2,                 1.3104,                 4.2474,                 2.1431,                0.61093,                 0.3045,                0.29356,                0.17524,                 1.6455,                 4.2093,                 2.1026,             0.00081494,             0.00081494,             0.00081494
                      3,                 1.2837,                  3.548,                 2.1203,                0.67124,                0.35079,                0.36145,                 0.1964,                 1.8124,                 3.6708,                 2.1835,              0.0011986,              0.0011986,              0.0011986
                      4,                 1.2971,                 3.6014,                 2.1469,                0.45779,                0.37866,                0.38403,                 0.2151,                 1.8108,                 3.0307,                  2.163,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.2865,                 3.0944,                 2.1337,                0.49437,                0.40927,                0.42514,                0.24149,                 1.7203,                 3.3944,                 2.1457,               0.001151,               0.001151,               0.001151
                      6,                 1.2567,                 2.7047,                 2.1555,                0.75672,                0.41743,                0.44035,                0.25104,                 1.8278,                 4.2999,                 2.1484,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.2722,                 2.5961,                 2.1441,                0.77086,                0.42595,                0.46257,                0.26533,                 1.8631,                 2.8938,                 2.1576,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.3453,                 2.5991,                  2.126,                0.78423,                0.43654,                0.47533,                0.26552,                 2.0239,                 2.9077,                 2.2218,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.3598,                 2.8017,                 2.1558,                0.80958,                0.43883,                0.48286,                0.28324,                 1.8687,                 2.7495,                 2.1131,               0.001052,               0.001052,               0.001052
                     10,                 1.3533,                 2.5432,                 2.0999,                0.80803,                0.43275,                0.48635,                0.28285,                 2.0248,                 3.4588,                 2.1569,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.3609,                 2.3561,                 2.1274,                0.79822,                0.43795,                0.47966,                0.26993,                 2.0553,                  3.216,                 2.1308,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.3978,                 2.3181,                 2.1202,                0.82576,                0.45895,                0.50777,                0.29394,                 2.0261,                 3.2653,                  2.123,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.3757,                 2.2748,                 2.1344,                0.82146,                 0.4537,                0.50014,                0.28376,                 2.1316,                 2.6265,                 2.1376,               0.000953,               0.000953,               0.000953
                     14,                 1.4322,                 2.2481,                 2.1087,                0.81106,                0.46082,                0.49768,                 0.2777,                 2.2641,                 3.2307,                 2.1689,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.4456,                 2.3688,                 2.0856,                0.81714,                0.44408,                0.50187,                0.30027,                 2.2427,                 2.7669,                 2.1488,              0.0009035,              0.0009035,              0.0009035
