                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      train/replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4035,                 6.5203,                  2.105,                0.18144,                0.34591,                0.28803,                0.17663,                 1.8927,                 4.5464,                  2.166,                0.31095,             0.00036862,             0.00036862,             0.00036862
                      2,                 1.4323,                 3.2416,                 2.0874,                0.74133,                0.40828,                0.43803,                0.24558,                 1.9628,                 3.1825,                 2.1649,               0.039297,             0.00072432,             0.00072432,             0.00072432
                      3,                 1.4523,                 2.8145,                 2.1174,                0.76175,                0.41498,                0.46078,                0.25145,                 2.0863,                 3.3047,                  2.164,                0.33176,              0.0010654,              0.0010654,              0.0010654
                      4,                 1.4499,                 2.6888,                 2.0765,                0.56886,                0.42588,                0.46862,                0.25983,                 2.0859,                 2.9433,                 2.1711,               0.093061,               0.001045,               0.001045,               0.001045
                      5,                 1.4627,                 2.4507,                 2.0509,                0.58965,                0.44615,                0.47999,                0.26936,                 2.0141,                 2.6963,                  2.147,                0.14335,               0.001023,               0.001023,               0.001023
                      6,                 1.4412,                 2.4278,                 2.0775,                0.57405,                0.42941,                0.46754,                 0.2729,                  2.043,                 2.7578,                 2.1877,               0.079271,               0.001001,               0.001001,               0.001001
                      7,                 1.5151,                 2.3087,                 2.0545,                0.59709,                0.44639,                   0.49,                0.27812,                 2.1172,                 2.6488,                 2.2136,                0.15381,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.4303,                 2.1926,                  2.024,                0.61337,                0.45229,                0.50858,                0.29228,                 2.1411,                 2.6396,                 2.1904,                0.12918,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.5933,                 2.2596,                 2.0507,                0.61478,                0.45264,                0.50816,                0.29351,                 2.3148,                 2.5355,                  2.204,                0.20289,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.5558,                 2.3543,                 2.0507,                 0.6277,                0.45226,                0.50788,                0.29624,                 2.2972,                 2.7042,                 2.1894,                0.10094,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.6013,                  2.111,                 2.0518,                0.60598,                 0.4457,                0.50479,                0.28734,                  2.382,                 2.5814,                 2.2024,                0.10111,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.6399,                 2.0627,                 2.0308,                0.63295,                0.45525,                0.51708,                0.30191,                 2.3354,                 2.5735,                 2.1955,               0.067243,             0.00086902,             0.00086902,             0.00086902
                     13,                 1.5409,                 2.0521,                 2.0361,                0.62713,                0.46166,                0.51237,                0.29537,                 2.3816,                 2.5281,                 2.1823,                0.13337,             0.00084703,             0.00084703,             0.00084703
                     14,                  1.664,                 2.0744,                 2.0395,                  0.619,                0.45821,                0.51002,                 0.2892,                 2.5516,                 2.4976,                 2.2191,               0.097629,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.6582,                 1.9975,                 2.0039,                0.64443,                 0.4545,                 0.5242,                0.30863,                 2.5139,                 2.6319,                 2.1875,                0.10144,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.6698,                 1.9778,                 2.0232,                0.62299,                0.46504,                0.52038,                0.29835,                 2.5791,                 2.4459,                 2.1844,               0.048067,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.6694,                 2.0084,                 2.0202,                0.61813,                 0.4442,                0.50849,                0.29045,                 2.6341,                 2.7713,                 2.2003,               0.060384,             0.00075904,             0.00075904,             0.00075904
                     18,                 1.7112,                 1.9762,                 2.0142,                0.64428,                0.45902,                 0.5261,                0.30798,                 2.6098,                 2.4747,                 2.1845,               0.034541,             0.00073704,             0.00073704,             0.00073704
                     19,                 1.7013,                  1.913,                 2.0136,                0.63366,                0.46276,                0.51898,                0.30335,                 2.7156,                 2.4417,                 2.1885,               0.011565,             0.00071504,             0.00071504,             0.00071504
                     20,                 1.7683,                 1.9136,                 1.9886,                0.62719,                  0.471,                0.52923,                0.30495,                 2.7944,                 2.4731,                 2.1944,               0.040584,             0.00069304,             0.00069304,             0.00069304
                     21,                 1.8385,                 1.9261,                 2.0095,                 0.6464,                 0.4584,                0.52412,                0.30458,                 2.7542,                 2.5341,                 2.1814,                0.03312,             0.00067104,             0.00067104,             0.00067104
