                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1777,                 7.2954,                 2.2782,                0.32869,                0.37329,                 0.2396,                0.10874,                 2.1136,                   7.84,                 1.9715,             0.00055146,             0.00055146,             0.00055146
                      2,                 2.0326,                 4.3891,                 2.2247,                0.38428,                0.37027,                0.28655,                0.16126,                 1.7596,                 13.849,                 2.0718,              0.0010852,              0.0010852,              0.0010852
                      3,                 1.8947,                 3.6627,                  2.272,                0.47426,                0.48176,                0.40001,                0.22613,                 1.7928,                 8.4929,                 2.1329,              0.0015969,              0.0015969,              0.0015969
                      4,                 1.9848,                 3.5782,                 2.2673,                0.52193,                0.49308,                0.42309,                 0.2321,                 1.8114,                 7.4098,                 2.1399,               0.001568,               0.001568,               0.001568
                      5,                 1.8142,                 3.0564,                 2.2317,                0.60042,                0.51145,                0.50932,                0.29321,                  1.787,                 4.4327,                 2.0634,               0.001535,               0.001535,               0.001535
                      6,                 1.7689,                 2.9537,                 2.2518,                 0.6011,                0.51823,                0.50888,                0.29251,                   1.82,                 4.5084,                 2.1005,               0.001502,               0.001502,               0.001502
                      7,                 1.9425,                 2.9181,                 2.2552,                0.61867,                0.50852,                0.51159,                0.28509,                 1.9806,                 5.6547,                 2.0899,               0.001469,               0.001469,               0.001469
                      8,                 1.9945,                 2.8761,                 2.1894,                0.64485,                0.56827,                 0.5651,                0.32879,                 1.8289,                 4.2832,                 2.0933,               0.001436,               0.001436,               0.001436
                      9,                 1.9162,                 2.8104,                 2.1936,                0.65492,                0.56133,                0.56345,                0.32064,                 1.8574,                 3.3186,                 2.0852,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.8614,                 2.6669,                 2.2209,                0.61145,                0.53193,                0.52391,                0.30763,                 1.8791,                 3.6023,                 2.0701,              0.0013699,              0.0013699,              0.0013699
                     11,                  1.885,                 2.6187,                 2.1881,                0.65852,                0.56283,                0.57407,                0.33439,                 1.8681,                 5.8114,                  2.067,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.8715,                 2.5172,                 2.1733,                0.70428,                0.55443,                0.58676,                0.33563,                 1.9538,                  4.835,                 2.0739,              0.0013039,              0.0013039,              0.0013039
