                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7648,                 8.9873,                 4.0534,                0.17836,                0.07638,                0.05881,                0.02735,                 2.9641,                 5.3363,                 3.2914,             1.7448e-05,             0.00017434,             0.00017434,             0.00017434
                      2,                 2.6453,                 6.3879,                 2.8799,                0.30236,                 0.0925,                 0.0866,                0.04487,                  2.366,                 4.7565,                 2.8732,              0.0098563,             0.00034275,             0.00034275,             0.00034275
                      3,                  2.318,                 5.4354,                  2.686,                0.29698,                0.11263,                0.07545,                0.04259,                 2.3341,                 5.2191,                 2.7564,             9.4683e-05,             0.00050422,             0.00050422,             0.00050422
                      4,                 2.2245,                 5.0144,                 2.5481,                0.52487,                0.11392,                0.09674,                0.05512,                 2.2772,                 4.6448,                  2.725,             0.00012539,             0.00049476,             0.00049476,             0.00049476
                      5,                 2.2479,                 4.6672,                 2.4844,                 0.5324,                0.10915,                0.09184,                0.05381,                 2.2977,                 5.1099,                 2.6701,                      0,             0.00048434,             0.00048434,             0.00048434
                      6,                 2.1949,                 4.2839,                 2.4415,                0.52736,                0.11937,                0.08834,                0.04913,                 2.4437,                 5.7101,                  2.731,                      0,             0.00047393,             0.00047393,             0.00047393
                      7,                 2.1141,                   4.21,                 2.4771,                0.51001,                 0.1127,                0.09496,                0.05333,                 2.5147,                 5.3092,                 2.6967,                      0,             0.00046351,             0.00046351,             0.00046351
                      8,                 2.0816,                 3.9028,                 2.3591,                0.61662,                0.12831,                0.10331,                0.06024,                 2.4871,                  5.728,                 2.6351,                      0,              0.0004531,              0.0004531,              0.0004531
                      9,                  2.128,                 3.8389,                 2.3541,                0.64863,                0.15871,                0.11273,                 0.0624,                 2.4191,                 4.9642,                 2.6179,                      0,             0.00044268,             0.00044268,             0.00044268
                     10,                 2.0927,                 3.5079,                 2.2754,                0.64924,                0.14364,                0.09757,                0.05448,                 2.5773,                 6.6314,                 2.6669,             4.9651e-05,             0.00043227,             0.00043227,             0.00043227
                     11,                 2.1229,                 3.6145,                 2.3327,                 0.4843,                0.15088,                0.10941,                0.06167,                 2.5333,                 5.6494,                 2.6009,             0.00012534,             0.00042185,             0.00042185,             0.00042185
                     12,                 2.1294,                 3.3777,                 2.2608,                 0.3691,                 0.1564,                0.11312,                0.06273,                 2.6639,                 6.1276,                 2.6242,             5.0187e-05,             0.00041144,             0.00041144,             0.00041144
                     13,                 2.1037,                  3.307,                 2.2569,                0.37786,                 0.1506,                 0.1134,                0.06585,                 2.5848,                 6.0799,                 2.5719,             0.00011097,             0.00040102,             0.00040102,             0.00040102
                     14,                 2.1116,                 3.3017,                 2.2628,                0.28404,                0.15934,                0.12248,                0.07242,                 2.6922,                  6.374,                 2.5746,             0.00015199,             0.00039061,             0.00039061,             0.00039061
                     15,                 2.0875,                 3.1262,                 2.2377,                0.29795,                0.14996,                0.12097,                0.07082,                 2.6273,                 6.8098,                 2.5679,                      0,             0.00038019,             0.00038019,             0.00038019
                     16,                 2.1684,                 3.0308,                 2.2131,                0.36911,                0.15964,                0.11202,                0.06701,                 2.8975,                 6.6009,                 2.6699,             0.00011525,             0.00036978,             0.00036978,             0.00036978
                     17,                  2.097,                 3.1017,                 2.2364,                0.23323,                0.17408,                0.13497,                0.07553,                 2.6788,                 5.9932,                 2.5456,                      0,             0.00035936,             0.00035936,             0.00035936
                     18,                 2.1755,                 2.8208,                 2.1616,                0.39353,                0.18045,                0.14036,                0.08032,                 2.8018,                 5.9819,                 2.5605,             0.00035767,             0.00034895,             0.00034895,             0.00034895
                     19,                 2.1158,                 2.8125,                 2.2073,                0.18354,                0.13972,                0.10759,                0.06422,                 2.8815,                 7.5907,                 2.5806,               4.05e-05,             0.00033853,             0.00033853,             0.00033853
                     20,                 2.1445,                 2.8401,                 2.1719,                0.26621,                0.16782,                0.12388,                 0.0735,                 2.9431,                 6.4813,                 2.5789,                      0,             0.00032812,             0.00032812,             0.00032812
                     21,                 2.2255,                 2.9001,                 2.1668,                0.22062,                0.21933,                0.14742,                0.08228,                 2.8465,                 5.6184,                   2.53,             0.00010755,              0.0003177,              0.0003177,              0.0003177
                     22,                 2.1842,                 2.6702,                   2.16,                0.20644,                0.15824,                0.11452,                0.06484,                 3.2787,                 6.9695,                 2.6539,              0.0070914,             0.00030729,             0.00030729,             0.00030729
                     23,                 2.1675,                 2.6296,                 2.1571,                 0.2847,                0.19833,                0.14297,                 0.0795,                 3.1546,                 7.4635,                 2.6247,              1.601e-05,             0.00029687,             0.00029687,             0.00029687
                     24,                 2.2706,                 2.6128,                 2.1485,                0.22371,                0.20963,                 0.1197,                0.06927,                 3.1148,                   6.83,                 2.5767,             4.3745e-05,             0.00028646,             0.00028646,             0.00028646
                     25,                 2.2091,                  2.557,                 2.1429,                 0.2435,                0.23076,                0.15406,                 0.0912,                 3.3662,                 7.1558,                 2.6652,                      0,             0.00027604,             0.00027604,             0.00027604
                     26,                 2.1176,                 2.4998,                 2.1415,                0.30131,                0.18668,                 0.1407,                0.08242,                 3.3013,                 7.5902,                 2.6216,             2.4062e-05,             0.00026563,             0.00026563,             0.00026563
                     27,                 2.3112,                 2.5997,                 2.1334,                0.25495,                 0.1805,                0.13129,                 0.0816,                 3.3956,                 8.0375,                 2.6297,                      0,             0.00025522,             0.00025522,             0.00025522
                     28,                 2.1954,                  2.551,                 2.1255,                0.29312,                0.20985,                0.13444,                 0.0813,                  3.441,                 7.6427,                 2.6231,              0.0069934,              0.0002448,              0.0002448,              0.0002448
                     29,                 2.2867,                 2.4707,                 2.1154,                0.29997,                0.19102,                0.11712,                0.07246,                 3.3176,                 7.5759,                  2.581,             6.8314e-05,             0.00023439,             0.00023439,             0.00023439
                     30,                 2.2396,                 2.3476,                 2.0917,                0.30515,                 0.1965,                0.13647,                0.08451,                  3.346,                 7.1973,                 2.5794,                      0,             0.00022397,             0.00022397,             0.00022397
                     31,                 2.2913,                 2.3418,                 2.0984,                 0.2485,                0.22051,                0.13765,                0.08425,                  3.356,                 7.3063,                 2.5834,             0.00011023,             0.00021356,             0.00021356,             0.00021356
                     32,                 2.1751,                 2.3527,                 2.1014,                0.37037,                0.20951,                0.13243,                0.08192,                 3.6812,                 7.7765,                 2.6555,             0.00049494,             0.00020314,             0.00020314,             0.00020314
                     33,                 2.3239,                 2.3848,                 2.0808,                 0.4171,                0.18443,                0.13324,                0.08159,                 3.6178,                 8.2729,                 2.6614,             3.7547e-05,             0.00019273,             0.00019273,             0.00019273
                     34,                  2.211,                 2.2467,                  2.089,                 0.3584,                 0.1769,                0.13509,                0.08256,                 3.7898,                 8.0095,                 2.6712,             0.00016936,             0.00018231,             0.00018231,             0.00018231
                     35,                 2.2383,                 2.1957,                 2.0927,                 0.3753,                0.20351,                0.13384,                0.08278,                 3.7737,                 7.7777,                 2.6638,                      0,              0.0001719,              0.0001719,              0.0001719
                     36,                 2.2325,                 2.1606,                 2.0661,                0.39588,                0.20823,                0.14401,                0.09054,                 3.8475,                 7.7713,                 2.6672,              0.0036388,             0.00016148,             0.00016148,             0.00016148
                     37,                 2.3064,                  2.268,                 2.0736,                0.35778,                0.24714,                0.13457,                0.08537,                 3.7693,                 7.8877,                 2.6421,              0.0017507,             0.00015107,             0.00015107,             0.00015107
                     38,                 2.3413,                 2.1795,                  2.054,                0.35557,                0.20465,                0.14216,                 0.0889,                 3.7101,                 7.9057,                 2.6282,             5.8891e-05,             0.00014065,             0.00014065,             0.00014065
                     39,                 2.2284,                 2.0902,                 2.0446,                0.35866,                0.20673,                 0.1188,                0.07264,                 3.8891,                 9.0597,                 2.6989,             0.00098176,             0.00013024,             0.00013024,             0.00013024
                     40,                 2.2609,                 2.1674,                 2.0483,                0.38594,                0.20193,                 0.1306,                0.08237,                 3.8709,                 8.2839,                 2.6491,                      0,             0.00011982,             0.00011982,             0.00011982
                     41,                 2.3655,                 2.0923,                 1.9955,                0.28209,                0.23661,                0.13437,                0.08063,                 3.8107,                 8.0078,                 2.6167,                      0,             0.00010941,             0.00010941,             0.00010941
                     42,                 2.5038,                 2.0746,                 2.0185,                0.28144,                0.23813,                0.12858,                0.07995,                 3.9663,                 8.5311,                 2.6675,                      0,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     43,                 2.3063,                 2.0825,                 2.0205,                0.39678,                0.20737,                0.13802,                0.08392,                 3.9266,                 8.3161,                 2.6423,                      0,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     44,                 2.3487,                 2.0079,                 2.0021,                0.30425,                0.21902,                0.14416,                0.09244,                 3.9874,                 8.3557,                  2.651,                      0,             7.8164e-05,             7.8164e-05,             7.8164e-05
