                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      train/replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9172,                 19.697,                 2.6189,                0.03753,                0.12152,                 0.0259,                0.01626,                 1.7317,                 7.4544,                 2.1431,                0.98313,             0.00041474,             0.00041474,             0.00041474
                      2,                  2.096,                 15.012,                 2.2414,                0.13832,                0.33278,                0.18649,                 0.1045,                 1.6648,                 6.9548,                 2.1382,                 1.1768,             0.00081494,             0.00081494,             0.00081494
                      3,                 2.3914,                 10.452,                 2.4066,                0.08543,                  0.346,                0.15611,                0.07901,                  1.907,                  6.814,                 2.2205,                 1.1134,              0.0011986,              0.0011986,              0.0011986
                      4,                 2.3485,                  9.277,                 2.3737,                0.17796,                0.38086,                0.27418,                0.13598,                 1.9182,                 6.5382,                 2.2923,                 1.8176,              0.0011757,              0.0011757,              0.0011757
                      5,                    2.4,                 7.5128,                 2.4167,                0.11343,                0.30747,                0.21384,                0.10671,                 2.2604,                 7.0208,                  2.397,                  1.841,               0.001151,               0.001151,               0.001151
                      6,                 2.4916,                 7.0353,                 2.4268,                0.65584,                0.12821,                0.19854,                0.10398,                 2.0305,                 6.4053,                 2.2909,                 2.6797,              0.0011263,              0.0011263,              0.0011263
                      7,                 2.3292,                 6.9773,                 2.3114,                0.16838,                0.46636,                0.30618,                0.16451,                 2.0577,                 6.5512,                 2.3114,                  0.795,              0.0011015,              0.0011015,              0.0011015
                      8,                 2.5496,                 6.6862,                 2.4335,                0.15666,                0.42948,                0.29772,                0.15879,                 2.2149,                 6.5472,                 2.3726,                 1.1671,              0.0010768,              0.0010768,              0.0010768
                      9,                 2.4177,                 6.2467,                 2.2911,                0.20995,                0.41953,                 0.3313,                0.18511,                 2.0418,                 6.6973,                 2.2749,                0.86134,               0.001052,               0.001052,               0.001052
                     10,                 2.5317,                 5.8881,                 2.3685,                0.15918,                0.48527,                0.30335,                0.14976,                 2.3394,                 6.0261,                 2.4174,                 1.3922,              0.0010273,              0.0010273,              0.0010273
                     11,                 2.5761,                 5.7977,                 2.3596,                0.24019,                0.47903,                0.37599,                0.20838,                 2.2197,                 6.3001,                 2.3203,                  1.971,              0.0010025,              0.0010025,              0.0010025
                     12,                 2.5781,                 5.8345,                 2.2859,                0.16177,                0.47649,                 0.3149,                0.16586,                 2.4067,                  6.328,                 2.3765,                0.64877,             0.00097775,             0.00097775,             0.00097775
                     13,                 2.5462,                 5.4623,                 2.2976,                0.16217,                0.48841,                0.36931,                0.20141,                 2.3138,                  6.197,                 2.3302,                 1.9202,               0.000953,               0.000953,               0.000953
                     14,                 2.6301,                 5.6048,                 2.4352,                0.19309,                0.48603,                0.39128,                0.21428,                 2.2639,                 6.2988,                 2.3177,                 1.0095,             0.00092825,             0.00092825,             0.00092825
                     15,                 2.5441,                 5.6396,                 2.2534,                0.15452,                  0.497,                0.35733,                0.19414,                 2.3153,                 6.2803,                 2.3198,                0.95261,              0.0009035,              0.0009035,              0.0009035
                     16,                 2.7668,                 5.4408,                 2.3676,                0.12557,                0.44707,                0.29359,                0.14508,                 2.7243,                  6.653,                 2.4025,                 1.0597,             0.00087875,             0.00087875,             0.00087875
                     17,                 2.7445,                   5.58,                  2.371,                0.20845,                0.47016,                0.34574,                0.18586,                  2.512,                 6.2778,                 2.3658,                0.73045,               0.000854,               0.000854,               0.000854
                     18,                 2.5537,                 5.1666,                 2.2437,                0.94656,                0.15291,                0.29199,                0.15224,                 2.5662,                 6.3757,                 2.3311,                 1.1779,             0.00082925,             0.00082925,             0.00082925
                     19,                  2.785,                 4.6934,                 2.3241,                0.23888,                 0.4975,                0.40721,                0.21674,                 2.5444,                 6.1524,                 2.3268,                0.74855,              0.0008045,              0.0008045,              0.0008045
                     20,                 2.5324,                 4.7545,                 2.1787,                0.17703,                0.48992,                0.36881,                0.19222,                 2.6996,                 6.7848,                 2.3539,                0.78339,             0.00077975,             0.00077975,             0.00077975
                     21,                 2.9448,                 5.0451,                 2.1837,                0.14691,                0.52391,                0.33973,                0.18126,                 2.5497,                 6.1076,                 2.3258,                0.72753,               0.000755,               0.000755,               0.000755
                     22,                  2.637,                 4.3663,                 2.3015,                0.15405,                0.49024,                0.36267,                 0.1951,                 2.6725,                 8.2035,                 2.3437,                0.53669,             0.00073025,             0.00073025,             0.00073025
