                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.646,                 8.4517,                 3.2397,                0.07147,                0.06196,                 0.0578,                0.02931,                 3.1435,                 7.7074,                 2.8209,                0.44202,             0.00017484,             0.00017484,             0.00017484
                      2,                 2.8682,                 5.9395,                 2.5892,                0.14735,                0.06869,                0.07081,                0.03868,                 2.9583,                 5.8264,                 2.5706,                0.26251,             0.00034324,             0.00034324,             0.00034324
                      3,                 2.7105,                  4.733,                 2.4636,                0.13076,                0.07356,                0.08315,                0.04234,                 2.9497,                 5.1324,                 2.5306,                0.11113,             0.00050469,             0.00050469,             0.00050469
                      4,                 2.6955,                 4.1141,                 2.4164,                0.11955,                0.08755,                0.08869,                0.04399,                 3.0158,                 5.2685,                 2.5295,               0.071116,             0.00049476,             0.00049476,             0.00049476
                      5,                 2.6902,                 3.7682,                 2.3816,                0.12349,                0.09331,                0.09401,                0.04796,                 2.7964,                 4.5232,                  2.427,                0.02478,             0.00048434,             0.00048434,             0.00048434
                      6,                 2.6031,                 3.5675,                 2.3652,                0.11911,                0.10038,                0.09568,                0.05013,                 2.8324,                 7.1206,                 2.3986,               0.048903,             0.00047393,             0.00047393,             0.00047393
                      7,                 2.5982,                 3.3694,                  2.353,                0.13321,                0.10583,                 0.1076,                  0.056,                 2.7787,                 4.9745,                 2.3718,               0.071779,             0.00046351,             0.00046351,             0.00046351
                      8,                 2.7438,                 3.3326,                 2.3751,                0.13764,                0.10721,                0.11155,                0.06153,                 2.8095,                 3.9966,                 2.3433,               0.096583,              0.0004531,              0.0004531,              0.0004531
                      9,                 2.7421,                 3.1717,                 2.3232,                0.13748,                0.10767,                0.11131,                0.06178,                 2.9887,                 4.3036,                 2.3577,               0.086089,             0.00044268,             0.00044268,             0.00044268
                     10,                 2.7131,                 3.3583,                  2.335,                0.13294,                0.10542,                0.10638,                0.05773,                 3.0429,                 5.9911,                 2.3844,               0.060934,             0.00043227,             0.00043227,             0.00043227
                     11,                 2.8472,                 3.2954,                 2.2767,                0.13889,                0.10787,                0.11135,                0.06282,                 2.9265,                  3.703,                 2.3284,               0.076372,             0.00042185,             0.00042185,             0.00042185
                     12,                 2.8864,                 3.2702,                 2.3031,                0.13907,                0.10762,                0.11161,                0.05975,                 3.1579,                 3.9691,                 2.3614,                0.13775,             0.00041144,             0.00041144,             0.00041144
                     13,                 2.8729,                 3.1244,                 2.2899,                0.13922,                0.11006,                0.11518,                0.06251,                 3.4697,                  3.975,                 2.3867,               0.077987,             0.00040102,             0.00040102,             0.00040102
                     14,                 2.9246,                 3.0286,                 2.2565,                0.13315,                0.10809,                0.10825,                0.05881,                 3.1473,                 5.5728,                 2.3266,                 0.1091,             0.00039061,             0.00039061,             0.00039061
                     15,                 3.0703,                 2.9613,                 2.2658,                0.14063,                0.10781,                0.11242,                0.06197,                  3.241,                 5.8199,                 2.3125,               0.041245,             0.00038019,             0.00038019,             0.00038019
                     16,                 3.0795,                 3.0152,                 2.2678,                0.13978,                0.10955,                 0.1136,                0.06272,                 3.3346,                 4.0897,                 2.3142,               0.091738,             0.00036978,             0.00036978,             0.00036978
                     17,                 3.0785,                 2.8235,                 2.2639,                0.14068,                0.11122,                0.11522,                0.06395,                 3.3147,                 3.8794,                 2.3037,                0.03672,             0.00035936,             0.00035936,             0.00035936
                     18,                 3.0357,                 2.7671,                 2.2466,                0.14052,                0.11144,                0.11549,                0.06483,                 3.4695,                 4.1137,                 2.3177,               0.045882,             0.00034895,             0.00034895,             0.00034895
                     19,                 3.0591,                 2.9976,                 2.2214,                0.14199,                0.11132,                0.11593,                0.06495,                 3.3505,                 4.0595,                 2.2702,               0.091212,             0.00033853,             0.00033853,             0.00033853
                     20,                 3.2252,                 2.8929,                 2.2296,                0.14289,                 0.1135,                0.11835,                 0.0655,                 3.4234,                 3.9882,                 2.2934,                0.13707,             0.00032812,             0.00032812,             0.00032812
                     21,                   3.17,                  2.774,                 2.2234,                0.14323,                 0.1135,                0.11704,                0.06566,                  3.432,                 4.3318,                 2.2664,               0.097295,              0.0003177,              0.0003177,              0.0003177
                     22,                 3.1968,                 3.2429,                 2.1945,                 0.1393,                0.11208,                0.11601,                 0.0647,                 3.5812,                 4.4579,                 2.2902,               0.056896,             0.00030729,             0.00030729,             0.00030729
                     23,                 3.2632,                 2.7954,                 2.2304,                0.14544,                0.11297,                0.11804,                0.06755,                 3.4827,                 3.6089,                 2.2642,                0.04714,             0.00029687,             0.00029687,             0.00029687
                     24,                 3.2826,                 2.7715,                  2.224,                0.14415,                0.11282,                0.11862,                0.06724,                 3.4645,                 3.8223,                 2.2449,                0.15555,             0.00028646,             0.00028646,             0.00028646
                     25,                 3.2451,                 2.8317,                    2.2,                0.14394,                0.11334,                0.11922,                0.06739,                 3.5385,                 3.9189,                  2.272,               0.078839,             0.00027604,             0.00027604,             0.00027604
                     26,                 3.2558,                 2.8494,                 2.1809,                0.14663,                0.11135,                0.11925,                0.06898,                 3.5095,                 3.9502,                 2.2452,               0.052995,             0.00026563,             0.00026563,             0.00026563
                     27,                 3.3579,                 2.8376,                 2.1891,                0.14507,                0.11318,                0.11844,                0.06744,                 3.5943,                 4.1701,                 2.2561,                0.14782,             0.00025522,             0.00025522,             0.00025522
                     28,                 3.2303,                 2.6559,                 2.1878,                0.14768,                0.11327,                0.11963,                0.06832,                 3.5686,                 3.3328,                 2.2489,               0.067338,              0.0002448,              0.0002448,              0.0002448
                     29,                 3.3499,                 2.7196,                 2.2112,                0.14854,                0.11464,                0.12094,                0.06899,                 3.7168,                 3.3317,                 2.2596,                 0.0922,             0.00023439,             0.00023439,             0.00023439
                     30,                 3.2336,                 2.6679,                 2.1994,                0.14826,                 0.1152,                0.12101,                0.07102,                 3.6309,                 3.2668,                 2.2371,                0.28796,             0.00022397,             0.00022397,             0.00022397
                     31,                 3.4069,                 2.7101,                 2.1993,                0.14686,                0.11519,                0.12035,                 0.0691,                 3.7051,                 3.9638,                 2.2406,               0.087856,             0.00021356,             0.00021356,             0.00021356
                     32,                 3.2595,                 2.6555,                 2.2012,                0.14588,                0.11382,                0.11988,                 0.0683,                 3.7144,                 4.0197,                 2.2464,                0.10783,             0.00020314,             0.00020314,             0.00020314
                     33,                 3.3404,                 3.1786,                  2.157,                0.14925,                0.11418,                0.12141,                0.06962,                 3.6966,                  3.605,                 2.2333,               0.039114,             0.00019273,             0.00019273,             0.00019273
                     34,                  3.452,                 2.6588,                 2.1915,                0.14386,                0.11419,                0.11905,                0.06827,                 3.8007,                 4.1378,                 2.2498,               0.061747,             0.00018231,             0.00018231,             0.00018231
                     35,                 3.2819,                 2.4349,                  2.171,                0.14876,                0.11454,                0.12172,                0.07044,                 3.7584,                  3.678,                   2.23,               0.072819,              0.0001719,              0.0001719,              0.0001719
                     36,                 3.3988,                 2.6549,                 2.2002,                0.14733,                0.11533,                0.12176,                0.06991,                 3.7886,                  3.769,                 2.2362,               0.058231,             0.00016148,             0.00016148,             0.00016148
                     37,                 3.4773,                  2.583,                 2.1664,                0.14942,                0.11458,                0.12036,                0.07016,                 3.7017,                 4.0246,                 2.2207,               0.071173,             0.00015107,             0.00015107,             0.00015107
                     38,                 3.2664,                 2.3298,                 2.1447,                0.14771,                0.11427,                0.12218,                0.07043,                 3.7658,                 4.1763,                 2.2244,               0.083623,             0.00014065,             0.00014065,             0.00014065
                     39,                 3.3554,                 2.4633,                 2.1384,                0.14645,                0.11519,                0.12119,                0.06966,                 3.7681,                 3.5805,                 2.2234,                0.30856,             0.00013024,             0.00013024,             0.00013024
                     40,                 3.4547,                  2.575,                 2.1645,                0.14664,                0.11562,                0.12233,                0.07106,                 3.7298,                 3.7373,                 2.2197,               0.067109,             0.00011982,             0.00011982,             0.00011982
                     41,                 3.4678,                 3.1029,                 2.1634,                0.14794,                0.11314,                0.12101,                0.07095,                 3.7715,                 4.0739,                 2.2172,                0.11385,             0.00010941,             0.00010941,             0.00010941
                     42,                 3.3768,                 3.2129,                 2.1655,                0.14481,                0.11535,                0.12262,                0.07092,                 3.8135,                 4.1726,                 2.2184,               0.024436,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     43,                 3.2524,                 3.5138,                  2.123,                0.14407,                0.11579,                0.12091,                0.06976,                 3.8387,                 4.3763,                  2.219,               0.056347,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     44,                 3.3588,                 2.7829,                 2.1891,                0.14469,                0.11697,                0.12215,                0.07097,                 3.8471,                 3.3448,                 2.2274,                0.22155,             7.8164e-05,             7.8164e-05,             7.8164e-05
