                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0814,                 5.7094,                 2.9398,                0.14001,                0.10834,                0.11103,                0.06101,                 2.6643,                 5.0546,                 2.5674,             0.00017484,             0.00017484,             0.00017484
                      2,                 2.4327,                 3.7428,                 2.3886,                 0.2087,                0.11288,                0.12141,                0.06712,                 2.5033,                 4.0113,                 2.4067,             0.00034324,             0.00034324,             0.00034324
                      3,                 2.3377,                 3.5313,                 2.3306,                0.21231,                0.10896,                 0.1188,                0.06621,                 2.6152,                  4.309,                 2.4199,             0.00050469,             0.00050469,             0.00050469
                      4,                  2.356,                 3.4004,                  2.301,                 0.2061,                0.10965,                0.11793,                0.06325,                 2.6471,                 4.6941,                 2.4106,             0.00049476,             0.00049476,             0.00049476
                      5,                 2.4583,                 3.3941,                 2.2663,                0.20686,                0.10703,                0.12219,                0.06781,                 2.5198,                 4.3599,                 2.3489,             0.00048434,             0.00048434,             0.00048434
                      6,                 2.4088,                 3.1551,                 2.2734,                0.20948,                0.10857,                0.12351,                 0.0668,                 2.6278,                 4.9207,                 2.3613,             0.00047393,             0.00047393,             0.00047393
                      7,                 2.4562,                 3.0919,                 2.2752,                0.22901,                0.13384,                0.13291,                0.07352,                 2.6143,                 3.8298,                 2.3362,             0.00046351,             0.00046351,             0.00046351
                      8,                 2.5976,                 3.0454,                 2.3064,                0.22379,                 0.1387,                0.13442,                0.07432,                 2.7179,                 5.0737,                 2.3242,              0.0004531,              0.0004531,              0.0004531
                      9,                 2.5918,                 2.8363,                 2.2585,                0.21604,                0.14156,                0.13157,                0.07287,                 2.9059,                  4.435,                 2.3497,             0.00044268,             0.00044268,             0.00044268
                     10,                 2.6284,                 2.8995,                  2.273,                0.22738,                0.14116,                0.13601,                0.07542,                 2.7833,                 3.5897,                 2.3182,             0.00043227,             0.00043227,             0.00043227
                     11,                 2.7197,                 2.8633,                 2.2211,                0.24098,                0.13706,                0.13767,                0.07825,                 2.7577,                 3.8003,                 2.3034,             0.00042185,             0.00042185,             0.00042185
                     12,                 2.7048,                 2.7447,                 2.2294,                0.24187,                0.14215,                  0.144,                0.07806,                 2.9129,                 3.6918,                  2.328,             0.00041144,             0.00041144,             0.00041144
                     13,                 2.7062,                 2.6475,                 2.2315,                0.24853,                0.14369,                0.14767,                 0.0826,                 2.9441,                 3.3006,                 2.3067,             0.00040102,             0.00040102,             0.00040102
                     14,                 2.7951,                 2.7222,                 2.2031,                0.24073,                0.14324,                0.14514,                0.08005,                 3.0048,                 3.4152,                 2.2927,             0.00039061,             0.00039061,             0.00039061
                     15,                 2.8827,                 2.6455,                 2.1976,                0.24951,                0.14225,                0.14447,                0.07994,                 3.0796,                 3.9194,                 2.2807,             0.00038019,             0.00038019,             0.00038019
                     16,                 2.9003,                 2.6999,                 2.2106,                0.25428,                0.14445,                0.14762,                 0.0825,                 3.0484,                 4.1608,                  2.274,             0.00036978,             0.00036978,             0.00036978
                     17,                 2.9161,                 2.5824,                 2.1966,                0.24988,                0.14311,                0.14268,                0.07959,                 3.1604,                 3.2805,                  2.283,             0.00035936,             0.00035936,             0.00035936
                     18,                 2.9224,                 2.5661,                 2.1922,                0.25263,                0.14884,                0.15195,                 0.0846,                 3.1739,                 3.1616,                 2.2705,             0.00034895,             0.00034895,             0.00034895
                     19,                 3.0096,                 2.6878,                 2.1807,                0.25415,                0.14749,                0.15166,                0.08362,                 3.2049,                 3.7386,                 2.2536,             0.00033853,             0.00033853,             0.00033853
                     20,                 3.0962,                 2.6171,                 2.1769,                0.25127,                0.14232,                0.14684,                0.08139,                 3.3395,                 3.6826,                 2.2813,             0.00032812,             0.00032812,             0.00032812
                     21,                 3.0582,                 2.5482,                 2.1799,                0.25799,                0.14877,                0.15156,                0.08392,                 3.3451,                 3.3946,                  2.255,              0.0003177,              0.0003177,              0.0003177
                     22,                 3.0939,                 2.5232,                 2.1558,                0.25779,                0.14845,                0.15432,                0.08553,                 3.3177,                 4.4825,                 2.2484,             0.00030729,             0.00030729,             0.00030729
                     23,                 3.1501,                 2.5056,                   2.17,                0.26411,                0.14738,                0.15522,                0.08737,                 3.3094,                 3.1444,                 2.2435,             0.00029687,             0.00029687,             0.00029687
                     24,                 3.1645,                 2.4743,                 2.1692,                0.25764,                0.14926,                0.15425,                0.08845,                 3.2987,                 3.2063,                 2.2353,             0.00028646,             0.00028646,             0.00028646
                     25,                 3.1639,                 2.5024,                 2.1678,                 0.2609,                0.14852,                0.15444,                0.08824,                 3.3548,                 4.3632,                  2.263,             0.00027604,             0.00027604,             0.00027604
                     26,                 3.0885,                 2.4435,                 2.1466,                0.25599,                0.14782,                0.15243,                0.08551,                 3.4266,                 3.7226,                  2.244,             0.00026563,             0.00026563,             0.00026563
                     27,                 3.2354,                 2.5351,                 2.1481,                0.25941,                 0.1507,                0.15658,                0.08847,                 3.4729,                 3.6906,                 2.2566,             0.00025522,             0.00025522,             0.00025522
