                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      train/replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5579,                 13.135,                 2.2415,                0.11681,                0.26353,                 0.1497,                0.08615,                 2.0087,                 7.1256,                 2.2528,                0.88216,             0.00036862,             0.00036862,             0.00036862
                      2,                 2.6142,                 8.3191,                 2.2776,                0.46768,                0.15829,                0.22518,                0.10643,                  2.315,                  5.635,                 2.3138,                 1.0586,             0.00072432,             0.00072432,             0.00072432
                      3,                 2.6976,                 8.7808,                 2.2778,                0.61674,                0.18565,                0.26878,                0.12477,                 2.2354,                 5.9144,                 2.3202,                0.90171,              0.0010654,              0.0010654,              0.0010654
                      4,                 2.7344,                 7.2674,                 2.2465,                0.19768,                0.38988,                0.29824,                0.14233,                 2.0888,                 4.9804,                 2.2906,                 1.1988,               0.001045,               0.001045,               0.001045
                      5,                 2.6526,                 7.2488,                 2.2135,                0.16774,                0.37516,                0.29688,                0.13902,                 2.4225,                 5.6364,                 2.3827,                  1.402,               0.001023,               0.001023,               0.001023
                      6,                 2.7999,                 6.5237,                 2.2684,                0.18529,                0.39296,                0.27962,                0.14609,                 2.4154,                 5.4435,                 2.3488,                0.65552,               0.001001,               0.001001,               0.001001
                      7,                 2.7181,                 5.9946,                 2.2349,                 0.1833,                0.50206,                0.35079,                0.17724,                  2.276,                 4.8943,                 2.3147,                 1.4037,             0.00097901,             0.00097901,             0.00097901
                      8,                 2.7326,                 6.1309,                  2.252,                 0.1793,                0.48282,                0.33135,                0.16061,                  2.411,                 4.6912,                 2.3464,                0.81913,             0.00095702,             0.00095702,             0.00095702
                      9,                 2.8993,                 5.1872,                 2.2563,                0.20036,                0.47435,                0.34071,                0.17294,                 2.4287,                 4.4529,                  2.331,                 1.0261,             0.00093502,             0.00093502,             0.00093502
                     10,                 3.1333,                  6.862,                 2.2789,                 0.1997,                0.48697,                0.37307,                0.19167,                 2.3819,                 4.9661,                 2.3109,                 1.0931,             0.00091302,             0.00091302,             0.00091302
                     11,                 3.0197,                 5.5553,                 2.2169,                0.66776,                0.29564,                0.37363,                0.19613,                 2.4315,                 4.3052,                  2.313,                 1.4811,             0.00089102,             0.00089102,             0.00089102
                     12,                 2.9971,                  5.032,                 2.2397,                0.33611,                0.38778,                0.37205,                0.18785,                 2.5376,                 4.5088,                 2.3316,                0.56629,             0.00086902,             0.00086902,             0.00086902
                     13,                 2.9105,                 6.0482,                 2.2113,                0.24288,                0.40922,                0.33477,                0.16503,                 2.6436,                 4.7848,                  2.323,                 2.8447,             0.00084703,             0.00084703,             0.00084703
                     14,                 2.9713,                 5.6311,                 2.2672,                0.18823,                0.49802,                0.37605,                0.18985,                 2.6334,                 4.5605,                 2.3328,                0.80391,             0.00082503,             0.00082503,             0.00082503
                     15,                 2.8595,                 5.3592,                 2.2016,                0.18107,                0.49022,                0.37801,                0.19067,                 2.6398,                 4.2641,                 2.3067,                 1.8683,             0.00080303,             0.00080303,             0.00080303
                     16,                 3.0478,                 5.2781,                 2.1697,                 0.5457,                   0.38,                0.36183,                0.18274,                  2.587,                  4.489,                 2.2813,                0.92093,             0.00078103,             0.00078103,             0.00078103
                     17,                 3.2064,                 4.9035,                 2.2241,                0.20875,                0.53413,                0.39067,                 0.2027,                 2.5947,                  4.664,                 2.2885,                0.51795,             0.00075904,             0.00075904,             0.00075904
                     18,                 3.1147,                 4.5707,                 2.2423,                0.65325,                0.32738,                0.37478,                0.18696,                 2.8428,                 4.1373,                 2.3208,                 1.1464,             0.00073704,             0.00073704,             0.00073704
                     19,                 3.2865,                 5.5608,                 2.2497,                0.24724,                0.43991,                0.37283,                0.19447,                 2.8347,                 5.4074,                 2.3301,                0.95411,             0.00071504,             0.00071504,             0.00071504
                     20,                 3.1475,                   5.41,                 2.1429,                0.26121,                0.44007,                0.37639,                0.19779,                 2.8335,                 4.5219,                 2.3077,                0.72057,             0.00069304,             0.00069304,             0.00069304
                     21,                 3.2637,                 4.8314,                 2.1855,                 0.5996,                0.36526,                0.37474,                0.19334,                 2.7902,                 4.4791,                 2.2812,                 0.5279,             0.00067104,             0.00067104,             0.00067104
                     22,                 3.1569,                 4.3105,                 2.2217,                0.29667,                0.48469,                0.42316,                0.22459,                 2.9284,                 4.3672,                 2.3091,                 0.9517,             0.00064905,             0.00064905,             0.00064905
                     23,                 3.1925,                 4.1559,                 2.1622,                  0.559,                0.40265,                0.39562,                0.20932,                 2.8777,                 4.4088,                 2.2848,                0.59978,             0.00062705,             0.00062705,             0.00062705
                     24,                 3.2486,                 5.0884,                 2.1518,                0.21814,                  0.498,                0.38551,                0.20498,                 2.9289,                 4.8228,                   2.29,                 1.1205,             0.00060505,             0.00060505,             0.00060505
                     25,                 3.3742,                 4.5484,                 2.1508,                0.24355,                0.47655,                0.37356,                0.19693,                 2.8963,                 5.3631,                 2.2896,                0.82115,             0.00058305,             0.00058305,             0.00058305
                     26,                 3.3643,                 5.3745,                 2.1693,                0.42514,                0.38303,                 0.4021,                0.21629,                 2.9923,                 4.6202,                 2.2942,                0.65583,             0.00056105,             0.00056105,             0.00056105
                     27,                 3.3618,                 4.7391,                 2.1753,                0.21605,                0.51974,                0.40457,                 0.2061,                 3.0212,                  4.526,                 2.2788,                0.55402,             0.00053906,             0.00053906,             0.00053906
                     28,                 3.4812,                 4.7764,                 2.1797,                0.22548,                0.51979,                0.40435,                0.21188,                 3.0425,                 4.8184,                 2.2945,                0.53622,             0.00051706,             0.00051706,             0.00051706
                     29,                 3.3789,                 4.4198,                 2.1785,                0.72105,                0.32011,                0.42349,                0.21959,                 3.1209,                 4.1454,                  2.305,                0.29632,             0.00049506,             0.00049506,             0.00049506
                     30,                 3.2898,                 4.1423,                 2.1212,                0.71926,                0.33123,                0.42959,                0.23244,                 3.0816,                 4.2532,                  2.301,                0.51969,             0.00047306,             0.00047306,             0.00047306
                     31,                 3.4213,                 3.9535,                 2.1311,                0.68148,                0.34953,                0.41962,                0.22034,                 3.1684,                  3.928,                 2.2868,                 1.5119,             0.00045107,             0.00045107,             0.00045107
                     32,                 3.3912,                 3.9153,                 2.1667,                 0.5728,                0.39953,                0.41431,                0.22066,                 3.1839,                 4.1516,                 2.2859,               0.042969,             0.00042907,             0.00042907,             0.00042907
                     33,                 3.5274,                 4.0286,                 2.1399,                 0.3968,                0.39245,                0.39607,                0.19922,                 3.3681,                 4.3944,                 2.2982,                0.92188,             0.00040707,             0.00040707,             0.00040707
                     34,                 3.6106,                 4.5316,                 2.1379,                0.55792,                0.35978,                0.39306,                0.21081,                 3.2099,                 4.4759,                 2.2685,                  1.133,             0.00038507,             0.00038507,             0.00038507
                     35,                 3.4196,                 4.7281,                 2.1371,                0.66275,                0.33859,                0.41019,                0.22222,                  3.118,                 4.0781,                 2.2522,                 1.0367,             0.00036307,             0.00036307,             0.00036307
                     36,                 3.3429,                 4.6218,                 2.1146,                0.66548,                0.36486,                0.41879,                0.21832,                 3.3159,                  4.333,                 2.2719,                0.48047,             0.00034108,             0.00034108,             0.00034108
                     37,                  3.508,                 4.7415,                 2.1072,                0.70364,                0.30434,                0.39672,                0.21044,                 3.2721,                 4.3883,                 2.2726,                0.54563,             0.00031908,             0.00031908,             0.00031908
