                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3759,                   6.54,                 2.0794,                0.16523,                0.35242,                0.28152,                0.17041,                 1.8978,                 4.6013,                 2.1961,                0.22963,             0.00036862,             0.00036862,             0.00036862
                      2,                 1.4123,                  3.224,                 2.0619,                0.53577,                0.40261,                 0.4354,                0.24275,                 1.9018,                  3.062,                 2.1896,               0.070081,             0.00072432,             0.00072432,             0.00072432
                      3,                 1.3645,                 2.7624,                 2.0635,                0.51627,                0.40832,                0.43057,                0.24424,                 2.0888,                 3.0185,                 2.2167,                0.28242,              0.0010654,              0.0010654,              0.0010654
                      4,                 1.4081,                 2.6682,                 2.0455,                 0.5591,                0.43902,                0.47188,                0.26766,                 1.9689,                 2.6154,                  2.199,               0.098577,               0.001045,               0.001045,               0.001045
                      5,                 1.4176,                 2.2841,                  2.028,                0.58333,                0.43985,                0.48228,                0.27369,                 1.9902,                  2.673,                 2.1911,                0.27937,               0.001023,               0.001023,               0.001023
                      6,                  1.412,                  2.309,                 2.0431,                0.59709,                0.45269,                0.49633,                0.28023,                 2.0366,                 2.5821,                 2.1883,                0.13883,               0.001001,               0.001001,               0.001001
                      7,                 1.4943,                 2.2098,                 2.0253,                0.59172,                0.45423,                0.48744,                0.27188,                 2.1807,                 2.5831,                 2.2267,                0.15583,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.4358,                 2.1962,                 2.0122,                 0.6185,                0.44689,                0.50697,                0.28737,                 2.2284,                 2.5807,                 2.2126,                 0.1656,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.5448,                 2.1405,                 2.0192,                0.60983,                0.45095,                 0.4987,                0.27946,                 2.3198,                 2.5139,                 2.2213,                0.21062,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.5234,                 2.1813,                 2.0243,                0.62607,                0.46559,                0.51753,                0.29645,                 2.2685,                 2.4108,                 2.1898,                0.19738,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.5867,                 2.0689,                 2.0258,                0.60902,                0.46643,                0.51185,                0.29369,                 2.3209,                 2.4415,                 2.1785,                0.16805,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.6326,                 2.0211,                 2.0056,                0.62057,                0.46063,                0.51293,                 0.2977,                 2.3717,                  2.494,                 2.1996,                0.17628,             0.00086902,             0.00086902,             0.00086902
                     13,                  1.549,                 2.0259,                 2.0226,                0.62787,                0.46681,                0.51663,                0.30088,                 2.3704,                 2.4513,                 2.1855,                0.13938,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.6387,                 1.9944,                 2.0203,                0.62674,                0.47216,                0.52423,                0.29975,                 2.4823,                 2.3871,                 2.2082,                0.26696,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.6157,                 1.9394,                 1.9806,                0.62898,                0.46211,                0.52718,                0.30368,                 2.5618,                 2.5356,                 2.1999,                0.19885,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.6433,                 1.9156,                 1.9951,                 0.6236,                0.46719,                0.51426,                 0.2948,                 2.6169,                 2.3668,                 2.1966,                 0.1298,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.6525,                 1.9149,                 1.9887,                0.63655,                0.46338,                0.52479,                0.29881,                 2.6445,                 2.5251,                 2.2068,                0.10441,             0.00075904,             0.00075904,             0.00075904
                     18,                 1.7073,                 1.9095,                 1.9915,                0.64184,                0.46714,                   0.53,                0.30985,                 2.5934,                 2.4362,                 2.1798,               0.080256,             0.00073704,             0.00073704,             0.00073704
                     19,                 1.6789,                 1.8467,                 1.9947,                0.61406,                 0.4615,                0.51046,                0.29352,                 2.8409,                 2.4411,                 2.2144,               0.038617,             0.00071504,             0.00071504,             0.00071504
                     20,                 1.7467,                 1.8511,                 1.9671,                 0.6377,                0.47101,                0.52865,                0.30348,                  2.809,                 2.3966,                  2.192,               0.099447,             0.00069304,             0.00069304,             0.00069304
                     21,                 1.8191,                 1.9022,                 1.9823,                0.64123,                0.47196,                0.53576,                0.31263,                   2.74,                 2.4027,                 2.1736,               0.067594,             0.00067104,             0.00067104,             0.00067104
                     22,                 1.7744,                 1.8238,                  1.986,                0.63939,                 0.4657,                 0.5264,                0.30459,                 2.8778,                 2.3998,                 2.1869,               0.064542,             0.00064905,             0.00064905,             0.00064905
                     23,                 1.8206,                 1.8116,                 1.9725,                0.63948,                0.46599,                0.52946,                0.30678,                 2.9217,                  2.438,                 2.1993,                 0.1249,             0.00062705,             0.00062705,             0.00062705
                     24,                 1.8518,                 1.8269,                  1.979,                0.63561,                0.47103,                0.53022,                0.31534,                 2.7891,                  2.406,                 2.1599,                0.13998,             0.00060505,             0.00060505,             0.00060505
                     25,                 1.9048,                 1.8182,                 1.9633,                0.63826,                0.47808,                 0.5343,                0.31015,                 2.9363,                 2.3451,                 2.1819,                0.09883,             0.00058305,             0.00058305,             0.00058305
                     26,                 1.8109,                 1.7789,                 1.9897,                0.63787,                0.46871,                0.52723,                0.30013,                  3.137,                 2.3735,                 2.2134,               0.074384,             0.00056105,             0.00056105,             0.00056105
                     27,                 1.9033,                 1.7777,                 1.9678,                  0.631,                0.46919,                0.52968,                0.30333,                 3.1279,                 2.4131,                 2.1941,               0.044714,             0.00053906,             0.00053906,             0.00053906
                     28,                 1.9002,                 1.7739,                 1.9694,                0.63294,                0.46968,                0.52505,                0.30668,                 3.0913,                    2.4,                 2.1795,               0.067777,             0.00051706,             0.00051706,             0.00051706
                     29,                  1.937,                 1.7612,                 1.9629,                0.63573,                0.47358,                0.53079,                0.30816,                 3.1225,                 2.3103,                 2.1729,               0.088745,             0.00049506,             0.00049506,             0.00049506
                     30,                 1.9878,                 1.7358,                  1.951,                0.63248,                0.47391,                0.53122,                 0.3107,                 3.0978,                 2.3154,                 2.1716,               0.052405,             0.00047306,             0.00047306,             0.00047306
                     31,                 1.9267,                 1.7009,                 1.9377,                0.64013,                0.47411,                0.53247,                0.31294,                  3.178,                 2.2982,                 2.1689,               0.079021,             0.00045107,             0.00045107,             0.00045107
                     32,                 1.9956,                 1.7179,                  1.953,                0.64375,                0.47161,                0.53431,                0.30671,                 3.2739,                  2.386,                 2.1935,               0.096755,             0.00042907,             0.00042907,             0.00042907
                     33,                 2.1205,                 1.7838,                 1.9534,                 0.6457,                0.47063,                0.53377,                0.30539,                 3.3934,                 2.3306,                 2.1945,               0.071973,             0.00040707,             0.00040707,             0.00040707
                     34,                  2.107,                 1.7281,                 1.9276,                0.63808,                0.46827,                0.53368,                0.31147,                 3.4109,                 2.3604,                 2.1855,               0.093044,             0.00038507,             0.00038507,             0.00038507
                     35,                 2.1098,                 1.7229,                 1.9481,                0.64721,                0.47359,                 0.5368,                0.31578,                 3.2271,                 2.3307,                 2.1643,               0.067189,             0.00036307,             0.00036307,             0.00036307
                     36,                 1.9443,                 1.7147,                 1.9444,                0.64891,                0.47221,                0.54136,                0.31553,                 3.3755,                 2.3591,                 2.1708,               0.029557,             0.00034108,             0.00034108,             0.00034108
                     37,                 2.0273,                 1.7154,                 1.9381,                0.64018,                0.48047,                0.53898,                0.31812,                 3.3052,                 2.2947,                 2.1652,               0.023547,             0.00031908,             0.00031908,             0.00031908
                     38,                 2.1686,                 1.6918,                 1.9156,                0.65829,                0.46845,                0.54037,                0.31437,                 3.4305,                 2.2951,                 2.1777,                0.10996,             0.00029708,             0.00029708,             0.00029708
                     39,                 2.0549,                 1.6389,                 1.9388,                0.65326,                0.48126,                0.54354,                0.32192,                 3.3151,                 2.2491,                 2.1561,               0.089805,             0.00027508,             0.00027508,             0.00027508
                     40,                 2.1715,                 1.6618,                 1.9224,                  0.634,                 0.4767,                0.53604,                0.31262,                 3.4788,                 2.2752,                 2.1749,               0.051769,             0.00025309,             0.00025309,             0.00025309
