                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      train/replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5663,                 7.0794,                 2.3135,                0.78216,                0.25846,                0.24654,                0.14212,                 1.8939,                 4.4546,                 2.1168,                  1.286,             0.00041474,             0.00041474,             0.00041474
                      2,                 1.3755,                 4.2696,                 2.1806,                0.62423,                0.32686,                 0.3235,                0.18892,                 1.7153,                 3.7284,                 2.1113,                0.37365,             0.00081494,             0.00081494,             0.00081494
                      3,                 1.3599,                  3.658,                 2.1869,                0.65197,                 0.3561,                0.36733,                0.19665,                 1.8185,                 3.4599,                 2.1637,                 1.0199,              0.0011986,              0.0011986,              0.0011986
                      4,                 1.3553,                 3.7425,                 2.1896,                 0.6643,                0.33699,                0.33754,                0.19259,                 1.9628,                 3.1425,                 2.2034,                0.25199,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.3483,                 3.1654,                 2.1833,                0.46475,                0.40118,                0.39637,                0.22692,                 1.7591,                 3.1365,                 2.1331,                0.75791,               0.001151,               0.001151,               0.001151
                      6,                 1.2736,                 2.7346,                 2.1799,                0.73791,                0.40986,                0.42517,                0.23806,                 1.9059,                 4.1648,                 2.1843,                0.45636,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.3321,                 2.6968,                 2.1849,                0.74908,                0.40844,                0.43087,                0.24512,                 1.9056,                  2.767,                 2.1688,                0.82093,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.3671,                 2.6521,                 2.1562,                0.77908,                0.44496,                0.47936,                0.26534,                 2.0288,                 3.0784,                 2.2526,                0.41018,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.4061,                 2.7862,                 2.2012,                0.79516,                0.43006,                0.47008,                0.27237,                 1.9777,                 2.5827,                 2.1716,                0.62907,               0.001052,               0.001052,               0.001052
                     10,                 1.4079,                 2.6107,                 2.1532,                0.81764,                 0.4167,                0.48573,                0.28265,                 2.0308,                 3.3589,                 2.1697,                0.76827,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.3845,                 2.4145,                 2.1755,                0.79442,                0.44825,                0.49826,                0.28901,                 2.0377,                 3.1742,                 2.1438,                0.47991,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.4582,                   2.39,                 2.1748,                0.81295,                0.45449,                0.49926,                0.29039,                 2.0615,                 3.4573,                 2.1503,                0.31903,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.4043,                 2.3117,                 2.1747,                0.81756,                0.45874,                0.50653,                0.28658,                  2.176,                 3.0058,                 2.1633,                0.47554,               0.000953,               0.000953,               0.000953
                     14,                 1.4575,                 2.2765,                 2.1464,                0.82374,                0.46782,                0.51624,                0.29684,                 2.2416,                 2.8288,                  2.183,                 1.3068,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.4885,                 2.4019,                 2.1243,                0.82428,                0.43948,                0.49917,                0.29838,                  2.287,                 2.6921,                 2.1692,                0.76432,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.5487,                 2.2715,                 2.1378,                0.83878,                0.46333,                0.51379,                0.29513,                 2.3047,                 2.8462,                 2.1483,                0.34505,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.5639,                 2.2428,                 2.1526,                0.83085,                0.46552,                0.52079,                0.30095,                 2.4182,                  2.728,                 2.1916,                0.45328,               0.000854,               0.000854,               0.000854
                     18,                 1.5053,                 2.1212,                 2.1446,                0.82817,                0.46987,                0.51341,                0.30298,                 2.3061,                 3.0793,                 2.1371,                 0.3098,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.5896,                 2.0697,                 2.1318,                0.84073,                 0.4741,                0.52174,                0.31084,                 2.3603,                 2.5547,                 2.1454,                0.14174,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.6044,                  2.071,                 2.1063,                0.83818,                0.45207,                0.51625,                0.30396,                 2.4243,                 3.3392,                 2.1693,                0.31641,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.6776,                 2.0811,                 2.0991,                0.84708,                 0.4769,                0.52898,                0.31603,                  2.455,                 2.6132,                 2.1591,                0.22222,               0.000755,               0.000755,               0.000755
                     22,                 1.6248,                  1.976,                 2.1048,                 0.8375,                0.46829,                0.53292,                0.31368,                 2.5137,                 3.3909,                 2.1397,                0.19721,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.7433,                 2.0271,                 2.1115,                0.82391,                0.46735,                0.51787,                0.30824,                 2.5672,                 2.5359,                 2.1463,                 0.1313,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.6805,                 1.9709,                 2.1074,                0.84432,                0.47194,                0.52771,                0.31766,                 2.5695,                 2.8672,                 2.1649,                0.44178,             0.00068075,             0.00068075,             0.00068075
                     25,                 1.7521,                 2.0255,                 2.0755,                 0.8397,                0.47692,                0.53073,                0.31451,                 2.6133,                 2.9511,                 2.1399,                 0.1499,               0.000656,               0.000656,               0.000656
                     26,                  1.584,                  1.953,                 2.0913,                0.84807,                0.47027,                0.53088,                 0.3144,                 2.6425,                 2.9167,                 2.1405,                0.19599,             0.00063125,             0.00063125,             0.00063125
                     27,                 1.6929,                 1.9875,                 2.0705,                0.62059,                0.50139,                0.53529,                0.31914,                 2.6998,                 2.4332,                 2.1418,               0.062858,              0.0006065,              0.0006065,              0.0006065
                     28,                 1.7041,                 2.1159,                 2.0728,                0.85997,                0.48164,                0.53984,                0.32084,                 2.6857,                 2.6199,                 2.1303,                0.29057,             0.00058175,             0.00058175,             0.00058175
                     29,                 1.7224,                 1.9747,                 2.0881,                0.84615,                0.47756,                 0.5285,                0.31598,                 2.7451,                 2.9173,                 2.1459,                0.24793,               0.000557,               0.000557,               0.000557
                     30,                 1.7109,                  1.975,                 2.0506,                 0.8615,                 0.4802,                0.54227,                0.32002,                 2.7472,                 2.9981,                 2.1291,                0.10554,             0.00053225,             0.00053225,             0.00053225
                     31,                 1.7557,                 1.8746,                 2.0518,                  0.851,                0.48372,                0.53951,                 0.3235,                 2.7176,                 2.8664,                 2.1119,                0.28936,              0.0005075,              0.0005075,              0.0005075
                     32,                 1.7451,                  1.894,                 2.0684,                0.85854,                0.47869,                0.56243,                0.33001,                 2.8668,                 2.8875,                 2.1464,                0.28481,             0.00048275,             0.00048275,             0.00048275
                     33,                 1.9293,                 1.9592,                 2.0682,                0.57995,                0.53479,                0.55136,                 0.3299,                 2.9147,                 3.2105,                 2.1561,                0.11875,               0.000458,               0.000458,               0.000458
                     34,                 1.8846,                 1.8772,                 2.0377,                0.83387,                0.49824,                0.55592,                0.33777,                 2.8739,                 2.3471,                 2.1312,                0.14361,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.8793,                 1.9171,                 2.0824,                0.85789,                0.48229,                0.55517,                 0.3371,                 2.8551,                 2.8893,                 2.1126,                0.06901,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.8762,                 1.8795,                 2.0405,                0.86796,                0.48189,                0.55571,                0.33751,                 2.8873,                 2.4125,                 2.1184,               0.046258,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.8649,                 1.8292,                 2.0371,                0.86868,                0.48575,                0.56705,                0.34473,                 2.8994,                 2.5815,                 2.1098,               0.079687,               0.000359,               0.000359,               0.000359
                     38,                 1.9391,                 1.7815,                  2.006,                0.61596,                 0.5081,                0.54612,                0.32778,                 2.9712,                 2.4023,                  2.118,                0.26113,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.8834,                 1.9067,                 2.0334,                0.85892,                0.49329,                0.54988,                0.33426,                 2.9678,                 2.5116,                 2.1094,                0.30223,              0.0003095,              0.0003095,              0.0003095
