                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7978,                 9.5055,                 2.8331,                0.54241,                 0.0726,                0.05018,                0.02943,                 2.6659,                 6.7107,                 2.6239,             0.00017484,             0.00017484,             0.00017484
                      2,                 2.5652,                 6.0619,                  2.534,                0.40851,                0.13206,                0.10588,                 0.0598,                 2.5287,                 5.3261,                 2.5374,             0.00034324,             0.00034324,             0.00034324
                      3,                 2.4692,                 4.7498,                 2.4674,                0.41616,                0.16188,                0.14773,                0.08307,                 2.5123,                 4.3798,                  2.477,             0.00050469,             0.00050469,             0.00050469
                      4,                 2.4838,                 4.3827,                 2.4491,                0.52751,                0.17026,                0.16432,                0.09469,                 2.5309,                 4.3725,                 2.4439,             0.00049476,             0.00049476,             0.00049476
                      5,                 2.5486,                 4.0242,                 2.4035,                0.40591,                0.19164,                0.18848,                0.10925,                  2.517,                 4.0436,                 2.4032,             0.00048434,             0.00048434,             0.00048434
                      6,                 2.4524,                 3.8349,                 2.3882,                0.42012,                0.21057,                0.19809,                0.11586,                 2.5377,                 3.8696,                 2.4045,             0.00047393,             0.00047393,             0.00047393
                      7,                 2.4925,                 3.7086,                 2.3727,                0.41866,                0.21803,                0.21294,                0.12047,                 2.6162,                 3.7127,                 2.4156,             0.00046351,             0.00046351,             0.00046351
                      8,                 2.6181,                 3.5995,                  2.374,                0.36846,                0.23523,                0.22617,                0.13264,                 2.5626,                 3.6504,                 2.3426,              0.0004531,              0.0004531,              0.0004531
                      9,                 2.6382,                 3.4158,                 2.3311,                0.36425,                 0.2464,                 0.2228,                 0.1275,                 2.7727,                 3.7263,                 2.3498,             0.00044268,             0.00044268,             0.00044268
                     10,                  2.615,                 3.3851,                 2.3295,                0.42305,                 0.2448,                0.24328,                0.13888,                 2.7304,                 3.6759,                 2.3548,             0.00043227,             0.00043227,             0.00043227
                     11,                  2.738,                  3.304,                 2.3013,                0.47743,                0.26133,                0.25894,                0.15132,                 2.6402,                 3.5186,                 2.3212,             0.00042185,             0.00042185,             0.00042185
                     12,                 2.6841,                 3.1849,                 2.2988,                 0.5017,                0.26014,                0.25752,                0.15054,                 2.7799,                 3.4779,                 2.3167,             0.00041144,             0.00041144,             0.00041144
                     13,                 2.7293,                 3.1233,                 2.3041,                0.47214,                0.27206,                0.26677,                0.15768,                 2.8162,                 3.5059,                 2.3048,             0.00040102,             0.00040102,             0.00040102
                     14,                 2.8572,                 3.1726,                 2.3013,                0.51594,                0.27899,                0.26981,                0.15709,                 2.9031,                 3.5078,                 2.3068,             0.00039061,             0.00039061,             0.00039061
                     15,                 2.8849,                 3.0369,                 2.2826,                0.52871,                0.28974,                0.28691,                0.16708,                 2.8821,                 3.3674,                 2.2921,             0.00038019,             0.00038019,             0.00038019
                     16,                 2.8737,                 3.0543,                 2.2885,                0.61318,                0.28651,                0.29135,                0.16771,                  3.024,                 3.3742,                 2.2961,             0.00036978,             0.00036978,             0.00036978
                     17,                 2.9204,                 2.9628,                 2.2571,                0.62317,                0.30378,                0.29733,                0.17176,                 3.0268,                 3.2791,                 2.2849,             0.00035936,             0.00035936,             0.00035936
                     18,                 2.9299,                   2.92,                 2.2639,                0.56149,                0.30641,                0.30357,                0.17251,                 3.0842,                 3.2231,                 2.2996,             0.00034895,             0.00034895,             0.00034895
                     19,                  2.978,                 2.9492,                 2.2563,                0.57328,                0.31382,                 0.3075,                0.17833,                 3.1142,                 3.2455,                 2.2888,             0.00033853,             0.00033853,             0.00033853
                     20,                 3.0664,                 2.8887,                 2.2841,                0.61001,                0.31621,                0.31759,                0.18134,                 3.1784,                 3.1898,                 2.2949,             0.00032812,             0.00032812,             0.00032812
                     21,                 3.0721,                 2.8722,                 2.2623,                0.59933,                0.32033,                0.31804,                0.18556,                 3.1925,                 3.1606,                 2.2714,              0.0003177,              0.0003177,              0.0003177
                     22,                 3.0478,                 2.7888,                 2.2396,                0.60332,                0.31742,                0.31806,                0.18806,                 3.1332,                 3.1922,                 2.2538,             0.00030729,             0.00030729,             0.00030729
                     23,                 3.1487,                 2.7967,                 2.2472,                0.57847,                0.32605,                0.33006,                0.19466,                 3.1872,                 3.0323,                 2.2614,             0.00029687,             0.00029687,             0.00029687
                     24,                 3.1781,                 2.8039,                 2.2555,                0.61572,                0.32137,                0.32603,                0.19345,                 3.2361,                 3.0469,                 2.2577,             0.00028646,             0.00028646,             0.00028646
