                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.593,                 10.555,                 2.4564,                0.58875,                 0.0464,                0.03433,                0.01493,                 2.5758,                 6.4126,                 2.4018,             0.00017484,             0.00017484,             0.00017484
                      2,                 2.4931,                 5.8415,                 2.3296,                0.49467,                0.08491,                0.06365,                0.03121,                 2.6329,                 6.6802,                 2.3941,             0.00034324,             0.00034324,             0.00034324
                      3,                 2.3929,                 4.6653,                 2.3134,                 0.5873,                0.10367,                0.09023,                0.04467,                 2.5534,                 5.7791,                 2.3647,             0.00050469,             0.00050469,             0.00050469
                      4,                 2.4053,                  4.378,                 2.2976,                0.60391,                0.11646,                0.10401,                0.05155,                 2.5227,                 4.6014,                 2.3342,             0.00049476,             0.00049476,             0.00049476
                      5,                 2.4524,                   3.91,                 2.2498,                0.34201,                0.12061,                0.11106,                0.05834,                 2.4712,                 3.8203,                 2.3027,             0.00048434,             0.00048434,             0.00048434
                      6,                 2.4369,                 3.7079,                 2.2598,                0.48289,                0.12264,                0.11567,                 0.0568,                 2.6397,                 3.8649,                   2.35,             0.00047393,             0.00047393,             0.00047393
                      7,                 2.4476,                   3.58,                 2.2514,                0.30185,                0.13316,                0.13057,                0.06784,                 2.5227,                 3.7764,                 2.2895,             0.00046351,             0.00046351,             0.00046351
                      8,                 2.5806,                 3.4757,                 2.2642,                0.30676,                0.13433,                0.13559,                 0.0727,                 2.5619,                 4.5606,                  2.272,              0.0004531,              0.0004531,              0.0004531
                      9,                 2.6134,                 3.2317,                 2.2298,                0.21031,                0.13037,                 0.1211,                0.06375,                 2.8013,                 3.7757,                 2.2963,             0.00044268,             0.00044268,             0.00044268
                     10,                  2.588,                 3.3563,                 2.2342,                0.23948,                0.13631,                0.13566,                0.07112,                 2.7021,                  3.365,                 2.2617,             0.00043227,             0.00043227,             0.00043227
                     11,                  2.726,                 3.2435,                 2.1953,                 0.2452,                0.13949,                 0.1386,                0.07547,                 2.6421,                 3.8164,                 2.2331,             0.00042185,             0.00042185,             0.00042185
                     12,                 2.6734,                 3.0072,                  2.198,                0.17351,                0.14037,                0.13862,                 0.0735,                 2.8443,                 4.1346,                 2.2436,             0.00041144,             0.00041144,             0.00041144
                     13,                 2.6888,                 2.9895,                 2.1988,                0.31722,                0.14381,                0.14798,                0.08256,                 2.8381,                 4.2823,                 2.2574,             0.00040102,             0.00040102,             0.00040102
                     14,                 2.7747,                  3.068,                 2.1682,                0.24013,                 0.1439,                0.14209,                0.07652,                 2.9003,                    3.5,                  2.241,             0.00039061,             0.00039061,             0.00039061
                     15,                 2.8505,                 2.9278,                  2.174,                0.25683,                 0.1421,                 0.1502,                0.08428,                 2.9423,                 3.8242,                 2.2251,             0.00038019,             0.00038019,             0.00038019
                     16,                 2.9112,                 2.9558,                 2.1961,                0.25684,                 0.1457,                0.15246,                0.08471,                 2.9476,                 3.5994,                 2.2277,             0.00036978,             0.00036978,             0.00036978
                     17,                 2.8949,                 2.9251,                 2.1725,                 0.2511,                0.14651,                0.14869,                0.08301,                 3.0249,                 3.0659,                 2.2319,             0.00035936,             0.00035936,             0.00035936
                     18,                  2.885,                 2.8567,                 2.1598,                0.32558,                 0.1452,                0.15424,                0.08599,                 3.1374,                 3.2764,                  2.242,             0.00034895,             0.00034895,             0.00034895
                     19,                 2.9712,                 2.8397,                 2.1592,                0.25846,                0.14734,                0.15411,                0.08367,                 3.2596,                 3.7505,                 2.2396,             0.00033853,             0.00033853,             0.00033853
                     20,                 3.0972,                 2.8627,                 2.1648,                 0.2609,                0.14813,                0.15603,                0.08542,                  3.179,                 3.1795,                  2.233,             0.00032812,             0.00032812,             0.00032812
                     21,                 3.0422,                 2.7627,                  2.158,                0.26014,                 0.1468,                0.15387,                0.08644,                 3.1785,                  3.722,                 2.1932,              0.0003177,              0.0003177,              0.0003177
                     22,                 3.0512,                 2.7014,                 2.1318,                0.26104,                0.14764,                0.15625,                0.08853,                 3.1755,                 3.4375,                 2.2102,             0.00030729,             0.00030729,             0.00030729
                     23,                 3.0967,                 2.6776,                 2.1393,                 0.2653,                0.15175,                0.15875,                0.09156,                 3.1657,                   3.36,                  2.209,             0.00029687,             0.00029687,             0.00029687
                     24,                 3.1165,                   2.63,                 2.1439,                0.26069,                0.15144,                0.15832,                0.08928,                 3.2555,                 3.5374,                 2.1971,             0.00028646,             0.00028646,             0.00028646
                     25,                 3.1021,                 2.7285,                 2.1353,                0.26351,                0.15386,                0.16142,                0.09345,                 3.2961,                 3.1837,                 2.1971,             0.00027604,             0.00027604,             0.00027604
                     26,                 3.0471,                   2.64,                 2.1193,                0.26056,                0.15035,                0.15982,                0.09044,                 3.3776,                 3.6748,                 2.1925,             0.00026563,             0.00026563,             0.00026563
                     27,                 3.2103,                 2.9331,                 2.1103,                0.26423,                0.14822,                0.15986,                0.09195,                 3.3603,                 3.3996,                 2.1923,             0.00025522,             0.00025522,             0.00025522
                     28,                 3.1154,                 2.6802,                 2.1182,                0.26306,                0.15007,                0.15933,                0.08969,                 3.4645,                 2.7908,                 2.2103,              0.0002448,              0.0002448,              0.0002448
                     29,                 3.2185,                 2.7277,                 2.1374,                0.26734,                0.15416,                0.16266,                0.09365,                 3.4261,                 2.7954,                 2.2221,             0.00023439,             0.00023439,             0.00023439
                     30,                 3.1255,                 2.4993,                 2.1376,                0.26633,                0.15162,                0.16033,                0.09426,                  3.379,                 2.6851,                 2.1849,             0.00022397,             0.00022397,             0.00022397
