                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6443,                 8.1417,                 2.3781,                0.63059,                0.19475,                0.14223,                0.05433,                  2.533,                 5.2857,                 2.2386,             0.00036862,             0.00036862,             0.00036862
                      2,                 2.3433,                 4.8854,                 2.2593,                0.50894,                0.27945,                0.23119,                0.11217,                 2.2805,                 4.1077,                 2.2555,             0.00072432,             0.00072432,             0.00072432
                      3,                 2.2606,                 4.1401,                 2.2692,                0.35999,                0.30812,                0.28004,                0.12992,                 2.2256,                 3.5744,                  2.248,              0.0010654,              0.0010654,              0.0010654
                      4,                 2.2508,                 3.8836,                 2.2586,                0.43967,                0.36849,                0.36017,                0.17532,                 2.1322,                 3.1411,                  2.226,               0.001045,               0.001045,               0.001045
                      5,                 2.2197,                 3.4017,                 2.2314,                0.47921,                0.38762,                 0.3958,                 0.1951,                 2.1275,                 2.9642,                 2.1751,               0.001023,               0.001023,               0.001023
                      6,                 2.2117,                 3.3644,                 2.2443,                0.49271,                0.35999,                0.38674,                0.20559,                 2.2119,                 3.0676,                  2.185,               0.001001,               0.001001,               0.001001
                      7,                  2.224,                 3.1456,                 2.2246,                0.64741,                0.38112,                0.37744,                0.19568,                  2.266,                 3.1681,                 2.1909,             0.00097901,             0.00097901,             0.00097901
                      8,                 2.2067,                 3.0458,                 2.2027,                0.73423,                 0.4244,                0.46357,                0.24709,                 2.1961,                   2.87,                  2.182,             0.00095702,             0.00095702,             0.00095702
                      9,                 2.2982,                 2.9074,                 2.2077,                0.55209,                0.42834,                0.46186,                0.24791,                 2.2656,                 2.6078,                 2.1859,             0.00093502,             0.00093502,             0.00093502
                     10,                 2.3548,                 2.9938,                 2.2211,                0.74136,                0.42288,                0.45473,                0.24223,                 2.2871,                 2.7995,                 2.1902,             0.00091302,             0.00091302,             0.00091302
                     11,                 2.3079,                 2.7723,                 2.1978,                0.72616,                0.41832,                0.44505,                0.23914,                 2.5234,                 2.6238,                 2.2023,             0.00089102,             0.00089102,             0.00089102
                     12,                 2.3385,                 2.6971,                 2.1848,                0.75406,                0.41826,                0.46056,                0.24647,                 2.3994,                 2.5861,                 2.1857,             0.00086902,             0.00086902,             0.00086902
                     13,                 2.2535,                 2.6447,                 2.1827,                0.75199,                0.41364,                0.45878,                0.24742,                 2.4397,                 2.9474,                 2.1688,             0.00084703,             0.00084703,             0.00084703
                     14,                 2.3703,                 2.6509,                 2.1704,                0.77851,                0.43693,                0.49447,                0.27404,                 2.5003,                 2.7462,                  2.179,             0.00082503,             0.00082503,             0.00082503
                     15,                 2.3735,                 2.4988,                 2.1568,                0.78607,                0.45383,                 0.5024,                0.27692,                 2.4301,                  2.526,                 2.1499,             0.00080303,             0.00080303,             0.00080303
                     16,                 2.4211,                 2.5009,                 2.1689,                0.77561,                 0.4499,                0.49184,                0.26445,                  2.569,                 2.5943,                 2.1615,             0.00078103,             0.00078103,             0.00078103
                     17,                 2.4375,                 2.4978,                 2.1439,                0.80428,                0.46438,                0.51714,                0.28134,                 2.5848,                 2.4151,                 2.1627,             0.00075904,             0.00075904,             0.00075904
                     18,                 2.4095,                 2.4151,                 2.1421,                0.80186,                0.45689,                0.49927,                0.26267,                 2.6509,                 2.5169,                 2.1758,             0.00073704,             0.00073704,             0.00073704
                     19,                 2.4598,                 2.4267,                 2.1508,                0.82125,                 0.4743,                0.52081,                0.29041,                 2.6317,                 2.2583,                 2.1578,             0.00071504,             0.00071504,             0.00071504
                     20,                 2.4469,                 2.3521,                 2.1162,                0.79217,                0.45312,                0.50427,                0.27525,                 2.7302,                 2.5259,                 2.1566,             0.00069304,             0.00069304,             0.00069304
                     21,                 2.5943,                 2.3907,                  2.124,                0.81341,                 0.4827,                0.52497,                0.29472,                 2.5947,                 2.4106,                 2.1348,             0.00067104,             0.00067104,             0.00067104
                     22,                  2.525,                 2.2816,                 2.1308,                0.82278,                0.47238,                0.52477,                0.29631,                 2.7052,                 2.3144,                 2.1227,             0.00064905,             0.00064905,             0.00064905
                     23,                 2.5888,                 2.2894,                 2.1266,                0.81768,                0.46989,                0.52054,                0.29105,                 2.7104,                 2.2395,                 2.1187,             0.00062705,             0.00062705,             0.00062705
                     24,                 2.6082,                 2.3496,                 2.1244,                0.82402,                0.47359,                0.52443,                0.29576,                 2.7233,                 2.3017,                 2.1274,             0.00060505,             0.00060505,             0.00060505
                     25,                 2.6575,                 2.2819,                 2.1049,                 0.8073,                0.47211,                0.52039,                 0.2958,                  2.799,                 2.2994,                 2.1355,             0.00058305,             0.00058305,             0.00058305
                     26,                 2.5501,                 2.2128,                 2.1404,                0.81392,                 0.4788,                0.51839,                0.29328,                 2.9153,                  2.297,                  2.138,             0.00056105,             0.00056105,             0.00056105
                     27,                 2.6814,                 2.2466,                 2.1189,                0.58399,                0.53096,                0.53205,                0.29509,                 2.9261,                 2.2852,                 2.1376,             0.00053906,             0.00053906,             0.00053906
                     28,                 2.6458,                 2.2104,                 2.1071,                0.81585,                0.48109,                0.52758,                0.30562,                 2.8746,                  2.279,                 2.1273,             0.00051706,             0.00051706,             0.00051706
                     29,                 2.6292,                 2.1633,                 2.1001,                0.80533,                0.48121,                0.52936,                0.30224,                 2.9217,                 2.2803,                 2.1182,             0.00049506,             0.00049506,             0.00049506
                     30,                  2.687,                  2.146,                 2.0906,                0.82563,                0.48912,                0.53637,                0.30423,                 2.9108,                 2.2371,                 2.1158,             0.00047306,             0.00047306,             0.00047306
                     31,                 2.6819,                 2.0809,                 2.0745,                 0.8268,                0.48153,                0.53268,                0.30392,                 3.0152,                  2.294,                 2.1266,             0.00045107,             0.00045107,             0.00045107
                     32,                 2.6713,                 2.0661,                 2.0768,                0.70879,                0.50633,                0.54878,                0.31891,                  3.028,                 2.2191,                 2.1214,             0.00042907,             0.00042907,             0.00042907
