                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87661,                 8.4411,                 2.6592,                0.42351,                0.24048,                0.17059,                0.12019,                0.96242,                 4.3787,                  3.107,             0.00018147,             0.00018147,             0.00018147
                      2,                0.93369,                 4.5188,                 2.5959,                0.60628,                 0.4004,                0.35397,                0.24207,                0.91868,                 2.9635,                 2.7588,             0.00035954,             0.00035954,             0.00035954
                      3,                0.96457,                 3.5683,                 2.5188,                0.66166,                0.41263,                  0.435,                0.29321,                0.99958,                  2.811,                 2.8646,             0.00053027,             0.00053027,             0.00053027
                      4,                0.98633,                  3.141,                 2.5787,                0.52647,                0.49683,                0.45232,                0.28208,                 1.1632,                 2.8453,                 2.9531,             0.00052297,             0.00052297,             0.00052297
                      5,                0.95138,                 2.7628,                 2.5145,                0.56751,                 0.5238,                0.55264,                0.36894,                 1.0025,                 2.3394,                 2.8086,             0.00051196,             0.00051196,             0.00051196
                      6,                0.95284,                 2.4907,                 2.5305,                0.61066,                0.53623,                0.59572,                 0.3956,                 1.0037,                 2.2779,                 2.8396,             0.00050096,             0.00050096,             0.00050096
                      7,                0.94432,                 2.3278,                 2.5026,                0.58873,                0.61299,                0.62379,                 0.4111,                 1.0428,                 2.1524,                 2.8734,             0.00048995,             0.00048995,             0.00048995
                      8,                0.94803,                 2.2064,                  2.508,                0.56436,                0.54818,                0.53529,                0.36703,                0.98285,                 2.3534,                 2.7883,             0.00047894,             0.00047894,             0.00047894
                      9,                0.93663,                 2.1472,                 2.5186,                0.54423,                0.56154,                0.55207,                0.36817,                 1.0297,                 2.3448,                 2.8378,             0.00046793,             0.00046793,             0.00046793
                     10,                0.93201,                 2.0891,                 2.5245,                0.63896,                0.58077,                0.62246,                 0.4195,                0.97033,                  2.072,                 2.7609,             0.00045692,             0.00045692,             0.00045692
                     11,                0.93636,                 1.9329,                 2.4921,                0.60488,                0.61214,                0.63713,                0.43475,                 0.9768,                 2.0425,                 2.7406,             0.00044591,             0.00044591,             0.00044591
                     12,                0.92912,                 1.9062,                 2.4992,                0.59346,                0.61192,                0.62613,                0.41439,                 1.0601,                 2.1943,                 2.8452,              0.0004349,              0.0004349,              0.0004349
                     13,                0.93862,                 1.9369,                 2.5288,                 0.6137,                0.61847,                0.64009,                 0.4305,                 1.0034,                 2.1192,                  2.792,             0.00042389,             0.00042389,             0.00042389
                     14,                0.90972,                 1.8484,                 2.5084,                0.65392,                0.64063,                0.66679,                0.44464,                 1.0144,                 1.9239,                 2.7895,             0.00041289,             0.00041289,             0.00041289
                     15,                0.92096,                 1.7797,                 2.5222,                0.62428,                0.63204,                0.65808,                0.44745,                0.98702,                 2.0121,                 2.7758,             0.00040188,             0.00040188,             0.00040188
                     16,                0.94468,                  1.762,                 2.5101,                0.55399,                0.61067,                0.62149,                0.42454,                 1.0102,                 2.1027,                 2.7536,             0.00039087,             0.00039087,             0.00039087
                     17,                0.91053,                 1.7245,                 2.4568,                0.64534,                 0.6653,                0.68458,                0.46431,                0.98805,                  1.884,                 2.7617,             0.00037986,             0.00037986,             0.00037986
                     18,                0.91202,                 1.6729,                 2.4774,                 0.6548,                0.65653,                0.67252,                0.45453,                 1.0171,                 1.9343,                 2.7921,             0.00036885,             0.00036885,             0.00036885
                     19,                0.89753,                 1.6012,                 2.4457,                0.64365,                0.63789,                0.68621,                0.46658,                0.99508,                  1.865,                 2.7377,             0.00035784,             0.00035784,             0.00035784
                     20,                0.88849,                 1.5642,                 2.4212,                0.66417,                0.62512,                0.67919,                0.45875,                 1.0073,                 1.9538,                 2.7668,             0.00034683,             0.00034683,             0.00034683
                     21,                0.91229,                 1.5998,                 2.4764,                0.67588,                0.66439,                 0.7053,                0.47413,                 1.0385,                 1.8958,                 2.7773,             0.00033582,             0.00033582,             0.00033582
                     22,                0.91799,                 1.5647,                 2.4496,                0.67667,                0.68688,                0.70971,                0.47756,                  1.029,                 1.7979,                 2.7702,             0.00032482,             0.00032482,             0.00032482
                     23,                0.92039,                 1.5201,                  2.443,                0.67904,                0.68262,                0.70725,                 0.4802,                  1.024,                 1.8252,                 2.7517,             0.00031381,             0.00031381,             0.00031381
                     24,                0.91836,                 1.5101,                 2.4693,                0.71879,                 0.6519,                0.71096,                0.48106,                 1.0571,                 1.8424,                 2.7687,              0.0003028,              0.0003028,              0.0003028
                     25,                0.90152,                 1.4596,                 2.4264,                0.69744,                0.68984,                0.73205,                0.49567,                 1.0464,                 1.7775,                 2.7753,             0.00029179,             0.00029179,             0.00029179
                     26,                 0.9113,                 1.4629,                 2.4313,                0.66593,                0.69119,                0.71025,                0.48534,                 1.0647,                 1.7927,                  2.769,             0.00028078,             0.00028078,             0.00028078
                     27,                0.91756,                 1.4736,                 2.4261,                0.70902,                0.70245,                0.74741,                0.50916,                 1.0587,                 1.7254,                 2.7723,             0.00026977,             0.00026977,             0.00026977
                     28,                 0.9023,                 1.3944,                 2.4068,                0.68947,                0.70611,                0.72878,                 0.4991,                 1.0644,                 1.7602,                 2.7705,             0.00025876,             0.00025876,             0.00025876
                     29,                0.89767,                 1.3976,                 2.3961,                 0.7465,                0.71977,                0.75744,                0.51755,                 1.0687,                 1.6813,                  2.766,             0.00024775,             0.00024775,             0.00024775
                     30,                0.89754,                  1.355,                  2.385,                 0.7164,                0.70795,                0.73504,                0.50032,                 1.0962,                  1.736,                 2.7828,             0.00023674,             0.00023674,             0.00023674
                     31,                0.89767,                 1.3539,                 2.4106,                0.67517,                0.70809,                0.73467,                 0.4992,                 1.0856,                 1.7496,                 2.7742,             0.00022574,             0.00022574,             0.00022574
                     32,                0.89764,                 1.3504,                 2.3828,                0.74247,                 0.6971,                0.76262,                0.52172,                 1.0854,                 1.6618,                 2.7734,             0.00021473,             0.00021473,             0.00021473
                     33,                0.92538,                 1.3571,                 2.4099,                 0.7657,                0.69698,                0.76747,                0.52737,                 1.0735,                 1.6774,                 2.7558,             0.00020372,             0.00020372,             0.00020372
                     34,                0.89125,                 1.2889,                 2.3694,                0.74814,                 0.7024,                 0.7648,                0.52337,                 1.1008,                  1.688,                 2.7637,             0.00019271,             0.00019271,             0.00019271
                     35,                0.90374,                 1.3002,                 2.3837,                0.73674,                0.71218,                0.75817,                0.51488,                 1.0932,                 1.6846,                 2.7584,              0.0001817,              0.0001817,              0.0001817
                     36,                0.88306,                 1.2645,                 2.3493,                0.75288,                 0.7182,                0.76721,                0.52644,                 1.0962,                  1.644,                 2.7485,             0.00017069,             0.00017069,             0.00017069
                     37,                0.89347,                 1.2452,                 2.3527,                0.72632,                0.74372,                0.76288,                0.51755,                  1.119,                 1.6964,                 2.7667,             0.00015968,             0.00015968,             0.00015968
                     38,                 0.9081,                 1.2829,                 2.3746,                0.75541,                0.71534,                0.77216,                 0.5285,                 1.1321,                  1.657,                 2.7654,             0.00014867,             0.00014867,             0.00014867
                     39,                0.88597,                 1.2494,                 2.3567,                0.73612,                0.73353,                0.77412,                0.52364,                 1.1458,                 1.6073,                 2.7837,             0.00013767,             0.00013767,             0.00013767
                     40,                 0.8905,                 1.2275,                 2.3455,                0.71568,                0.70718,                0.75281,                0.51374,                  1.138,                 1.6813,                 2.7576,             0.00012666,             0.00012666,             0.00012666
                     41,                0.83453,                  1.109,                 2.4035,                0.76175,                0.71741,                0.76929,                0.52404,                 1.1758,                 1.6524,                 2.7715,             0.00011565,             0.00011565,             0.00011565
                     42,                0.81508,                 1.0646,                 2.3604,                0.73095,                0.73285,                0.76018,                 0.5224,                 1.1483,                 1.6528,                  2.761,             0.00010464,             0.00010464,             0.00010464
                     43,                0.80951,                 1.0734,                 2.3676,                0.75509,                0.70221,                0.76187,                0.52462,                 1.1561,                 1.6975,                 2.7512,              9.363e-05,              9.363e-05,              9.363e-05
                     44,                0.80313,                 1.0229,                 2.3529,                 0.7553,                0.73296,                0.78031,                0.53508,                 1.1664,                 1.6432,                 2.7643,             8.2622e-05,             8.2622e-05,             8.2622e-05
                     45,                 0.8025,                0.99954,                 2.3571,                0.75153,                0.73762,                0.77409,                0.53237,                 1.1702,                 1.6503,                 2.7585,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     46,                 0.7875,                0.98633,                 2.3247,                0.77521,                0.72639,                0.78653,                0.54072,                 1.1817,                 1.6129,                 2.7684,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     47,                0.79857,                0.99556,                  2.327,                 0.7478,                0.75216,                0.78301,                0.53934,                  1.184,                 1.6357,                 2.7715,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     48,                0.78828,                0.96691,                  2.318,                 0.7519,                  0.733,                 0.7766,                0.53543,                  1.189,                 1.6556,                 2.7545,             3.8586e-05,             3.8586e-05,             3.8586e-05
                     49,                0.79706,                0.97716,                 2.3396,                0.78008,                0.71624,                0.77857,                0.53569,                 1.1921,                 1.6451,                 2.7505,             2.7578e-05,             2.7578e-05,             2.7578e-05
                     50,                  0.801,                0.96515,                 2.3067,                0.77536,                0.71868,                0.77343,                0.53262,                 1.2048,                 1.6562,                 2.7571,             1.6569e-05,             1.6569e-05,             1.6569e-05
