                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6195,                 9.8968,                 3.3166,                 0.6824,                 0.2326,                0.17662,                0.10276,                 1.2353,                 15.813,                 3.1947,                      0,             0.00020312,             0.00020312,             0.00020312
                      2,                 1.3521,                 5.5743,                  3.011,                 0.3288,                 0.4448,                0.33108,                0.19451,                 1.2462,                 3.4343,                 3.2262,                      0,             0.00040331,             0.00040331,             0.00040331
                      3,                 1.2581,                 4.3223,                 2.8842,                0.53045,                0.53243,                0.52169,                0.32343,                 1.2006,                 3.1495,                  3.154,                      0,             0.00059525,             0.00059525,             0.00059525
                      4,                 1.2643,                  3.789,                 2.8653,                0.51868,                0.55998,                0.54578,                0.33223,                 1.1957,                  2.847,                 3.1331,               0.002793,             0.00058787,             0.00058787,             0.00058787
                      5,                 1.2179,                 3.5159,                 2.8542,                 0.6197,                0.59093,                0.62162,                0.39846,                 1.1345,                  2.517,                  3.059,             0.00018467,              0.0005755,              0.0005755,              0.0005755
                      6,                 1.1712,                 3.0722,                 2.8341,                0.65402,                0.60611,                0.65374,                0.42111,                  1.105,                 2.5524,                 3.0457,             2.5385e-05,             0.00056313,             0.00056313,             0.00056313
                      7,                 1.1701,                 3.0356,                 2.8077,                0.63767,                0.65378,                0.68655,                0.43496,                 1.0976,                 2.4548,                 3.0446,                      0,             0.00055075,             0.00055075,             0.00055075
                      8,                 1.1219,                 2.7284,                 2.7938,                 0.5738,                0.62811,                 0.6261,                0.40555,                 1.0649,                 2.6129,                 3.0186,             3.8572e-05,             0.00053838,             0.00053838,             0.00053838
                      9,                 1.1693,                 2.6078,                 2.8093,                0.61141,                0.64721,                 0.6487,                0.40629,                 1.1179,                 2.3227,                 3.0512,                      0,               0.000526,               0.000526,               0.000526
                     10,                 1.1119,                 2.3858,                 2.7194,                0.69887,                0.65795,                0.72396,                0.47198,                 1.0777,                 2.1755,                 2.9965,             1.4525e-05,             0.00051363,             0.00051363,             0.00051363
                     11,                 1.0787,                 2.3297,                 2.7241,                0.71024,                0.69856,                0.76038,                0.50039,                 1.0176,                 2.0662,                 2.9476,                      0,             0.00050125,             0.00050125,             0.00050125
                     12,                 1.0507,                 2.2669,                 2.7062,                0.66938,                0.68517,                0.72194,                0.47428,                 1.0422,                 2.1281,                 2.9546,                      0,             0.00048888,             0.00048888,             0.00048888
                     13,                 1.0839,                 2.2471,                 2.7333,                 0.7067,                0.71188,                0.76459,                0.50392,                 1.0859,                 2.0999,                 2.9877,                      0,              0.0004765,              0.0004765,              0.0004765
                     14,                 1.0296,                 2.0625,                 2.6505,                 0.7282,                0.70674,                0.76712,                0.51656,                 1.0448,                 2.0367,                 2.9433,             1.1778e-05,             0.00046413,             0.00046413,             0.00046413
                     15,                 1.0665,                 2.1522,                 2.6971,                0.70789,                0.70396,                0.76556,                0.51388,                 1.0515,                 2.0011,                 2.9472,              0.0009159,             0.00045175,             0.00045175,             0.00045175
                     16,                 1.0304,                 2.1156,                 2.6926,                0.74854,                 0.7268,                0.80068,                0.53499,                 1.0857,                  1.897,                 2.9678,                      0,             0.00043937,             0.00043937,             0.00043937
                     17,                 1.0451,                 1.9808,                 2.6678,                0.72808,                0.72262,                0.78142,                0.52635,                 1.0071,                 2.0401,                 2.8911,                      0,               0.000427,               0.000427,               0.000427
                     18,                 1.0481,                 1.9558,                 2.6658,                0.73163,                0.73169,                0.78463,                0.51838,                  1.124,                    1.9,                 2.9618,             0.00086497,             0.00041462,             0.00041462,             0.00041462
                     19,                 1.0423,                 1.8931,                 2.6416,                  0.749,                0.74107,                0.80641,                0.53621,                 1.0958,                 1.9806,                 2.9503,              0.0011563,             0.00040225,             0.00040225,             0.00040225
                     20,                 1.0346,                 1.9192,                 2.6665,                0.70805,                0.73557,                0.79744,                0.54077,                 1.0359,                 1.9466,                 2.8935,                      0,             0.00038988,             0.00038988,             0.00038988
                     21,                 1.0292,                  1.863,                 2.6496,                0.72541,                0.75906,                0.81526,                0.54735,                 1.0429,                 1.8573,                 2.9052,             0.00015716,              0.0003775,              0.0003775,              0.0003775
                     22,                 1.0023,                 1.7873,                 2.6074,                0.78366,                 0.7438,                 0.8272,                0.56634,                 1.0239,                  1.791,                 2.8982,             0.00025496,             0.00036513,             0.00036513,             0.00036513
                     23,                 1.0138,                 1.8141,                 2.5946,                 0.7827,                0.75963,                0.82939,                0.55991,                 1.0549,                 1.7673,                 2.8788,              0.0013316,             0.00035275,             0.00035275,             0.00035275
                     24,                 1.0316,                 1.7564,                 2.6197,                0.77203,                0.74395,                0.82804,                0.55916,                 1.0347,                 1.7664,                 2.9019,              0.0011713,             0.00034038,             0.00034038,             0.00034038
                     25,                 1.0051,                 1.7238,                 2.6103,                0.77619,                0.77018,                0.83152,                0.56035,                 1.0669,                 1.8073,                 2.9006,             0.00020358,               0.000328,               0.000328,               0.000328
                     26,                0.98704,                 1.6846,                 2.5891,                0.79888,                0.75307,                 0.8367,                 0.5686,                 1.0914,                 1.7077,                 2.8948,             9.0398e-06,             0.00031562,             0.00031562,             0.00031562
                     27,                 1.0009,                 1.6609,                 2.5776,                0.78239,                0.75847,                0.83988,                0.57811,                 1.0473,                 1.7063,                 2.8644,                      0,             0.00030325,             0.00030325,             0.00030325
                     28,                 1.0016,                 1.6572,                 2.6155,                0.79327,                0.77456,                 0.8448,                 0.5727,                 1.0514,                 1.6854,                  2.876,                      0,             0.00029088,             0.00029088,             0.00029088
                     29,                0.99373,                 1.6324,                 2.5783,                0.76635,                0.72123,                0.81208,                0.54979,                 1.1031,                 1.8744,                 2.9025,                      0,              0.0002785,              0.0002785,              0.0002785
                     30,                0.99126,                 1.5942,                 2.5353,                0.80456,                0.76072,                0.84488,                0.57637,                 1.0808,                 1.7284,                  2.876,              2.002e-05,             0.00026613,             0.00026613,             0.00026613
                     31,                0.98584,                 1.6463,                  2.537,                0.80776,                0.75526,                0.84795,                0.58167,                 1.0595,                 1.6806,                 2.8545,             1.5041e-06,             0.00025375,             0.00025375,             0.00025375
                     32,                0.98163,                 1.5587,                 2.5533,                0.78354,                0.79485,                 0.8573,                0.58722,                 1.0827,                 1.7038,                 2.8841,             0.00017551,             0.00024137,             0.00024137,             0.00024137
                     33,                0.99464,                 1.5461,                  2.557,                0.79752,                0.79072,                0.85564,                0.58347,                 1.0662,                 1.6595,                 2.8613,             0.00069855,               0.000229,               0.000229,               0.000229
                     34,                0.96572,                 1.4794,                 2.5218,                0.80078,                0.79487,                0.86235,                0.59143,                  1.099,                 1.6663,                 2.8863,             7.1898e-05,             0.00021662,             0.00021662,             0.00021662
                     35,                0.96777,                 1.5083,                 2.5095,                0.82763,                0.78322,                0.87447,                0.60137,                 1.0673,                 1.5664,                 2.8526,             0.00072639,             0.00020425,             0.00020425,             0.00020425
                     36,                0.96849,                 1.4816,                 2.5336,                 0.8297,                0.78258,                0.87112,                0.59659,                 1.0761,                 1.5839,                 2.8436,                      0,             0.00019188,             0.00019188,             0.00019188
                     37,                0.95763,                 1.4725,                 2.5055,                0.79223,                0.75931,                0.83915,                0.57373,                 1.0974,                 1.7313,                 2.8589,                      0,              0.0001795,              0.0001795,              0.0001795
                     38,                0.97108,                 1.4389,                 2.4916,                0.80377,                0.76952,                0.85007,                0.58224,                 1.1116,                 1.6831,                 2.8604,                      0,             0.00016713,             0.00016713,             0.00016713
                     39,                0.93095,                 1.3974,                 2.4766,                0.80704,                0.80671,                0.86928,                0.60042,                 1.1017,                 1.5804,                 2.8441,                      0,             0.00015475,             0.00015475,             0.00015475
                     40,                0.95945,                 1.4226,                 2.4739,                0.84427,                0.79709,                0.87677,                0.60434,                 1.0903,                 1.5638,                  2.849,                      0,             0.00014237,             0.00014237,             0.00014237
                     41,                0.90726,                 1.2959,                 2.5711,                0.79216,                0.79861,                0.85824,                0.58575,                 1.1383,                 1.6394,                 2.8676,                      0,                0.00013,                0.00013,                0.00013
                     42,                0.88418,                 1.2258,                  2.543,                0.82006,                 0.7803,                0.86197,                0.59371,                 1.1166,                 1.6401,                  2.841,             1.5858e-05,             0.00011763,             0.00011763,             0.00011763
                     43,                0.87612,                 1.2119,                  2.531,                0.81516,                0.81649,                0.86891,                 0.6029,                 1.1086,                 1.5677,                 2.8349,             0.00038505,             0.00010525,             0.00010525,             0.00010525
                     44,                0.88167,                 1.2183,                 2.5357,                0.81416,                 0.8002,                0.86953,                0.60426,                 1.1113,                 1.5726,                 2.8262,                      0,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     45,                0.85812,                 1.1896,                 2.4907,                0.82955,                0.79846,                 0.8689,                0.60488,                 1.1045,                 1.5806,                  2.819,                      0,               8.05e-05,               8.05e-05,               8.05e-05
                     46,                0.87015,                 1.1631,                 2.5137,                0.80329,                0.82896,                0.87388,                0.60829,                 1.1168,                 1.5523,                 2.8303,             6.9295e-05,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     47,                 0.8486,                 1.1485,                 2.4969,                0.81604,                0.79619,                  0.871,                0.60742,                  1.129,                 1.5811,                  2.826,                      0,              5.575e-05,              5.575e-05,              5.575e-05
                     48,                  0.853,                 1.1379,                 2.5208,                0.81337,                0.80602,                0.86756,                0.60253,                 1.1361,                 1.6174,                  2.833,                      0,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     49,                0.84944,                 1.1253,                 2.5236,                0.82994,                0.81348,                 0.8775,                0.60789,                 1.1454,                 1.5373,                 2.8273,             0.00046466,                3.1e-05,                3.1e-05,                3.1e-05
                     50,                0.83445,                 1.0826,                 2.4866,                0.82788,                0.79802,                0.87448,                0.60848,                 1.1378,                 1.5482,                 2.8243,                      0,             1.8625e-05,             1.8625e-05,             1.8625e-05
