                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0662,                 10.908,                 5.1251,                0.05141,                0.11189,                 0.0462,                 0.0227,                 2.0997,                 7.1214,                  4.543,             0.00022709,             0.00018147,             0.00018147,             0.00018147
                      2,                 1.6829,                 6.0136,                 3.6557,                0.47851,                0.28444,                0.20147,                0.11569,                 1.3555,                 4.3773,                 3.5722,             0.00019453,             0.00035954,             0.00035954,             0.00035954
                      3,                 1.4123,                 4.6428,                  3.393,                0.25446,                0.37944,                0.26588,                0.16421,                 1.1899,                 3.7598,                 3.4454,                      0,             0.00053027,             0.00053027,             0.00053027
                      4,                 1.2687,                 4.0015,                 3.2597,                0.28446,                0.34105,                0.24335,                0.14669,                 1.2185,                 3.8565,                 3.4454,             0.00019591,             0.00052297,             0.00052297,             0.00052297
                      5,                 1.2128,                 3.5245,                 3.1939,                0.40568,                0.40275,                0.42571,                0.27355,                 1.1564,                 3.1507,                 3.3923,             4.1935e-05,             0.00051196,             0.00051196,             0.00051196
                      6,                 1.1908,                 3.1755,                 3.1889,                 0.4845,                0.52708,                0.50478,                0.32243,                 1.1707,                 2.8129,                 3.3663,             2.1729e-05,             0.00050096,             0.00050096,             0.00050096
                      7,                 1.1421,                 2.9241,                 3.1046,                0.50738,                0.54958,                0.53014,                0.33362,                  1.138,                 2.7921,                 3.4085,                      0,             0.00048995,             0.00048995,             0.00048995
                      8,                  1.136,                 2.7321,                 3.0808,                0.49663,                0.52689,                0.49765,                0.31837,                 1.1179,                 2.8066,                 3.4161,              0.0017283,             0.00047894,             0.00047894,             0.00047894
                      9,                  1.097,                 2.7082,                 3.0575,                0.53155,                 0.5393,                0.54177,                0.35199,                 1.0831,                 2.6033,                 3.3355,             0.00010442,             0.00046793,             0.00046793,             0.00046793
                     10,                 1.1009,                 2.5562,                 3.0688,                0.54749,                0.58972,                0.56933,                0.36733,                 1.0695,                 2.4889,                 3.3031,             0.00073987,             0.00045692,             0.00045692,             0.00045692
                     11,                   1.11,                  2.431,                 3.0495,                0.56246,                0.62575,                0.63094,                0.41022,                 1.0756,                 2.3402,                 3.2996,                      0,             0.00044591,             0.00044591,             0.00044591
                     12,                 1.1008,                 2.3343,                 3.0447,                0.58489,                0.59315,                0.61083,                0.39307,                  1.143,                 2.3955,                 3.3799,              0.0010346,              0.0004349,              0.0004349,              0.0004349
                     13,                 1.0869,                 2.3171,                   3.06,                0.61149,                0.59227,                0.62024,                0.40633,                 1.0992,                  2.441,                 3.4066,             0.00067366,             0.00042389,             0.00042389,             0.00042389
                     14,                 1.0578,                 2.2222,                   3.02,                0.63341,                0.60244,                0.66179,                0.42896,                 1.0983,                 2.2195,                 3.2954,             0.00041718,             0.00041289,             0.00041289,             0.00041289
                     15,                 1.0751,                 2.1647,                 3.0421,                 0.6817,                0.63125,                0.67753,                0.44314,                 1.1009,                 2.2616,                 3.3464,                      0,             0.00040188,             0.00040188,             0.00040188
                     16,                 1.0832,                 2.1114,                  2.981,                0.60178,                0.62243,                0.61896,                0.40512,                 1.1159,                 2.4386,                 3.3499,             1.2174e-05,             0.00039087,             0.00039087,             0.00039087
                     17,                   1.04,                 2.0449,                 2.9464,                 0.6485,                0.63231,                 0.6802,                0.44739,                 1.0905,                 2.0988,                 3.3294,                      0,             0.00037986,             0.00037986,             0.00037986
                     18,                 1.0203,                 1.9881,                 2.9542,                 0.6362,                0.66819,                0.68515,                0.45318,                 1.1071,                  2.047,                 3.3531,             0.00019635,             0.00036885,             0.00036885,             0.00036885
                     19,                 1.0124,                 1.8811,                 2.9073,                0.64829,                0.62437,                0.66533,                0.44391,                 1.0779,                 2.1412,                 3.2775,              0.0087979,             0.00035784,             0.00035784,             0.00035784
                     20,                 1.0103,                 1.8546,                 2.8876,                0.62215,                0.62518,                0.66398,                0.44455,                 1.0973,                  2.253,                 3.2693,             7.0648e-05,             0.00034683,             0.00034683,             0.00034683
                     21,                 1.0331,                 1.9104,                 2.9259,                0.67522,                0.62829,                0.69128,                0.45373,                 1.1056,                 2.1298,                 3.3156,             0.00025653,             0.00033582,             0.00033582,             0.00033582
                     22,                 1.0355,                 1.8542,                 2.9005,                0.70442,                0.67453,                0.71863,                0.47926,                 1.0741,                 1.9589,                 3.2496,             0.00054093,             0.00032482,             0.00032482,             0.00032482
                     23,                 1.0508,                 1.8152,                  2.917,                 0.7091,                0.61604,                0.70339,                0.47392,                 1.0932,                 1.9646,                 3.2503,             0.00053163,             0.00031381,             0.00031381,             0.00031381
                     24,                 1.0426,                 1.8184,                 2.9408,                0.67795,                0.67081,                0.70424,                0.47107,                 1.1089,                 2.0215,                 3.2844,              0.0049263,              0.0003028,              0.0003028,              0.0003028
                     25,                 1.0024,                 1.7195,                 2.8606,                 0.6129,                0.69791,                0.71734,                0.48476,                 1.1123,                 1.9457,                 3.2966,                      0,             0.00029179,             0.00029179,             0.00029179
                     26,                 1.0153,                 1.7286,                 2.8648,                0.67915,                0.66399,                0.70654,                0.48019,                 1.1041,                 1.9551,                 3.2375,             7.8095e-06,             0.00028078,             0.00028078,             0.00028078
                     27,                 1.0368,                 1.7515,                 2.8889,                0.70512,                0.67193,                0.72455,                0.48439,                 1.0971,                 1.9216,                 3.2399,             6.7777e-06,             0.00026977,             0.00026977,             0.00026977
                     28,                 1.0045,                 1.6368,                 2.8402,                0.70662,                0.67984,                0.73096,                0.49211,                 1.1014,                 1.9337,                 3.2207,                      0,             0.00025876,             0.00025876,             0.00025876
                     29,                0.99661,                 1.6344,                 2.8456,                0.72594,                0.66243,                0.73476,                0.49079,                 1.1316,                 1.8847,                 3.2837,              5.367e-06,             0.00024775,             0.00024775,             0.00024775
                     30,                 0.9794,                 1.5937,                 2.8074,                0.67849,                0.67274,                0.72056,                0.48188,                 1.1273,                 1.9589,                  3.271,             0.00028435,             0.00023674,             0.00023674,             0.00023674
                     31,                0.99678,                 1.6135,                 2.8187,                0.64694,                0.71089,                0.72644,                0.49322,                  1.118,                 1.9047,                 3.2306,              0.0011089,             0.00022574,             0.00022574,             0.00022574
                     32,                 0.9914,                 1.6019,                  2.792,                0.73018,                0.66643,                0.74124,                0.50126,                 1.1064,                 1.8487,                 3.2326,             0.00015479,             0.00021473,             0.00021473,             0.00021473
                     33,                 1.0102,                 1.6013,                 2.8223,                0.74789,                0.66506,                0.74327,                0.49644,                 1.1412,                 1.8208,                 3.2541,             4.6051e-05,             0.00020372,             0.00020372,             0.00020372
                     34,                0.98841,                 1.5228,                 2.7929,                0.74579,                0.65884,                0.74849,                0.50706,                 1.1066,                 1.8387,                 3.1972,             0.00011999,             0.00019271,             0.00019271,             0.00019271
                     35,                 0.9969,                 1.5347,                 2.7939,                0.72783,                0.71871,                0.75994,                0.51178,                 1.1178,                 1.8276,                 3.1938,                      0,              0.0001817,              0.0001817,              0.0001817
                     36,                 0.9655,                 1.4837,                 2.7484,                0.71158,                0.70928,                0.75157,                0.50757,                 1.1481,                 1.8208,                 3.2197,              0.0004201,             0.00017069,             0.00017069,             0.00017069
                     37,                0.98597,                 1.4742,                 2.7427,                0.72202,                0.69545,                0.73705,                0.50045,                 1.1527,                 1.9171,                  3.209,             0.00013576,             0.00015968,             0.00015968,             0.00015968
                     38,                0.99685,                 1.4954,                  2.758,                0.73391,                0.69268,                0.75357,                0.50893,                 1.1482,                 1.8352,                 3.2242,             0.00018783,             0.00014867,             0.00014867,             0.00014867
                     39,                0.97704,                 1.4709,                 2.7685,                0.72862,                0.69862,                0.76356,                0.51355,                 1.1617,                 1.7963,                 3.2143,             0.00023172,             0.00013767,             0.00013767,             0.00013767
                     40,                0.96944,                 1.4542,                 2.7231,                0.70026,                0.70715,                0.75589,                 0.5096,                 1.1691,                 1.7991,                 3.2131,             1.1482e-05,             0.00012666,             0.00012666,             0.00012666
                     41,                0.90944,                 1.3452,                 2.7915,                0.72761,                 0.7098,                 0.7507,                 0.5112,                 1.1898,                 1.8391,                 3.2221,                      0,             0.00011565,             0.00011565,             0.00011565
                     42,                 0.8935,                 1.3009,                  2.754,                0.69646,                0.70594,                0.74273,                0.50138,                 1.2041,                 1.8861,                 3.2403,             0.00025167,             0.00010464,             0.00010464,             0.00010464
                     43,                0.90033,                 1.2941,                 2.7743,                 0.7283,                0.68793,                0.74752,                0.50954,                 1.1924,                 1.8209,                 3.2286,             0.00014746,              9.363e-05,              9.363e-05,              9.363e-05
                     44,                 0.8875,                 1.2764,                 2.7522,                0.70517,                0.73354,                0.75937,                0.51862,                 1.1946,                  1.809,                 3.2367,                      0,             8.2622e-05,             8.2622e-05,             8.2622e-05
                     45,                0.87973,                  1.219,                 2.7289,                0.70359,                0.71956,                0.75389,                0.51301,                 1.1919,                 1.8314,                 3.2104,             0.00021365,             7.1613e-05,             7.1613e-05,             7.1613e-05
