                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      train/replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8281,                 12.494,                 2.2654,                 0.0751,                0.27176,                0.14842,                0.08516,                 2.4201,                 7.9581,                 2.1721,                0.53086,             0.00036851,             0.00036851,             0.00036851
                      2,                 2.9498,                 7.9706,                 2.2394,                0.64984,                0.17709,                0.20633,                0.11234,                 2.4685,                  7.052,                 2.1794,                0.77459,             0.00072421,             0.00072421,             0.00072421
                      3,                 3.0174,                 10.003,                 2.2527,                0.72691,                 0.1761,                0.16922,                0.08644,                 2.5238,                 6.7029,                 2.2319,                 3.1121,              0.0010653,              0.0010653,              0.0010653
                      4,                 2.7845,                 7.6056,                 2.1519,                0.67327,                0.14327,                0.24175,                0.12431,                 2.5358,                 6.7054,                 2.2282,                0.59611,               0.001045,               0.001045,               0.001045
                      5,                 3.1528,                 7.7391,                  2.219,                0.49731,                0.17533,                0.24223,                0.12239,                 2.6336,                 5.7377,                 2.2426,                0.76336,               0.001023,               0.001023,               0.001023
                      6,                 3.0186,                 6.9873,                 2.1966,                0.72697,                0.19895,                0.31773,                0.16865,                 2.6219,                 5.6901,                 2.2434,                0.88117,               0.001001,               0.001001,               0.001001
                      7,                 2.9703,                 6.7265,                 2.1785,                0.41017,                0.26683,                0.31979,                0.16587,                 2.7467,                 5.2831,                 2.2363,                 3.3112,             0.00097901,             0.00097901,             0.00097901
                      8,                 3.0666,                  6.407,                 2.1585,                0.67483,                0.19152,                0.32251,                0.17145,                 2.6941,                 5.4538,                 2.2232,                0.59951,             0.00095702,             0.00095702,             0.00095702
                      9,                 3.2049,                 6.2365,                 2.2164,                 0.8559,                0.19111,                 0.3323,                 0.1753,                 2.7797,                 5.9606,                  2.233,                 1.0641,             0.00093502,             0.00093502,             0.00093502
                     10,                  3.391,                 6.7723,                 2.2061,                0.76362,                 0.1838,                0.30233,                0.15939,                   2.97,                 6.0103,                  2.267,                  1.414,             0.00091302,             0.00091302,             0.00091302
                     11,                  3.174,                 5.5948,                 2.2329,                0.81056,                0.19366,                0.32526,                0.16608,                 2.9105,                 5.1582,                 2.2525,                0.63501,             0.00089102,             0.00089102,             0.00089102
                     12,                 3.3149,                 5.4013,                 2.1799,                0.62976,                0.23753,                0.31642,                0.16703,                 2.8949,                 5.1036,                 2.2325,                 1.6307,             0.00086902,             0.00086902,             0.00086902
                     13,                 3.3837,                 5.8735,                 2.1716,                0.62888,                0.25787,                0.33062,                0.17547,                  2.946,                 5.2935,                 2.2386,                 1.2088,             0.00084703,             0.00084703,             0.00084703
                     14,                 3.3731,                  5.559,                 2.1132,                0.17177,                0.37415,                0.26678,                0.13736,                 3.0498,                 5.9879,                 2.2286,                 3.0033,             0.00082503,             0.00082503,             0.00082503
                     15,                 3.4188,                 5.3865,                  2.178,                0.64271,                0.21885,                0.28836,                0.14001,                 3.2275,                 5.2945,                 2.2504,                 2.1014,             0.00080303,             0.00080303,             0.00080303
                     16,                 3.4279,                 5.8831,                 2.1703,                0.83232,                0.18741,                0.29815,                0.15606,                 2.9772,                 6.1321,                 2.1934,                 2.6791,             0.00078103,             0.00078103,             0.00078103
                     17,                 3.5756,                 5.5829,                 2.1572,                0.59792,                0.22617,                0.31205,                0.16128,                  3.104,                 5.6171,                 2.2187,                 1.3315,             0.00075904,             0.00075904,             0.00075904
                     18,                 3.3446,                 4.8977,                 2.1855,                 0.2172,                0.47533,                0.35369,                0.18956,                 3.0657,                 5.5566,                  2.188,                 5.5125,             0.00073704,             0.00073704,             0.00073704
