                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      train/replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6727,                 7.6514,                  2.127,                0.54743,                0.17664,                0.19035,                0.11483,                  2.788,                 5.1191,                 2.0965,                 1.6982,             0.00041461,             0.00041461,             0.00041461
                      2,                  1.535,                 4.1447,                 1.9972,                 0.5689,                0.27423,                0.26338,                0.15337,                 2.6466,                 3.3748,                 2.1333,                0.82391,             0.00081482,             0.00081482,             0.00081482
                      3,                 1.3942,                 3.4461,                 2.0373,                0.68823,                 0.3004,                0.29278,                0.16607,                 2.6522,                 3.4854,                 2.1829,                0.59355,              0.0011985,              0.0011985,              0.0011985
                      4,                 1.4514,                 3.1619,                 2.0554,                0.38434,                0.28541,                0.28028,                0.15892,                 2.7299,                 3.4179,                  2.182,                0.56644,              0.0011757,              0.0011757,              0.0011757
                      5,                  1.477,                 2.9456,                 2.0511,                0.40624,                0.28567,                 0.2979,                0.16777,                 2.7883,                 3.2951,                 2.1796,                0.23435,               0.001151,               0.001151,               0.001151
                      6,                 1.4623,                 2.9362,                 2.0575,                 0.4364,                0.28623,                0.30618,                0.16883,                  2.937,                 3.1499,                 2.1931,                 0.7903,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.4724,                 2.7646,                 2.0237,                0.51731,                0.32481,                0.36344,                0.20134,                 2.8308,                  3.057,                 2.1551,                0.96036,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.4868,                 2.6058,                 2.0263,                0.52451,                 0.3335,                0.37991,                0.21079,                 2.9132,                 3.0934,                 2.1615,                0.43279,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.5387,                 2.5113,                 2.0133,                0.51668,                0.32396,                0.37165,                0.20608,                  2.982,                 2.9742,                 2.1607,                0.87106,               0.001052,               0.001052,               0.001052
                     10,                 1.4477,                 2.4649,                 2.0066,                 0.5338,                0.34375,                0.38962,                0.21751,                  2.928,                 3.1545,                 2.1666,                 2.8929,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.5302,                 2.3662,                 2.0087,                0.54018,                0.36543,                0.40859,                 0.2325,                 3.0388,                 2.7679,                 2.1745,                0.27101,              0.0010025,              0.0010025,              0.0010025
