                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7931,                 31.218,                 2.6506,                0.00956,                0.00272,                0.00628,                0.00239,                  3.524,                   9.73,                 2.5473,             0.00041461,             0.00041461,             0.00041461
                      2,                 1.8633,                 18.915,                 1.9794,                0.58752,                0.07611,                0.06149,                0.02799,                 3.7325,                 9.9286,                 2.6024,             0.00081482,             0.00081482,             0.00081482
                      3,                 2.0688,                 11.504,                 2.2097,                0.36433,                0.08979,                0.09415,                0.04809,                 3.9095,                 10.281,                 2.7315,              0.0011985,              0.0011985,              0.0011985
                      4,                 2.1086,                 9.9897,                 2.2764,                0.37035,                0.10334,                0.10438,                0.05163,                 4.2453,                 10.311,                      3,              0.0011757,              0.0011757,              0.0011757
                      5,                 2.0746,                 7.6499,                 2.3755,                0.66688,                0.13964,                0.15063,                 0.0735,                  4.291,                  10.42,                  3.023,               0.001151,               0.001151,               0.001151
                      6,                 1.9018,                 6.8745,                 2.2371,                0.18934,                0.08771,                 0.1271,                0.06505,                 4.3794,                 10.917,                 2.9139,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.8583,                 6.0219,                 2.2761,                0.68138,                0.14813,                0.16491,                0.08292,                 4.6345,                  10.75,                 3.1248,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.7956,                 5.3918,                 2.2131,                0.43835,                0.16042,                0.17476,                0.09296,                 4.3697,                 10.857,                 2.9305,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.9665,                 5.6664,                 2.1608,                0.43614,                 0.1493,                0.17051,                0.09199,                 4.4908,                 10.879,                 3.0039,               0.001052,               0.001052,               0.001052
                     10,                 1.8943,                 5.4291,                 2.0685,                0.68496,                0.14959,                0.17028,                0.08863,                 4.7446,                 11.083,                 3.1764,              0.0010273,              0.0010273,              0.0010273
                     11,                 2.1389,                 5.1739,                 2.1107,                0.69828,                0.15823,                0.18286,                0.10089,                 4.4238,                 11.019,                 3.0223,              0.0010025,              0.0010025,              0.0010025
                     12,                 2.2214,                 4.7539,                 2.2741,                0.69161,                0.14432,                0.16693,                 0.0914,                 4.7155,                 11.362,                 3.0317,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.9346,                 4.3587,                 2.1575,                0.69631,                0.15193,                0.17449,                0.08735,                 4.8475,                 11.234,                 3.0926,               0.000953,               0.000953,               0.000953
                     14,                 2.0999,                 4.0191,                  2.368,                0.44242,                 0.1572,                0.18101,                0.09577,                 4.9558,                 11.388,                 3.0586,             0.00092825,             0.00092825,             0.00092825
                     15,                 2.0197,                 4.1601,                 2.1436,                0.68932,                0.16569,                0.18826,                 0.1036,                 4.8528,                 11.433,                 3.0286,              0.0009035,              0.0009035,              0.0009035
                     16,                 2.0905,                 4.0196,                 2.0732,                0.70033,                0.15585,                0.18292,                0.09439,                 4.8101,                 11.544,                  3.018,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.9657,                 3.7916,                 2.1454,                0.70624,                0.16416,                0.18825,                  0.103,                 4.7488,                 11.554,                 2.9366,               0.000854,               0.000854,               0.000854
                     18,                 2.2498,                 3.7065,                 2.3602,                0.45329,                0.15925,                0.18694,                0.09674,                 5.1793,                 11.443,                 3.1463,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.9766,                  3.812,                 2.0804,                 0.7037,                 0.1623,                0.18708,                 0.1047,                 5.1136,                 11.486,                  3.154,              0.0008045,              0.0008045,              0.0008045
                     20,                 2.0182,                 3.6494,                 2.3006,                0.70308,                0.16452,                0.19106,                0.10553,                 5.3118,                 11.629,                 3.1362,             0.00077975,             0.00077975,             0.00077975
                     21,                 2.0202,                 3.4252,                 2.0564,                0.70805,                0.17067,                0.19573,                0.10766,                 5.3931,                 11.606,                 3.1954,               0.000755,               0.000755,               0.000755
                     22,                  2.029,                 3.2537,                 2.0609,                0.44786,                0.16189,                0.18902,                0.10903,                 5.7615,                 11.383,                 3.4558,             0.00073025,             0.00073025,             0.00073025
                     23,                 2.0444,                 3.5803,                 1.9914,                0.70621,                0.17008,                0.19393,                0.10758,                 5.5638,                 11.663,                  3.215,              0.0007055,              0.0007055,              0.0007055
                     24,                 2.4531,                 3.8537,                 2.1762,                0.45557,                0.17474,                0.19974,                0.11211,                 5.6118,                 11.737,                 3.1402,             0.00068075,             0.00068075,             0.00068075
                     25,                 2.1878,                 3.2543,                  2.161,                0.45468,                0.17848,                0.20309,                 0.1134,                 5.8088,                 11.655,                 3.2725,               0.000656,               0.000656,               0.000656
                     26,                 2.0267,                 3.3087,                 2.0599,                0.70829,                0.16686,                 0.1972,                0.11289,                 5.9456,                 11.632,                 3.3661,             0.00063125,             0.00063125,             0.00063125
                     27,                 2.2815,                 3.3901,                 2.0547,                 0.2127,                 0.1733,                0.20186,                0.11499,                 5.7816,                 11.573,                   3.35,              0.0006065,              0.0006065,              0.0006065
                     28,                 2.1743,                 3.3341,                 2.1561,                0.45966,                0.17974,                0.20218,                0.11483,                 5.5762,                 11.856,                 3.1864,             0.00058175,             0.00058175,             0.00058175
                     29,                  2.332,                 3.4332,                 2.1045,                0.70365,                 0.1774,                0.20297,                0.11652,                 5.8123,                 11.949,                 3.1976,               0.000557,               0.000557,               0.000557
