                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4265,                 7.5774,                  1.968,                0.61451,                0.16549,                0.21051,                0.12555,                 2.4875,                 4.8929,                 2.1273,             0.00036851,             0.00036851,             0.00036851
                      2,                 1.4809,                 3.6607,                 1.9769,                0.70652,                0.34879,                0.35998,                0.19253,                 2.5157,                 3.4461,                 2.1852,             0.00072421,             0.00072421,             0.00072421
                      3,                 1.5095,                 2.9966,                 2.0138,                0.75516,                0.38202,                 0.4182,                0.22972,                 2.4224,                 3.1384,                 2.1856,              0.0010653,              0.0010653,              0.0010653
                      4,                 1.4868,                 2.7195,                 2.0277,                0.57526,                0.38692,                0.43475,                0.24031,                 2.4644,                 2.7664,                 2.1924,               0.001045,               0.001045,               0.001045
                      5,                 1.5564,                 2.5205,                 2.0055,                0.58643,                0.38825,                0.43301,                0.23601,                 2.5473,                 2.9731,                    2.2,               0.001023,               0.001023,               0.001023
                      6,                  1.552,                 2.4315,                 2.0084,                 0.6093,                0.38434,                0.44157,                0.24439,                 2.6299,                 2.8744,                 2.2079,               0.001001,               0.001001,               0.001001
                      7,                 1.5067,                 2.3653,                 1.9894,                0.61916,                0.39816,                0.45611,                0.25178,                 2.6384,                 2.7185,                 2.2233,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.5937,                 2.2545,                 1.9872,                0.62148,                0.39997,                0.46134,                0.25693,                 2.6338,                  2.735,                 2.1644,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.5836,                 2.2627,                 1.9726,                0.61131,                0.37662,                0.44175,                0.24932,                  2.708,                 2.7808,                  2.181,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.5991,                 2.1988,                  1.988,                0.60757,                0.38571,                0.45269,                0.25429,                 2.7984,                 2.7892,                 2.2032,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.5592,                  2.139,                 1.9589,                0.61503,                0.40661,                0.46437,                0.26002,                 2.8335,                 2.6337,                  2.176,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.7241,                 2.2299,                  1.965,                0.62241,                0.39679,                0.46313,                0.25893,                 2.8961,                 2.6873,                 2.1841,             0.00086902,             0.00086902,             0.00086902
                     13,                 1.7035,                 2.1944,                 1.9719,                0.64069,                0.39417,                 0.4647,                0.26325,                  2.945,                 2.7361,                 2.1888,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.7386,                 2.1519,                 1.9697,                0.63502,                0.40712,                 0.4709,                 0.2676,                 2.9507,                 2.7646,                 2.1711,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.7704,                 2.1234,                  1.962,                0.59992,                0.38975,                 0.4471,                 0.2535,                 2.9928,                 2.7139,                 2.1523,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.7148,                 2.1205,                 1.9642,                0.63452,                0.39601,                0.46639,                0.26145,                 3.0389,                 2.8065,                 2.1883,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.8663,                 2.1477,                 1.9714,                0.63306,                0.40801,                0.47409,                0.26889,                 3.0906,                 2.8407,                 2.1827,             0.00075904,             0.00075904,             0.00075904
                     18,                 1.8032,                  2.045,                 1.9997,                0.63984,                0.40812,                0.47565,                0.26884,                 3.1787,                 2.7085,                 2.1863,             0.00073704,             0.00073704,             0.00073704
                     19,                 1.9196,                 2.1191,                 1.9546,                0.62242,                 0.3965,                0.46711,                0.25824,                 3.2529,                 2.7002,                 2.2005,             0.00071504,             0.00071504,             0.00071504
                     20,                  1.867,                 2.0489,                 1.9698,                 0.6476,                0.40714,                0.48295,                0.27513,                 3.2199,                 2.7362,                 2.1614,             0.00069304,             0.00069304,             0.00069304
                     21,                  1.856,                 2.0244,                 1.9514,                0.65546,                0.41147,                0.48431,                0.27596,                 3.2098,                 2.7681,                 2.1646,             0.00067104,             0.00067104,             0.00067104
                     22,                 1.9161,                  1.984,                 1.9331,                0.62949,                0.41505,                0.48079,                0.27603,                 3.3191,                 2.5911,                  2.175,             0.00064905,             0.00064905,             0.00064905
