                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8629,                 12.726,                 2.2825,                0.06704,                0.22468,                0.11416,                0.06815,                 2.5653,                 7.9016,                 2.2386,             0.00036851,             0.00036851,             0.00036851
                      2,                 2.9602,                 7.8782,                 2.2487,                0.62367,                0.14689,                0.17756,                0.08955,                 2.6305,                 7.1075,                 2.2347,             0.00072421,             0.00072421,             0.00072421
                      3,                  3.084,                 9.8271,                 2.2546,                0.66043,                0.14205,                0.18459,                0.08979,                  2.678,                 7.0355,                 2.2822,              0.0010653,              0.0010653,              0.0010653
                      4,                 2.7959,                 7.6925,                 2.1669,                0.66826,                 0.1809,                0.22684,                0.11357,                 2.6704,                 6.3366,                 2.2824,               0.001045,               0.001045,               0.001045
                      5,                 3.1395,                 7.7447,                 2.2286,                0.12806,                0.36079,                0.24252,                0.11486,                 2.7905,                 5.8387,                 2.3079,               0.001023,               0.001023,               0.001023
                      6,                 2.9996,                 7.1279,                 2.1938,                0.81727,                0.18467,                0.29879,                0.15676,                 2.6921,                 6.0089,                 2.2727,               0.001001,               0.001001,               0.001001
                      7,                 2.9901,                  6.894,                 2.1989,                 0.6638,                0.21858,                0.29539,                0.14763,                 2.8491,                 5.3769,                 2.2994,             0.00097901,             0.00097901,             0.00097901
                      8,                  3.115,                 6.4656,                 2.1862,                0.17996,                0.37492,                0.30302,                0.15522,                 2.8145,                 5.7111,                 2.2911,             0.00095702,             0.00095702,             0.00095702
                      9,                 3.1848,                 6.2419,                 2.2119,                0.84479,                0.18307,                0.28677,                  0.145,                 2.8957,                 5.9639,                 2.2775,             0.00093502,             0.00093502,             0.00093502
                     10,                 3.3551,                  6.512,                 2.2054,                0.61805,                0.20875,                0.27402,                0.13796,                 3.0599,                 6.1576,                 2.3237,             0.00091302,             0.00091302,             0.00091302
                     11,                   3.14,                 5.5004,                   2.23,                0.62875,                 0.1971,                0.29594,                0.14252,                 3.0772,                 5.2438,                 2.3203,             0.00089102,             0.00089102,             0.00089102
                     12,                 3.3295,                 5.2901,                 2.1799,                0.60773,                 0.2102,                0.28553,                0.14775,                 3.0238,                 5.2528,                 2.2914,             0.00086902,             0.00086902,             0.00086902
                     13,                 3.4732,                 5.8195,                 2.1942,                0.72155,                0.22906,                0.34209,                0.18445,                 2.9775,                 5.3075,                 2.2645,             0.00084703,             0.00084703,             0.00084703
                     14,                 3.4225,                 5.5924,                 2.1216,                0.18852,                  0.353,                0.26316,                0.13186,                 3.2041,                 6.1999,                 2.2978,             0.00082503,             0.00082503,             0.00082503
                     15,                 3.4005,                 5.5521,                 2.1889,                0.66498,                0.22392,                0.30247,                0.15061,                   3.21,                  5.152,                 2.2932,             0.00080303,             0.00080303,             0.00080303
                     16,                 3.4373,                 5.8082,                 2.1913,                0.80713,                0.16821,                0.26863,                0.14229,                 3.1605,                 6.3177,                 2.2853,             0.00078103,             0.00078103,             0.00078103
                     17,                  3.609,                 5.6017,                 2.1669,                0.83026,                0.22441,                 0.3256,                0.16942,                 3.1279,                 5.6293,                 2.2488,             0.00075904,             0.00075904,             0.00075904
                     18,                 3.3478,                 4.8311,                 2.1886,                0.20922,                 0.4032,                0.34124,                0.18385,                 3.1249,                 5.4679,                  2.239,             0.00073704,             0.00073704,             0.00073704
                     19,                 3.4459,                 4.5668,                 2.2172,                0.41798,                0.28239,                0.32053,                0.17186,                 3.2379,                 5.2344,                 2.2609,             0.00071504,             0.00071504,             0.00071504
                     20,                 3.4197,                 4.6244,                  2.167,                0.72795,                 0.2757,                0.35731,                0.19132,                 3.2066,                 5.0414,                 2.2397,             0.00069304,             0.00069304,             0.00069304
