                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      train/replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1573,                 24.029,                 2.5987,                 0.0643,                  0.069,                  0.052,                0.03494,                 2.6084,                 8.4969,                 2.1115,                 1.5531,             0.00041461,             0.00041461,             0.00041461
                      2,                 2.7746,                 16.197,                 2.1319,                0.05861,                0.33471,                0.18708,                0.10848,                 2.6173,                 8.2133,                  2.175,                 1.7788,             0.00081482,             0.00081482,             0.00081482
                      3,                 2.5471,                  11.72,                 2.1349,                0.11264,                0.31334,                0.17037,                0.09355,                 2.7391,                 8.1567,                 2.2715,                 1.0959,              0.0011985,              0.0011985,              0.0011985
                      4,                 2.6494,                 9.5713,                 2.2259,                0.11201,                0.29519,                0.17779,                0.09876,                 3.0762,                 8.3275,                 2.3396,                 1.5694,              0.0011757,              0.0011757,              0.0011757
                      5,                  2.759,                 8.4312,                 2.3631,                0.37478,                0.10861,                0.20931,                0.10486,                 3.4203,                 7.9889,                 2.5037,                 1.8778,               0.001151,               0.001151,               0.001151
                      6,                 2.4993,                 8.3957,                 2.2403,                0.88477,                0.11534,                0.24892,                0.12764,                  3.464,                 8.4916,                 2.4853,                 1.1905,              0.0011263,              0.0011263,              0.0011263
                      7,                 2.6435,                 7.0093,                 2.2433,                0.91465,                0.12412,                0.26913,                 0.1413,                 3.0777,                 7.6307,                 2.3501,                 1.2557,              0.0011015,              0.0011015,              0.0011015
                      8,                 2.6305,                 6.5043,                 2.3087,                0.92536,                0.15193,                0.31478,                0.15647,                 3.3863,                 7.3696,                 2.4249,                 1.4295,              0.0010768,              0.0010768,              0.0010768
                      9,                 2.7028,                 6.2415,                 2.1979,                0.90967,                0.14198,                0.31019,                0.16379,                 3.3688,                 8.0077,                  2.371,                 1.8885,               0.001052,               0.001052,               0.001052
                     10,                 2.8378,                 6.2164,                 2.0866,                0.91992,                0.14198,                0.29584,                0.15604,                 3.3629,                 7.8912,                 2.3708,                0.95919,              0.0010273,              0.0010273,              0.0010273
                     11,                 2.8003,                 6.2083,                 2.1517,                0.95321,                0.15135,                0.33475,                0.17945,                 3.2876,                 7.6273,                 2.3666,                 1.1222,              0.0010025,              0.0010025,              0.0010025
                     12,                 3.0092,                 5.9842,                 2.2449,                0.92609,                0.13525,                0.28171,                0.14511,                 3.3996,                 7.3765,                 2.3866,                0.80586,             0.00097775,             0.00097775,             0.00097775
                     13,                 2.8637,                 5.7899,                 2.1495,                0.92457,                0.15311,                0.29712,                0.15967,                 3.4991,                 7.8439,                 2.3932,                 2.0366,               0.000953,               0.000953,               0.000953
                     14,                 2.6782,                 5.3791,                 2.3058,                0.94616,                0.14504,                0.32935,                0.17435,                 3.4547,                 7.4466,                 2.3793,                0.61047,             0.00092825,             0.00092825,             0.00092825
                     15,                 2.6947,                 5.2834,                 2.1856,                0.16087,                0.41657,                0.31232,                0.16825,                 3.5632,                 7.1181,                 2.3775,                 1.0815,              0.0009035,              0.0009035,              0.0009035
                     16,                 2.8541,                 5.3484,                 2.1254,                0.93932,                0.15457,                0.32224,                0.17993,                 3.4036,                  7.465,                 2.3191,                 0.7003,             0.00087875,             0.00087875,             0.00087875
                     17,                   2.86,                 5.3297,                 2.0477,                0.95472,                0.15751,                0.34748,                0.19605,                  3.458,                 7.5279,                 2.3186,                  1.628,               0.000854,               0.000854,               0.000854
                     18,                 3.0525,                 4.9356,                 2.2935,                0.94169,                0.16774,                0.30987,                0.17031,                 3.6137,                 7.4592,                 2.3408,                0.49732,             0.00082925,             0.00082925,             0.00082925
                     19,                 2.7896,                 5.2036,                 2.0797,                0.93722,                0.16628,                0.33214,                0.19058,                  3.641,                 7.9897,                 2.3754,                0.60985,              0.0008045,              0.0008045,              0.0008045
                     20,                 2.8746,                 5.1868,                 2.3075,                0.94525,                0.16182,                0.31719,                0.17413,                 3.8719,                 7.4831,                 2.3954,                 1.6885,             0.00077975,             0.00077975,             0.00077975
                     21,                 3.1737,                 5.2267,                 2.0769,                0.94874,                0.17037,                0.31219,                0.16121,                 3.8536,                 7.3604,                 2.3886,                0.59654,               0.000755,               0.000755,               0.000755
                     22,                  3.022,                 4.9278,                 2.1478,                0.18364,                0.35995,                0.33501,                0.19149,                 3.7572,                 7.3261,                 2.3465,                0.58124,             0.00073025,             0.00073025,             0.00073025
                     23,                 2.8491,                 5.0457,                 2.0783,                0.94826,                0.16013,                0.33209,                0.17487,                 4.0348,                 7.3604,                 2.4256,                 1.2371,              0.0007055,              0.0007055,              0.0007055
                     24,                 3.1349,                 5.0382,                 2.1044,                 0.6979,                 0.1692,                0.34455,                0.18693,                 3.7389,                 7.4211,                 2.3211,                0.33006,             0.00068075,             0.00068075,             0.00068075
                     25,                 3.0363,                 4.7674,                  2.187,                0.58105,                0.25044,                0.31529,                0.16562,                 4.0909,                 7.0934,                 2.4222,                 1.7065,               0.000656,               0.000656,               0.000656
                     26,                 3.0983,                 4.7204,                 2.0927,                0.95028,                0.17447,                 0.3257,                0.18822,                 4.0572,                 7.1843,                 2.3608,                0.93541,             0.00063125,             0.00063125,             0.00063125
                     27,                 3.2248,                 5.2404,                 2.1328,                0.35217,                0.31027,                0.34339,                0.18938,                 3.9502,                 6.9262,                 2.3398,                0.31459,              0.0006065,              0.0006065,              0.0006065
                     28,                 3.0273,                 4.8858,                 2.1126,                0.94966,                0.18343,                0.32919,                0.18731,                 3.8912,                 7.9787,                 2.3277,                0.61676,             0.00058175,             0.00058175,             0.00058175
                     29,                 3.1574,                 4.9301,                 2.1445,                0.95455,                0.16469,                0.32103,                0.18076,                 3.9766,                 7.6327,                 2.3466,                0.48048,               0.000557,               0.000557,               0.000557
                     30,                 3.0775,                 4.6822,                 2.2022,                0.58174,                 0.2467,                0.33509,                0.18697,                 3.9922,                 7.1981,                 2.3651,                0.50648,             0.00053225,             0.00053225,             0.00053225
                     31,                  2.919,                 4.2107,                 2.0753,                0.95535,                0.17447,                0.31342,                0.17481,                 4.0263,                 8.2959,                 2.3601,                 1.0034,              0.0005075,              0.0005075,              0.0005075
                     32,                 2.8782,                   4.08,                 2.1457,                0.70381,                0.17242,                0.28681,                0.16171,                 4.1406,                 7.9935,                 2.3516,                0.55951,             0.00048275,             0.00048275,             0.00048275
                     33,                 3.3024,                 4.4776,                 2.0202,                0.95824,                0.17711,                0.33765,                0.19055,                 4.1229,                  7.637,                 2.3382,                 1.1066,               0.000458,               0.000458,               0.000458
                     34,                 3.1149,                 4.4418,                 2.0642,                0.96523,                0.16669,                0.32227,                0.18308,                 4.1497,                 7.7961,                 2.3456,                0.58541,             0.00043325,             0.00043325,             0.00043325
