                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1111,                 7.4861,                 2.1803,                0.27221,                0.26074,                0.13827,                0.06789,                 3.5345,                 4.6167,                 2.1676,             0.00055293,             0.00055293,             0.00055293
                      2,                 2.8934,                 4.5924,                 2.1926,                0.37858,                0.34684,                0.26917,                0.14622,                 3.1467,                 4.6232,                 2.1923,              0.0010866,              0.0010866,              0.0010866
                      3,                 2.8888,                 4.0317,                 2.1801,                0.41348,                0.33081,                0.28554,                0.15166,                 3.4412,                 4.7706,                 2.2565,              0.0015984,              0.0015984,              0.0015984
                      4,                 2.8452,                 3.9795,                 2.2464,                0.50085,                0.35719,                0.33547,                0.18304,                 3.0917,                 3.6699,                 2.1402,               0.001568,               0.001568,               0.001568
                      5,                 2.9322,                   3.64,                 2.1848,                0.57367,                 0.3777,                0.40222,                0.23243,                 3.0921,                 3.0592,                 2.1193,               0.001535,               0.001535,               0.001535
                      6,                 2.7911,                 3.5757,                 2.1624,                0.55326,                0.36077,                0.38013,                0.21626,                 3.2181,                 3.6659,                 2.1714,               0.001502,               0.001502,               0.001502
                      7,                 2.8217,                 3.8351,                 2.1664,                0.59119,                0.38299,                0.40326,                0.22403,                 3.2163,                 3.1724,                 2.1568,               0.001469,               0.001469,               0.001469
                      8,                 2.8407,                 3.2951,                 2.1168,                0.62051,                0.38109,                0.42387,                0.23342,                 3.4192,                 3.0064,                 2.1712,               0.001436,               0.001436,               0.001436
                      9,                 2.9901,                 3.5769,                 2.1424,                0.59256,                0.37246,                 0.3896,                0.22349,                 3.4179,                 3.7949,                 2.1656,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.9688,                 3.3323,                  2.138,                0.58304,                0.40593,                0.41324,                0.22486,                 3.3637,                 3.3603,                 2.1399,              0.0013699,              0.0013699,              0.0013699
                     11,                 2.7569,                 2.9966,                 2.1236,                0.59941,                0.40426,                0.42017,                0.23133,                 3.4376,                 3.0574,                 2.1488,              0.0013369,              0.0013369,              0.0013369
                     12,                 3.1078,                 3.2841,                 2.1174,                0.61719,                0.37522,                0.40299,                0.23037,                 3.5162,                 4.1599,                   2.15,              0.0013039,              0.0013039,              0.0013039
                     13,                 3.0026,                 3.0114,                 2.0896,                0.59041,                0.40102,                0.41528,                0.23001,                 3.5102,                 3.1246,                  2.127,              0.0012709,              0.0012709,              0.0012709
                     14,                 2.9748,                 3.0604,                 2.1134,                0.64189,                0.40092,                0.43915,                0.24869,                 3.5624,                 2.9138,                 2.1199,              0.0012379,              0.0012379,              0.0012379
                     15,                 3.0695,                 3.0858,                 2.1083,                0.63177,                0.42555,                0.44946,                0.25977,                 3.5257,                 3.0484,                 2.0977,              0.0012049,              0.0012049,              0.0012049
                     16,                 3.1109,                 3.0951,                 2.1054,                0.65585,                0.41203,                0.45616,                0.26238,                 3.5125,                 3.0734,                 2.1019,              0.0011719,              0.0011719,              0.0011719
                     17,                 3.1311,                 2.9581,                  2.079,                0.65722,                0.42323,                0.46381,                0.27982,                 3.5132,                 2.8907,                 2.0694,              0.0011389,              0.0011389,              0.0011389
                     18,                 3.2505,                 2.9426,                 2.0862,                0.65636,                0.42627,                0.45853,                0.27077,                 3.5528,                 2.7485,                 2.0684,              0.0011059,              0.0011059,              0.0011059
                     19,                 3.2338,                 3.0064,                 2.0652,                0.62848,                 0.4151,                0.44793,                0.26791,                 3.6437,                 3.2918,                 2.0654,              0.0010729,              0.0010729,              0.0010729
                     20,                 3.1827,                 2.8039,                 2.0834,                0.64762,                0.41574,                0.46099,                0.27317,                 3.6543,                 2.8446,                 2.0692,              0.0010399,              0.0010399,              0.0010399
                     21,                 3.3693,                 2.9736,                 2.0719,                0.65743,                0.42689,                0.46677,                0.27667,                 3.6762,                 2.7062,                 2.0617,              0.0010069,              0.0010069,              0.0010069
