                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0715,                 8.3916,                 2.3248,                 0.5851,                0.14119,                0.10515,                0.04476,                 2.9815,                 5.3929,                  2.166,             0.00036851,             0.00036851,             0.00036851
                      2,                 2.9362,                 5.2995,                  2.189,                0.45715,                0.25921,                0.18208,                0.09152,                 2.7166,                 3.9502,                 2.1903,             0.00073397,             0.00073397,             0.00073397
                      3,                 2.8058,                 4.3051,                 2.1819,                0.52876,                0.26432,                0.22498,                0.11173,                 2.5843,                 3.3434,                 2.1792,              0.0010945,              0.0010945,              0.0010945
                      4,                  2.708,                 4.0621,                 2.2056,                0.61683,                0.27707,                0.27468,                0.13703,                 2.6436,                 3.3136,                 2.1709,               0.001089,               0.001089,               0.001089
                      5,                 2.8243,                 3.8298,                 2.1945,                0.41797,                0.29859,                0.29414,                0.14708,                 2.6822,                  3.121,                 2.1816,              0.0010817,              0.0010817,              0.0010817
                      6,                  2.703,                 3.6066,                 2.1692,                0.46423,                0.31625,                0.33143,                0.16864,                 2.6991,                 2.9918,                 2.1877,              0.0010743,              0.0010743,              0.0010743
                      7,                 2.7119,                 3.4391,                 2.1696,                0.67553,                0.33092,                0.35604,                0.17863,                 2.6676,                 2.8285,                 2.1816,               0.001067,               0.001067,               0.001067
                      8,                 2.7454,                 3.2169,                 2.1428,                  0.677,                0.33459,                0.36002,                0.18138,                 2.7597,                 2.7622,                 2.1814,              0.0010597,              0.0010597,              0.0010597
                      9,                 2.7555,                 3.2343,                 2.1425,                0.62198,                0.32432,                 0.3263,                0.16869,                  2.698,                 2.8086,                 2.1496,              0.0010523,              0.0010523,              0.0010523
                     10,                 2.8132,                 3.1375,                 2.1498,                0.71208,                0.34666,                0.36762,                0.19714,                 2.7459,                 2.6994,                 2.1515,               0.001045,               0.001045,               0.001045
                     11,                 2.6732,                  2.994,                 2.1233,                0.70059,                0.36105,                0.38552,                0.20198,                 2.7952,                 2.6096,                 2.1591,              0.0010377,              0.0010377,              0.0010377
                     12,                 2.9642,                 3.1992,                 2.1223,                0.74642,                 0.3638,                0.40448,                0.21851,                 2.8225,                 2.7136,                 2.1427,              0.0010303,              0.0010303,              0.0010303
